,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,GMK
alpha_sess1,0.274386728,0.735890683,0.241644345,0.007330853,0.749186433,0.628283118,0.257541173,0.770833772,0.012102082,0.208407623,0.286573357,0.331090484
tau_sess1,0.768767879,0.36178454,0.915519944,0.206481636,0.775717476,0.935042421,0.553201571,0.017370323,0.246525872,0.168686495,0.442063073,0.616631561
gamma_sess1,0.426630477,0.936310897,0.137756724,0.613409295,0.892524202,0.587526409,0.149624323,0.401051394,0.327302561,0.810022243,0.147350458,0.206961578
eta_sess1,0.383123611,0.913363825,0.994329918,0.210221578,0.62552922,0.94130736,0.968795483,0.017014237,0.23449807,0.783416527,0.847077545,0.62691472
alpha_sess2,0.406706102,0.513359603,0.928804326,0.810174899,0.822998697,0.182250746,0.527769858,0.364072558,0.420530015,0.512614579,0.625707466,0.179976761
tau_sess2,0.470879467,0.909009443,0.912057008,0.7111227,0.485620748,0.503002981,0.285293592,0.628456705,0.118940742,0.818957726,0.528051585,0.450742137
gamma_sess2,0.385518103,0.417787735,0.010179717,0.849165883,0.273697808,0.343079979,0.024754818,0.033506849,0.814278312,0.483910842,0.461760818,0.213026413
eta_sess2,0.311916207,0.984939296,0.373363307,0.458028098,0.859400603,0.851804584,0.440831026,0.563939007,0.18161541,0.902931812,0.580066096,0.941349437
