trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,13.596,,6.144,6.144,0.0,0.0,6.144,0.0
2.0,LP,2.312,9.958,0.53,2.842,2.0,2.0,10.488,7.646
3.0,LP,1.203,13.194,0.348,1.553,2.0,4.0,13.542,11.989
4.0,LP,7.65,,5.026,5.026,0.0,4.0,20.069,15.043
5.0,LP,4.253,25.825,0.42,4.675,2.0,6.0,26.245,21.57
6.0,LP,0.206,27.954,0.503,0.71,2.0,8.0,28.457,27.747
7.0,LP,13.596,,4.304,4.304,0.0,8.0,34.262,29.958
8.0,LP,23.999,,6.335,6.335,0.0,8.0,42.098,35.763
9.0,LP,0.206,43.807,0.505,0.713,2.0,10.0,44.312,43.599
10.0,LP,23.999,,5.748,5.748,0.0,10.0,51.575,45.827
11.0,LP,1.203,54.282,0.564,1.769,2.0,12.0,54.846,53.077
12.0,LP,0.206,56.554,0.406,0.614,2.0,14.0,56.96,56.346
13.0,LP,4.253,62.715,0.432,4.685,2.0,16.0,63.147,58.462
14.0,LP,7.65,,5.936,5.936,0.0,16.0,70.584,64.648
15.0,LP,0.569,72.656,0.352,0.923,2.0,18.0,73.008,72.085
16.0,LP,1.203,75.712,0.332,1.535,2.0,20.0,76.044,74.509
17.0,LP,13.596,,6.026,6.026,0.0,20.0,83.57,77.544
18.0,LP,7.65,,5.237,5.237,0.0,20.0,90.308,85.071
19.0,LP,2.312,94.122,0.372,2.685,2.0,22.0,94.494,91.809
20.0,LP,2.312,98.308,0.393,2.706,2.0,24.0,98.701,95.995
21.0,LP,0.206,100.408,0.442,0.648,2.0,26.0,100.85,100.202
22.0,LP,0.206,102.558,0.368,0.575,2.0,28.0,102.926,102.351
23.0,LP,7.65,,6.553,6.553,0.0,28.0,110.98,104.427
24.0,LP,23.999,,5.097,5.097,0.0,28.0,117.578,112.481
25.0,LP,13.596,,6.602,6.602,0.0,28.0,125.681,119.079
26.0,LP,1.203,128.394,0.363,1.567,2.0,30.0,128.757,127.19
27.0,LP,1.203,131.463,0.499,1.704,2.0,32.0,131.962,130.258
28.0,LP,2.312,135.776,0.439,2.752,2.0,34.0,136.215,133.463
29.0,LP,23.999,,5.357,5.357,0.0,34.0,143.074,137.717
