id,consent_date,age,gender,education,handness,language,race,batch
s1109,2/9/22 13:43,33,Male,18,Right-handed,English,White,2
s1110,2/9/22 12:08,66,Male,15,Right-handed,English,Asian,2
s1111,2/9/22 12:03,42,Female,12,Right-handed,english,Black or African American,2
s1112,2/9/22 20:03,52,Male,14,Right-handed,English,White,2
s1114,2/9/22 16:08,39,Male,16,Right-handed,English,Asian,2
s1115,2/9/22 12:02,31,Male,18,Right-handed,English,White,2
s1116,2/9/22 13:08,55,Male,14,Right-handed,English,White,2
s1117,2/9/22 12:04,71,Female,19,Left-handed,English,White,2
s1118,2/9/22 15:36,60,Female,19,Right-handed,English,White,2
s1119,2/9/22 13:38,31,Female,16,Right-handed,English,White,2
s1120,2/9/22 12:00,32,Male,18,Right-handed,English,"Black or African American,White",2
s1121,2/9/22 14:12,34,Male,16,Right-handed,English,White,2
s1122,2/9/22 12:04,35,Female,16,Right-handed,English,Black or African American,2
s1123,2/9/22 14:19,30,Male,16,Right-handed,english,White,2
s1124,2/9/22 12:33,51,Male,14,Right-handed,english,White,2
s1125,2/9/22 15:30,58,Female,16,Right-handed,english,White,2
s1127,2/9/22 12:57,42,Male,15,Left-handed,English,White,2
s1128,2/9/22 14:18,42,Female,16,Right-handed,English,White,2
s1129,2/9/22 14:03,35,Female,22,Right-handed,English,White,2
s1130,2/9/22 14:05,44,Male,13,Right-handed,English,White,2
s1131,2/9/22 14:39,45,Female,16,Right-handed,English,White,2
s1132,2/9/22 14:26,32,Male,17,Right-handed,English,Black or African American,2
s1133,2/9/22 16:20,46,Male,18,Right-handed,English,White,2
s1134,2/10/22 03:05,55,Female,12,Right-handed,english,White,2
s1135,2/9/22 13:26,46,Male,13,Right-handed,English,White,2
s1136,2/10/22 18:39,44,Male,16,Left-handed,English,White,2
s1137,2/9/22 13:07,29,Male,14,Right-handed,English,Black or African American,2
s1138,2/9/22 13:07,39,Male,16,Right-handed,English,White,2
s1139,2/9/22 12:29,31,Female,16,Right-handed,English,White,2
s1140,2/9/22 12:02,36,Male,14,Right-handed,English,Black or African American,2
s1141,2/9/22 12:04,64,Female,16,Right-handed,English,White,2
s1142,2/9/22 13:25,46,Male,16,Left-handed,English,White,2
s1143,2/9/22 14:00,44,Male,16,Right-handed,English,White,2
s1146,2/9/22 12:10,63,Male,14,Right-handed,English,White,2
s1147,2/9/22 12:46,24,Male,16,Right-handed,English,White,2
s1148,2/9/22 12:05,34,Male,16,Right-handed,English,White,2
s1149,2/9/22 12:17,51,Male,16,Right-handed,english,White,2
s1150,2/9/22 12:01,28,Male,16,Right-handed,English,Asian,2
s1151,2/9/22 14:46,24,Male,12,Right-handed,english,White,2
s1152,2/9/22 20:26,23,Male,16,Right-handed,English,Black or African American,2
s1153,2/9/22 12:02,29,Female,16,Right-handed,English,White,2
s1154,2/9/22 12:04,35,Male,16,Right-handed,English,Asian,2
s1155,2/9/22 14:03,40,Male,12,Right-handed,English,White,2
s1156,2/9/22 14:35,29,Male,16,Right-handed,English,White,2
s1157,2/9/22 12:00,48,Female,13,Right-handed,English,White,2
s1159,2/9/22 12:39,69,Neither/Do not wish to disclose,14,Right-handed,English,Do not wish to answer,2
s1160,2/9/22 12:10,45,Female,14,Right-handed,English,Other,2
s1161,2/9/22 14:09,28,Male,13,Right-handed,English,White,2
s1162,2/9/22 13:03,39,Female,14,Right-handed,english,Asian,2
s1163,2/9/22 12:10,40,Male,20,Right-handed,English,White,2
s1164,2/9/22 14:11,64,Male,18,Right-handed,English,White,2
s1167,2/9/22 16:52,32,Male,16,Right-handed,English,Black or African American,2
s1168,2/9/22 13:38,29,Male,16,Right-handed,English,White,2
s1169,2/9/22 17:40,23,Female,15,Right-handed,Tamil,Asian,2
s1170,2/9/22 12:37,32,Male,16,Right-handed,English,White,2
s1171,2/9/22 14:08,33,Male,19,Right-handed,English,White,2
s1172,2/9/22 12:50,49,Male,12,Right-handed,English,White,2
s1173,2/9/22 12:42,60,Female,16,Right-handed,English,White,2
s1175,2/10/22 09:12,34,Female,18,Right-handed,English,White,2
s1176,2/9/22 13:25,35,Male,12,Left-handed,English,Black or African American,2
s1178,2/9/22 16:23,37,Female,16,Right-handed,English,White,2
s1179,2/9/22 16:24,50,Female,12,Right-handed,English,White,2
s1180,2/9/22 19:15,49,Female,16,Right-handed,English,White,2
