trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,13.596,,3.192,3.192,0.0,0.0,3.193,0.001
2.0,LP,2.312,7.011,0.342,2.656,2.0,2.0,7.353,4.697
3.0,LP,1.203,10.059,0.386,1.591,2.0,4.0,10.445,8.854
4.0,LP,7.65,,2.942,2.942,0.0,4.0,14.888,11.946
5.0,LP,4.253,,3.009,3.009,0.0,4.0,19.398,16.389
6.0,LP,0.206,21.12,0.465,0.672,2.0,6.0,21.585,20.913
7.0,LP,13.596,,3.472,3.472,0.0,6.0,26.568,23.096
8.0,LP,23.999,,5.987,5.987,0.0,6.0,34.061,28.074
9.0,LP,0.206,35.769,0.409,0.616,2.0,8.0,36.178,35.562
10.0,LP,23.999,,3.061,3.061,0.0,8.0,40.74,37.679
11.0,LP,1.203,43.445,0.348,1.552,2.0,10.0,43.793,42.241
12.0,LP,0.206,45.509,0.393,0.608,2.0,12.0,45.902,45.294
13.0,LP,4.253,,1.707,1.707,0.0,12.0,49.11,47.403
14.0,LP,7.65,,4.025,4.025,0.0,12.0,54.638,50.613
15.0,LP,0.569,56.71,0.333,0.904,2.0,14.0,57.043,56.139
16.0,LP,1.203,59.748,0.29,1.494,2.0,16.0,60.038,58.544
17.0,LP,13.596,,2.046,2.046,0.0,16.0,63.585,61.539
18.0,LP,7.65,,2.946,2.946,0.0,16.0,68.037,65.091
19.0,LP,2.312,71.851,0.384,2.697,2.0,18.0,72.235,69.538
20.0,LP,2.312,76.061,0.333,2.658,2.0,20.0,76.394,73.736
21.0,LP,0.206,78.108,0.404,0.611,2.0,22.0,78.512,77.901
22.0,LP,0.206,80.219,0.456,0.662,2.0,24.0,80.675,80.013
23.0,LP,7.65,,2.031,2.031,0.0,24.0,84.218,82.187
24.0,LP,23.999,,2.01,2.01,0.0,24.0,87.729,85.719
25.0,LP,13.596,,3.373,3.373,0.0,24.0,92.603,89.23
26.0,LP,1.203,95.309,0.344,1.549,2.0,26.0,95.653,94.104
27.0,LP,1.203,98.359,0.37,1.574,2.0,28.0,98.729,97.155
28.0,LP,2.312,102.544,0.258,2.57,2.0,30.0,102.802,100.232
29.0,LP,23.999,,2.47,2.47,0.0,30.0,106.773,104.303
30.0,LP,2.312,110.602,0.312,2.64,2.0,32.0,110.914,108.274
31.0,LP,7.65,,3.363,3.363,0.0,32.0,115.778,112.415
32.0,LP,7.65,,3.2,3.2,0.0,32.0,120.48,117.28
33.0,LP,1.203,123.185,0.298,1.501,2.0,34.0,123.483,121.982
34.0,LP,4.253,129.259,0.287,4.553,2.0,36.0,129.546,124.993
35.0,LP,1.203,132.258,0.346,1.554,2.0,38.0,132.604,131.05
36.0,LP,23.999,,2.958,2.958,0.0,38.0,137.063,134.105
37.0,LP,0.569,139.134,0.381,0.951,2.0,40.0,139.515,138.564
38.0,LP,7.65,,3.498,3.498,0.0,40.0,144.514,141.016
39.0,LP,13.596,,3.983,3.983,0.0,40.0,149.998,146.015
40.0,LP,13.596,,3.366,3.366,0.0,40.0,154.869,151.503
41.0,LP,0.569,156.964,0.286,0.868,2.0,42.0,157.25,156.382
42.0,LP,23.999,,6.039,6.039,0.0,42.0,164.802,158.763
43.0,LP,4.253,,2.369,2.369,0.0,42.0,168.672,166.303
44.0,LP,2.312,172.491,0.299,2.616,2.0,44.0,172.79,170.174
45.0,LP,0.569,174.872,0.309,0.879,2.0,46.0,175.181,174.302
46.0,LP,0.206,176.912,0.365,0.586,2.0,48.0,177.277,176.691
47.0,LP,1.203,179.998,0.339,1.548,2.0,50.0,180.337,178.789
48.0,LP,0.569,182.416,0.303,0.88,2.0,52.0,182.719,181.839
49.0,LP,4.253,,1.786,1.786,0.0,52.0,186.005,184.219
50.0,LP,0.569,188.095,0.358,0.938,2.0,54.0,188.453,187.515
51.0,LP,13.596,,1.243,1.243,0.0,54.0,191.209,189.966
