trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,13.596,,4.489,4.489,0.0,0.0,4.489,0.0
2.0,LP,2.312,8.304,0.384,2.696,2.0,2.0,8.688,5.992
3.0,LP,1.203,11.405,0.412,1.628,2.0,4.0,11.817,10.189
4.0,LP,7.65,,3.482,3.482,0.0,4.0,16.8,13.318
5.0,LP,4.253,,4.056,4.056,0.0,4.0,22.369,18.313
6.0,LP,0.206,24.097,0.503,0.724,2.0,6.0,24.6,23.876
7.0,LP,13.596,,2.619,2.619,0.0,6.0,28.72,26.101
8.0,LP,23.999,,3.596,3.596,0.0,6.0,33.817,30.221
9.0,LP,0.206,35.525,0.66,0.867,2.0,8.0,36.185,35.318
10.0,LP,23.999,,3.552,3.552,0.0,8.0,41.248,37.696
11.0,LP,1.203,43.965,0.372,1.577,2.0,10.0,44.337,42.76
12.0,LP,0.206,46.066,0.406,0.625,2.0,12.0,46.472,45.847
13.0,LP,4.253,,2.61,2.61,0.0,12.0,50.592,47.982
14.0,LP,7.65,,2.85,2.85,0.0,12.0,54.944,52.094
15.0,LP,0.569,57.015,0.449,1.018,2.0,14.0,57.464,56.446
16.0,LP,1.203,60.188,0.348,1.559,2.0,16.0,60.536,58.977
17.0,LP,13.596,,3.844,3.844,0.0,16.0,65.88,62.036
18.0,LP,7.65,,3.585,3.585,0.0,16.0,70.968,67.383
19.0,LP,2.312,74.793,0.327,2.639,2.0,18.0,75.12,72.481
20.0,LP,2.312,78.948,0.396,2.723,2.0,20.0,79.344,76.621
21.0,LP,0.206,81.071,0.441,0.658,2.0,22.0,81.512,80.854
22.0,LP,0.206,83.22,0.388,0.595,2.0,24.0,83.608,83.013
23.0,LP,7.65,,3.035,3.035,0.0,24.0,88.144,85.109
24.0,LP,23.999,,4.231,4.231,0.0,24.0,93.888,89.657
25.0,LP,13.596,,3.774,3.774,0.0,24.0,99.176,95.402
26.0,LP,1.203,101.887,0.324,1.528,2.0,26.0,102.211,100.683
27.0,LP,1.203,104.915,0.317,1.521,2.0,28.0,105.232,103.711
28.0,LP,2.312,109.054,0.385,2.706,2.0,30.0,109.439,106.733
29.0,LP,23.999,,3.771,3.771,0.0,30.0,114.711,110.94
30.0,LP,2.312,118.527,0.377,2.691,2.0,32.0,118.904,116.213
31.0,LP,7.65,,3.162,3.162,0.0,32.0,123.567,120.405
32.0,LP,7.65,,3.356,3.356,0.0,32.0,128.439,125.083
33.0,LP,1.203,131.165,0.411,1.626,2.0,34.0,131.576,129.95
34.0,LP,4.253,,3.173,3.173,0.0,34.0,136.255,133.082
35.0,LP,1.203,138.961,0.342,1.547,2.0,36.0,139.303,137.756
36.0,LP,23.999,,4.875,4.875,0.0,36.0,145.679,140.804
37.0,LP,0.569,147.76,0.375,0.945,2.0,38.0,148.135,147.19
38.0,LP,7.65,,4.388,4.388,0.0,38.0,154.023,149.635
39.0,LP,13.596,,2.804,2.804,0.0,38.0,158.343,155.539
40.0,LP,13.596,,3.799,3.799,0.0,38.0,163.655,159.856
41.0,LP,0.569,165.727,0.712,1.283,2.0,40.0,166.439,165.156
42.0,LP,23.999,,3.161,3.161,0.0,40.0,171.111,167.95
43.0,LP,4.253,,3.723,3.723,0.0,40.0,176.335,172.612
44.0,LP,2.312,180.149,0.386,2.699,2.0,42.0,180.535,177.836
45.0,LP,0.569,182.605,0.418,0.988,2.0,44.0,183.023,182.035
46.0,LP,0.206,184.731,0.428,0.634,2.0,46.0,185.159,184.525
47.0,LP,1.203,187.865,0.39,1.593,2.0,48.0,188.255,186.662
48.0,LP,0.569,190.326,0.377,0.947,2.0,50.0,190.703,189.756
49.0,LP,4.253,,3.054,3.054,0.0,50.0,195.263,192.209
50.0,LP,0.569,197.334,0.464,1.034,2.0,52.0,197.798,196.764
51.0,LP,13.596,,2.067,2.067,0.0,52.0,201.366,199.299
52.0,LP,4.253,,3.446,3.446,0.0,52.0,206.327,202.881
53.0,LP,4.253,,3.698,3.698,0.0,52.0,211.526,207.828
54.0,LP,13.596,,3.306,3.306,0.0,52.0,216.343,213.037
55.0,LP,0.206,218.05,0.42,0.627,2.0,54.0,218.47,217.843
56.0,LP,0.569,220.541,0.401,0.971,2.0,56.0,220.942,219.971
57.0,LP,0.569,223.025,0.365,0.935,2.0,58.0,223.39,222.455
58.0,LP,2.312,227.208,0.567,2.88,2.0,60.0,227.775,224.895
59.0,LP,4.253,,3.106,3.106,0.0,60.0,232.382,229.276
60.0,LP,23.999,,2.672,2.672,0.0,60.0,236.566,233.894
61.0,LP,7.65,,3.279,3.279,0.0,60.0,241.35,238.071
62.0,LP,0.206,243.069,0.681,0.898,2.0,62.0,243.75,242.852
63.0,LP,2.312,247.581,0.505,2.825,2.0,64.0,248.086,245.261
64.0,LP,13.596,,3.422,3.422,0.0,64.0,253.014,249.592
65.0,LP,1.203,255.719,0.343,1.547,2.0,66.0,256.062,254.515
66.0,LP,0.206,257.79,0.408,0.625,2.0,68.0,258.198,257.573
67.0,LP,23.999,,7.816,7.816,0.0,68.0,267.526,259.71
