trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,0.92,0.92,0.0,0.0,0.92,0.0
2.0,LP,4.253,6.675,0.399,4.653,2.0,2.0,7.074,2.421
3.0,LP,1.203,9.779,0.418,1.622,2.0,4.0,10.197,8.575
4.0,LP,23.999,,4.422,4.422,0.0,4.0,16.12,11.698
5.0,LP,7.65,25.272,0.317,7.968,2.0,6.0,25.589,17.621
6.0,LP,4.253,31.344,0.458,4.711,2.0,8.0,31.802,27.091
7.0,LP,0.569,33.873,0.621,1.191,2.0,10.0,34.494,33.303
8.0,LP,0.569,36.564,0.276,0.846,2.0,12.0,36.84,35.994
9.0,LP,23.999,,5.131,5.131,0.0,12.0,43.473,38.342
10.0,LP,23.999,,4.712,4.712,0.0,12.0,49.686,44.974
11.0,LP,13.596,,4.828,4.828,0.0,12.0,56.026,51.198
12.0,LP,2.312,59.84,0.479,2.792,2.0,14.0,60.319,57.527
13.0,LP,7.65,,5.03,5.03,0.0,14.0,66.85,61.82
14.0,LP,1.203,69.568,0.583,1.788,2.0,16.0,70.151,68.363
15.0,LP,4.253,75.906,0.026,4.28,2.0,18.0,75.932,71.652
16.0,LP,13.596,,5.046,5.046,0.0,18.0,82.479,77.433
17.0,LP,1.203,85.194,0.385,1.589,2.0,20.0,85.579,83.99
18.0,LP,7.65,,4.439,4.439,0.0,20.0,91.532,87.093
19.0,LP,7.65,,4.979,4.979,0.0,20.0,98.012,93.033
20.0,LP,13.596,,6.388,6.388,0.0,20.0,105.901,99.513
21.0,LP,4.253,111.674,0.328,4.593,2.0,22.0,112.002,107.409
22.0,LP,23.999,,7.258,7.258,0.0,22.0,120.761,113.503
23.0,LP,0.206,122.476,0.446,0.66,2.0,24.0,122.922,122.262
24.0,LP,23.999,,6.743,6.743,0.0,24.0,131.165,124.422
25.0,LP,1.203,133.87,0.356,1.56,2.0,26.0,134.226,132.666
26.0,LP,1.203,136.931,0.347,1.551,2.0,28.0,137.278,135.727
27.0,LP,2.312,141.092,0.359,2.672,2.0,30.0,141.451,138.779
28.0,LP,0.206,143.166,0.372,0.578,2.0,32.0,143.538,142.96
29.0,LP,2.312,147.363,0.347,2.663,2.0,34.0,147.71,145.047
30.0,LP,13.596,,4.17,4.17,0.0,34.0,153.382,149.212
31.0,LP,23.999,,4.126,4.126,0.0,34.0,159.009,154.883
32.0,LP,2.312,162.822,0.635,2.947,2.0,36.0,163.457,160.51
33.0,LP,4.253,,3.731,3.731,0.0,36.0,168.688,164.957
34.0,LP,0.206,170.41,0.393,0.614,2.0,38.0,170.803,170.189
35.0,LP,4.253,,3.37,3.37,0.0,38.0,175.674,172.304
36.0,LP,7.65,,2.628,2.628,0.0,38.0,179.802,177.174
37.0,LP,0.206,181.522,0.361,0.568,2.0,40.0,181.883,181.315
38.0,LP,13.596,,3.715,3.715,0.0,40.0,187.109,183.394
39.0,LP,13.596,,3.782,3.782,0.0,40.0,192.393,188.611
40.0,LP,0.206,194.102,0.37,0.578,2.0,42.0,194.472,193.894
41.0,LP,7.65,,3.259,3.259,0.0,42.0,199.232,195.973
42.0,LP,2.312,203.067,0.307,2.63,2.0,44.0,203.374,200.744
43.0,LP,0.569,205.458,0.324,0.908,2.0,46.0,205.782,204.874
44.0,LP,0.206,207.506,0.343,0.566,2.0,48.0,207.849,207.283
45.0,LP,1.203,210.554,0.375,1.579,2.0,50.0,210.929,209.35
46.0,LP,13.596,,2.555,2.555,0.0,50.0,214.986,212.431
47.0,LP,7.65,,3.371,3.371,0.0,50.0,219.871,216.5
48.0,LP,23.999,,3.376,3.376,0.0,50.0,224.747,221.371
49.0,LP,0.569,226.818,0.547,1.118,2.0,52.0,227.365,226.247
50.0,LP,1.203,230.072,0.316,1.52,2.0,54.0,230.388,228.868
51.0,LP,0.569,232.473,0.539,1.124,2.0,56.0,233.012,231.888
52.0,LP,7.65,,2.55,2.55,0.0,56.0,237.063,234.513
53.0,LP,0.569,239.16,0.324,0.909,2.0,58.0,239.484,238.575
54.0,LP,2.312,243.311,0.34,2.654,2.0,60.0,243.651,240.997
55.0,LP,23.999,,2.682,2.682,0.0,60.0,247.834,245.152
56.0,LP,4.253,,3.302,3.302,0.0,60.0,252.645,249.343
57.0,LP,2.312,256.458,0.312,2.624,2.0,62.0,256.77,254.146
58.0,LP,1.203,259.484,0.288,1.501,2.0,64.0,259.772,258.271
59.0,LP,0.206,261.48,0.324,0.531,2.0,66.0,261.804,261.273
60.0,LP,0.206,263.511,0.316,0.523,2.0,68.0,263.827,263.304
61.0,LP,0.569,265.904,0.336,0.91,2.0,70.0,266.24,265.33
62.0,LP,13.596,,2.911,2.911,0.0,70.0,270.654,267.743
63.0,LP,0.569,272.725,0.367,0.938,2.0,72.0,273.092,272.154
64.0,LP,4.253,,2.431,2.431,0.0,72.0,277.024,274.593
65.0,LP,4.253,,2.478,2.478,0.0,72.0,281.003,278.525
66.0,LP,0.569,283.075,0.394,0.965,2.0,74.0,283.469,282.504
67.0,LP,0.206,285.177,0.312,0.52,2.0,76.0,285.489,284.969
68.0,LP,4.253,,3.352,3.352,0.0,76.0,290.342,286.99
69.0,LP,23.999,,4.27,4.27,0.0,76.0,296.113,291.843
70.0,LP,23.999,,3.326,3.326,0.0,76.0,300.939,297.613
71.0,LP,0.206,302.648,0.405,0.613,2.0,78.0,303.053,302.44
72.0,LP,13.596,,3.376,3.376,0.0,78.0,307.929,304.553
73.0,LP,0.206,309.647,0.341,0.547,2.0,80.0,309.988,309.441
74.0,LP,7.65,,3.9,3.9,0.0,80.0,315.389,311.489
75.0,LP,7.65,,3.249,3.249,0.0,80.0,320.14,316.891
76.0,LP,0.206,321.852,0.326,0.533,2.0,82.0,322.178,321.645
77.0,LP,1.203,324.882,0.34,1.543,2.0,84.0,325.222,323.679
78.0,LP,1.203,327.926,0.342,1.546,2.0,86.0,328.268,326.722
79.0,LP,4.253,334.032,0.353,4.607,2.0,88.0,334.385,329.778
80.0,LP,1.203,337.089,0.338,1.541,2.0,90.0,337.427,335.886
81.0,LP,0.206,339.136,0.359,0.566,2.0,92.0,339.495,338.929
82.0,LP,0.206,341.211,0.31,0.517,2.0,94.0,341.521,341.004
83.0,LP,2.312,345.336,0.356,2.669,2.0,96.0,345.692,343.023
84.0,LP,2.312,349.508,0.335,2.649,2.0,98.0,349.843,347.194
85.0,LP,0.569,351.913,0.323,0.892,2.0,100.0,352.236,351.344
86.0,LP,1.203,354.942,0.388,1.592,2.0,102.0,355.33,353.738
87.0,LP,0.569,357.4,0.311,0.881,2.0,104.0,357.711,356.83
88.0,LP,4.253,363.467,0.335,4.589,2.0,106.0,363.802,359.213
89.0,LP,13.596,,4.861,4.861,0.0,106.0,370.164,365.303
90.0,LP,4.253,,3.146,3.146,0.0,106.0,374.811,371.665
91.0,LP,4.253,,4.027,4.027,0.0,106.0,380.339,376.312
92.0,LP,0.206,382.046,0.355,0.561,2.0,108.0,382.401,381.84
93.0,LP,23.999,,2.761,2.761,0.0,108.0,386.676,383.915
94.0,LP,1.203,389.382,0.346,1.551,2.0,110.0,389.728,388.177
95.0,LP,23.999,,2.508,2.508,0.0,110.0,393.738,391.23
96.0,LP,0.569,395.81,0.375,0.946,2.0,112.0,396.185,395.239
97.0,LP,0.569,398.269,0.376,0.946,2.0,114.0,398.645,397.699
98.0,LP,23.999,,1.706,1.706,0.0,114.0,401.859,400.153
99.0,LP,13.596,,2.927,2.927,0.0,114.0,406.288,403.361
100.0,LP,0.569,408.359,0.385,0.955,2.0,116.0,408.744,407.789
101.0,LP,2.312,,2.059,2.059,0.0,116.0,412.304,410.245
102.0,LP,13.596,,2.235,2.235,0.0,116.0,416.04,413.805
103.0,LP,7.65,,2.564,2.564,0.0,116.0,420.113,417.549
104.0,LP,4.253,,1.885,1.885,0.0,116.0,423.499,421.614
105.0,LP,7.65,,3.421,3.421,0.0,116.0,428.425,425.004
106.0,LP,2.312,432.255,0.354,2.676,2.0,118.0,432.609,429.933
107.0,LP,23.999,,3.168,3.168,0.0,118.0,437.277,434.109
108.0,LP,2.312,441.091,0.326,2.639,2.0,120.0,441.417,438.778
109.0,LP,4.253,,3.419,3.419,0.0,120.0,446.338,442.919
110.0,LP,2.312,450.155,0.346,2.662,2.0,122.0,450.501,447.839
111.0,LP,1.203,453.206,0.321,1.526,2.0,124.0,453.527,452.001
112.0,LP,7.65,,3.977,3.977,0.0,124.0,459.005,455.028
113.0,LP,1.203,461.71,0.359,1.563,2.0,126.0,462.069,460.506
114.0,LP,2.312,465.882,0.297,2.61,2.0,128.0,466.179,463.569
115.0,LP,7.65,,5.627,5.627,0.0,128.0,473.316,467.689
116.0,LP,23.999,,2.508,2.508,0.0,128.0,477.325,474.817
117.0,LP,7.65,,2.807,2.807,0.0,128.0,481.632,478.825
118.0,LP,0.569,483.702,0.434,1.004,2.0,130.0,484.136,483.132
119.0,LP,7.65,,4.255,4.255,0.0,130.0,489.892,485.637
120.0,LP,13.596,,2.85,2.85,0.0,130.0,494.242,491.392
121.0,LP,2.312,498.058,0.386,2.698,2.0,132.0,498.444,495.746
122.0,LP,0.206,500.153,0.385,0.593,2.0,134.0,500.538,499.945
123.0,LP,0.569,502.609,0.373,0.944,2.0,136.0,502.982,502.038
124.0,LP,13.596,,3.15,3.15,0.0,136.0,507.648,504.498
125.0,LP,1.203,510.353,0.362,1.566,2.0,138.0,510.715,509.149
126.0,LP,13.596,,3.419,3.419,0.0,138.0,515.635,512.216
