id,sess,block,auc,std_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,ready_RT_mean,ready_RT_se,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0057,2,1,6.576781650222708,2.8586200986971964,6.423820512820513,7.681486842105263,6.596748251748254,5.844954545454545,2.7940903466459797,7.681486842105263,3.2102698500358793,2.1959625033492043,0.4408041237113395,0.17292300278740266,0.966,1.3122295081967217,0.1269562481765178,LP
s0057,2,2,6.795930786840382,3.3069463748288914,5.055418475723623,7.6429467703349285,7.968571428571429,6.83303371040724,2.3006585805593813,7.6429467703349285,2.355841523502589,3.4605289398347394,0.416987654320981,0.055903338021072294,0.773,1.281365853658537,0.18422734369656918,HP
s0058,2,1,9.417011019283747,1.4206288076922018,9.348125,9.98,9.6468,9.108444444444444,2.2578554226023866,9.98,1.2679301873526,0.737759236714814,0.28693975903614194,0.011196399860457935,0.693,0.7119344262295082,0.009880986735776589,LP
s0058,2,2,10.854449954064062,2.3945609704207933,8.694222624434389,11.82,11.760666666666665,12.0,3.5312581211034653,11.82,0.1692519489465992,0.0,0.29289393939394925,0.019948316240706945,0.7765,0.7706428571428573,0.01183704806939148,HP
s0059,2,1,10.580719298245615,2.0281926796455823,11.2736,12.0,10.86725,8.072142857142858,0.8897538086459645,12.0,1.118431127740998,2.4244300319027228,0.4416538461538463,0.022638744744730096,0.7140000000000001,0.8443793103448278,0.051011596846537284,LP
s0059,2,2,10.631387228260868,1.799880502011638,9.613249999999999,12.0,10.324785714285715,11.328428571428573,2.0123872483943046,12.0,1.598687326642501,1.64500732583196,0.43448484848484703,0.028964238442449098,0.8779999999999999,0.8447499999999998,0.026956588896761023,HP
s0060,2,1,4.596135034556087,0.7151202141094712,4.110838235294119,5.194383116883117,4.461922077922078,4.691278787878787,0.40863501657757667,5.194383116883117,0.5769044748907127,0.6297279122680205,0.44361739130434674,0.013519278862484064,0.693,0.7410793650793651,0.022377612061744698,LP
s0060,2,2,4.998629623853782,0.6833789061887399,4.6171216931216925,5.5227916666666665,4.942485576923077,5.0203834586466165,0.5246598202547305,5.5227916666666665,0.5079082762661651,0.4817811677109953,0.4766739130434799,0.017801966108518832,0.6920000000000001,0.7132592592592594,0.02296371519631651,HP
s0061,2,1,9.077592106792697,4.354669442983951,9.3431,10.353166666666667,6.965931220095693,10.99109090909091,3.9744837837312725,10.353166666666667,5.1697030129668855,3.1904506793226073,0.8367462686567173,0.31634167649895384,0.853,2.1355471698113213,0.6457157870019196,LP
s0061,2,2,8.025307965150974,4.0464630604034015,9.223584722222222,11.383636363636363,7.243626984126984,5.602052624458874,4.250502607344733,11.383636363636363,3.6947491392689984,3.5505727874314355,0.858114285714291,0.13815446183028252,0.8370000000000001,1.1838636363636363,0.16902571932182822,HP
s0062,2,1,7.013811844674986,2.886342447844148,8.10785648148148,7.445181818181817,6.64388695652174,6.499916666666666,4.629706235456485,7.445181818181817,2.372628468195292,1.985562072325002,0.22942268041236547,0.021427164008209248,0.706,0.7102295081967215,0.004205638160470241,LP
s0062,2,2,8.538505434782609,2.3533247110466156,6.9755714285714285,9.138833333333332,9.25575,9.206480519480522,1.7146065698411408,9.138833333333332,2.2470000695371595,2.6988590836715827,0.42512500000000175,0.04296827595136895,0.706,0.6969591836734694,0.009369456842266522,HP
s0063,2,1,4.811398986354776,2.0045923565786525,5.046127272727274,5.232285714285714,4.198690476190476,4.956743197278912,2.255090273293734,5.232285714285714,1.57901511630774,2.448311100417288,0.12942500000000137,0.014540344555466083,0.7295,0.8216060606060605,0.03568990694386887,LP
s0063,2,2,4.604014080067041,1.8665911346043746,3.545452380952381,5.048709989258862,5.01290058479532,5.172536649442386,1.4584825317265455,5.048709989258862,1.2858176894363733,2.5133795186282732,0.17332352941175602,0.010115833947634774,0.716,0.7849655172413794,0.04778943317644697,HP
s0064,2,1,5.707047242935635,2.096113604532824,7.315124999999999,5.630895833333334,5.223313725490196,4.443692307692308,1.893381055864966,5.630895833333334,1.7891915634151434,1.6032034222199478,0.39651886792452856,0.044849743668648544,0.684,0.87847619047619,0.07360965208717186,LP
s0064,2,2,6.24893673533558,2.654742314147985,6.0792203125,6.46937,7.258091666666666,5.714284895833334,1.8030911203211981,6.46937,4.146479862477395,1.983426899774991,0.524878048780486,0.07356176285048907,0.7240000000000001,0.9483714285714285,0.09725017673318423,HP
s0066,2,1,6.021443565904098,2.467258481477788,7.60061125,5.318223214285714,6.122917027417027,5.171156944444445,2.716011570322085,5.318223214285714,2.507552550736046,1.6564026765123658,0.4430594059405925,0.01795288315244634,0.8825,1.1554310344827585,0.10146919576160596,LP
s0066,2,2,6.516505110292175,2.92160525723676,6.345588947368421,7.907234027777777,7.187500487329435,5.136072261072261,2.6307046264379528,7.907234027777777,3.6416774137033805,2.8474705387654695,0.5603250000000071,0.03617077452429636,0.935,1.2157894736842103,0.22939584072566896,HP
s0068,2,1,4.203820172634272,2.1065340537907487,5.886423333333334,4.250866666666667,3.091625,3.612888888888889,2.696650964459847,4.250866666666667,0.3245331021251916,2.062487249492949,0.2844193548386978,0.01070419905046351,0.767,0.7278095238095239,0.009967416230667438,LP
s0068,2,2,5.78985514578618,1.8526761791852082,4.9915528105979226,5.663454545454544,5.867962500000001,7.017392857142858,1.029329548384126,5.663454545454544,1.1213385688960091,2.288889864093286,0.25599999999999606,0.016390788476721818,0.7080000000000001,0.7371666666666669,0.026068332569670873,HP
s0069,2,1,3.8704833151030025,1.560748198614992,4.007644328885401,4.079757894736843,4.084700255102041,3.450724921630094,1.6812387671280788,4.079757894736843,1.7379090461687103,1.3371904863939257,0.11556923076923065,0.010830080498542855,0.88,0.8827419354838708,0.025062896276421845,LP
s0069,2,2,7.391515711716092,2.547651101305206,7.8573942307692315,7.171288377192983,7.893085972850678,7.498220486111112,3.0494772326841573,7.171288377192983,3.1556659689423396,1.773686907204497,0.19684415584415577,0.04681791006256139,0.913,1.091357142857143,0.08780863173178567,HP
s0071,2,1,6.295346698113207,1.011333383384326,6.2101500000000005,5.904,6.789374999999999,6.89825,1.4899189919254,5.904,1.997352618937127,0.4704433414344387,0.27755238095238094,0.013323601761220216,0.7004999999999999,0.759455882352941,0.01213876717829257,LP
