sess,condition,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,GMK
1,HP,0.5340610043105041,0.9484176640223033,0.2508299064051423,0.2524945632561408,0.1520700332702274,0.8563264382734587,0.9743383043470712,0.0012085173965275286,0.7049822719766659,0.33540949109479645,0.5713022123748182,0.3310208045136047
1,LP,0.250129076631571,0.5898183717378322,0.8288707785773397,0.0844783659223244,0.03994352238872196,0.8200125626905985,0.3338467109295038,0.0031189875718698377,0.5438409042764771,0.7288598633254815,0.4416050107625159,0.8767001841766617
2,HP,0.5813514250788604,0.8165060591876993,0.6142560359213469,0.1915134273493195,0.5675549262327411,0.603512521868593,0.36234890602419023,0.27167776211667094,0.5851035716292015,0.6597613491972695,0.43566606134084374,0.36641049703121154
2,LP,0.5895767339123245,0.836639423333272,0.9548302505794155,0.2165860687985911,0.424478934402738,0.5471007542151085,0.6215590259586623,0.556034181134724,0.4031063623322343,0.3518727969191454,0.46193124170832023,0.7927061099810532
