,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS
HP,0.06758938402231847,0.07248825384856461,0.07838284701765623,0.11251923107542154,-0.2817791981752396,-0.0781718480062223,-0.22081214089897305,0.061395824866299215,-0.03835117905164517,0.19352131151480043,-0.04287712439141091,-0.04530361041064457,-0.059200400056210585
LP,0.29411478882119596,0.22976507480171057,0.11156769423757444,0.24632909889767232,-0.23107556664518172,-0.0037224689526772522,0.09989695871085925,0.1237490894965953,0.191877645032993,0.22821588907545629,0.11071614014160981,0.12357686399971635,0.18709224626982782
