,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS
HP,0.27535531899130294,0.046554986260521326,0.13147611891646943,0.5970721227329625,0.9159215996046738,0.7560275806859136,0.928588780900999,0.4210028092122998,0.6289661928706427,0.7213077520483497,0.3765335445882161,0.08416756312690385,0.48984138532417887
LP,0.7530171251188137,0.9460901649112629,0.13897902446920246,0.8173403730009458,0.7361334954847139,0.32961213934478883,0.6833739775329999,0.9987145850545498,0.7106661661394889,0.36214392682980767,0.3184314022691685,0.47735311992943796,0.34778111146728796
