,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
HP,0.24335088,0.869915378,0.36551285,0.194372709,0.68494197,0.297126458,0.433229235,0.953869027,0.007620765,0.012970795,0.152159463,0.103090062,0.110772632,0.921481941
LP,0.76007855,0.624097507,0.441075103,0.280231374,0.574968876,0.852760274,0.428805356,0.938103752,0.150414878,0.263829819,0.988617104,0.134627454,0.321530302,0.088448054
