,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,discount_logk,auc,std_wtw,auc_delta,alpha,alphaU,tau,gamma,eta
19,16.0,15.0,22.0,21.0,25.0,10.0,16.0,26.0,-1.6912232987168239,7.0555253568935274,2.7636957726881026,2.0488592598694857,0.01151440146470905,0.0015402031207173,5.100043527916769,0.881876169877683,1.47293872861992
20,21.0,26.0,20.0,12.0,25.0,13.0,16.0,25.0,-7.057961176799213,4.482459095301516,1.2151986376112887,-0.7012461600463151,0.00353000840075315,0.00040250051373595,5.2292911114602205,0.831145009194603,0.6029619776185104
21,25.0,21.0,14.0,14.0,24.0,15.0,21.0,23.0,-3.0514777908736224,7.771504582144703,2.3823631682811057,1.1369907293864614,0.0063262131198321,0.0026278517821396,6.03469981152277,0.9153170890001925,1.39485664653154
22,26.0,29.0,20.0,22.0,31.0,17.0,15.0,18.0,-6.146750686596859,3.63941222243157,1.425434171563851,0.4040661058537245,0.008173216745377899,0.00022555300411955,3.39764539441335,0.918701315573204,1.0057927890070795
23,17.0,16.0,16.0,25.0,25.0,18.0,18.0,26.0,-2.442074169337788,4.4292854002794275,1.9914116716865253,-0.17485490756472677,0.0051158709395731,0.0002581294597872,3.40573414648353,0.892446125894494,4.1305419349768036
24,13.0,14.0,11.0,11.0,18.0,9.0,14.0,16.0,-6.751127700046942,5.712166489173477,1.7298225557876208,0.4870218138931621,0.0028319986641276,0.00121811443303805,5.9290688175087,0.903411242518118,0.8559303258294815
25,24.0,28.0,22.0,21.0,22.0,11.0,14.0,30.0,-3.3602084720104366,3.8308406318119497,1.9640448584312313,2.267389257500893,0.0461667656702148,0.0021124697335413,4.03987227370718,0.821726217958745,0.859437782054074
26,31.0,19.0,15.0,13.0,27.0,16.0,14.0,24.0,-3.996726796887618,4.874013531147388,1.7053699801496731,-0.341354724383381,0.0079105468024545,0.0006869937232259,4.29880404732468,0.7556266823352025,0.8086441440738436
27,29.0,36.0,29.0,23.0,27.0,17.0,23.0,27.0,-8.751473627018223,8.256260801943094,2.9075937581682556,2.749554530990206,0.013557573531038,0.00831449952197535,5.8307806332634105,0.864615464336555,1.29336525165301
28,20.0,17.0,19.0,10.0,26.0,10.0,18.0,20.0,-5.54996881720391,11.294342974539008,2.1525362498522957,0.9356085173251447,0.00390657631085575,0.036472077749845,6.062109791648975,0.776649113102755,7.093404691462685
29,21.0,14.0,14.0,15.0,15.0,26.0,13.0,27.0,-5.227238479775541,5.028105650329533,1.6962014122637732,-0.05661254327015364,0.00531957867807855,0.0004635259108842,4.738576436926875,0.981409197118327,1.057956300322225
