,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,discount_logk,auc,std_wtw,auc_delta,alpha,alphaU,tau,eta
0,13.0,16.0,18.0,25.0,14.0,12.0,18.0,37.0,8.0,4.0,11.0,7.0,20.0,17.0,-6.146750686596828,6.028526475801822,3.04472447745274,3.844452682022664,0.018189369484111602,0.0009974886221029954,4.275094584016864,1.33802938516117
1,22.0,21.0,17.0,12.0,29.0,9.0,17.0,25.0,6.0,3.0,10.0,7.0,12.0,13.0,-2.739779934710209,7.576397510460174,2.1440162814031405,4.068863976964304,0.0223784135228337,0.0009123043518155124,6.37109160379358,1.059382509907832
2,17.0,15.0,16.0,11.0,31.0,12.0,21.0,18.0,7.0,5.0,13.0,8.0,10.0,8.0,-4.938035139442137,8.168941543962774,2.113525214807987,3.193035577805659,0.01579436034575135,0.001006245618649715,6.88418959025117,1.0743671619957351
3,19.0,19.0,14.0,19.0,22.0,14.0,16.0,23.0,8.0,6.0,9.0,7.0,12.0,11.0,-5.242633812407943,5.742276825738746,2.26405631523653,2.2168528586101437,0.02337256716536895,0.0010503202833084002,5.2740782011264,0.9599117461303694
4,20.0,16.0,11.0,13.0,16.0,13.0,17.0,27.0,7.0,6.0,10.0,7.0,14.0,13.0,-4.615140087212143,6.589061439470132,1.4835122158645713,1.5745767044033068,0.012165503817489796,0.0005478078906517826,6.323436925049975,1.145720349593045
5,12.0,14.0,13.0,10.0,16.0,8.0,15.0,18.0,5.0,3.0,11.0,4.0,9.0,9.0,-3.9912415579653264,3.4861920190890694,1.0421510225598853,0.15959598696635235,0.010230604690998825,0.00333155420033548,5.324479444206766,0.41761292464543
6,20.0,14.0,18.0,10.0,21.0,10.0,18.0,23.0,6.0,4.0,12.0,6.0,14.0,9.0,-3.9912415579653264,5.930731146243086,2.2486650814676348,0.768637192942657,0.00547585534165228,0.000903079855927345,4.185861233427255,1.7018448789743021
7,45.0,40.0,31.0,14.0,23.0,12.0,31.0,29.0,8.0,4.0,24.0,7.0,13.0,16.0,-3.6679864078004387,4.228306014110897,1.1348791357792722,-0.010330749085532887,0.50397483883718,0.000830517514379121,3.3751963337228705,1.16668056165451
8,12.0,14.0,14.0,10.0,12.0,8.0,14.0,17.0,5.0,3.0,10.0,4.0,10.0,7.0,-3.0475578705002135,8.381227351009969,2.2021996786799005,2.3199109970280785,0.017763290940187415,0.0057898525151520944,6.8264512753533655,1.1893240273672134
9,15.0,14.0,22.0,13.0,31.0,10.0,21.0,27.0,7.0,3.0,12.0,9.0,12.0,15.0,-4.308424653051029,7.625602051688805,1.620211838054865,1.7950749595815605,0.007551408590381529,0.00307317150601071,7.106861535461269,0.916778285529507
10,16.0,16.0,18.0,13.0,18.0,12.0,17.0,19.0,8.0,4.0,11.0,6.0,11.0,8.0,-7.981565513194658,4.436815623390576,2.873122447980495,3.164892707810777,0.0162345738439729,0.000270718566541619,3.3494097808386294,1.4287651651221398
11,27.0,24.0,13.0,21.0,34.0,13.0,18.0,28.0,8.0,5.0,10.0,8.0,15.0,13.0,-6.994255851150005,4.224263708372575,1.7115761779072525,2.521714979182714,0.2125315891389116,0.004163604830782275,3.74731507587894,0.881558975683834
12,36.0,35.0,29.0,22.0,41.0,15.0,27.0,24.0,9.0,6.0,20.0,7.0,15.0,9.0,-4.935918378246829,9.773782393798996,2.1556990657955764,-0.013369304753924283,0.0032164661109737695,0.0020342794270822016,5.62301673358652,1.8516527615828
13,23.0,30.0,20.0,17.0,21.0,11.0,16.0,23.0,7.0,4.0,11.0,5.0,14.0,9.0,-6.751127700046921,9.742434521465444,2.8266800534936776,2.0939440514941148,0.00953871422984205,0.00949221774824444,5.72407759472371,1.8551002048640903
14,17.0,15.0,11.0,11.0,17.0,11.0,15.0,15.0,6.0,5.0,10.0,5.0,9.0,6.0,-7.6741645751708125,7.589396060511836,1.900530139112281,5.96866763191696,0.0220035783880004,0.00390734504154188,6.32699690088087,1.03422265498966
15,24.0,17.0,20.0,14.0,19.0,12.0,20.0,28.0,7.0,5.0,14.0,6.0,16.0,12.0,-4.91783541265473,7.080106014750955,3.1218207992404268,0.8886336027772739,0.00402534738510928,0.00198077506936676,3.9826407231257352,1.9635154501341001
16,17.0,18.0,23.0,21.0,32.0,16.0,19.0,27.0,10.0,6.0,10.0,9.0,15.0,12.0,-7.060536879768903,5.560186428288341,1.4235471629350078,0.23872112472919715,0.004654726359042871,0.0008544079553218784,5.61637211992299,0.7349271488455036
17,14.0,14.0,12.0,13.0,14.0,13.0,22.0,22.0,8.0,5.0,10.0,12.0,10.0,12.0,-7.060536879768903,10.410822686472526,2.422954657378754,3.0110914691602106,0.008516853223531275,0.036965635755083895,5.579104915083961,7.586127698755879
18,30.0,39.0,21.0,20.0,31.0,18.0,27.0,25.0,11.0,7.0,18.0,9.0,14.0,11.0,-8.135722184623791,6.004791520973496,2.440986035532293,3.817870575881984,0.030849087278649,0.0013743171232128884,5.376235186240445,1.102821117506997
19,16.0,15.0,22.0,21.0,25.0,10.0,16.0,26.0,7.0,3.0,9.0,7.0,14.0,12.0,-1.6912232987168239,7.0555253568935274,2.763695772688102,2.0488592598694857,0.013954906386683385,0.0011315383234364344,4.998270746580415,1.3291905917482825
20,21.0,26.0,20.0,12.0,25.0,13.0,16.0,25.0,7.0,6.0,9.0,7.0,15.0,10.0,-7.057961176799213,4.482459095301517,1.2151986376112887,-0.7012461600463151,0.00342716046093914,0.0003293781763146405,5.1380770975181,0.591821704356917
