,var,rho
0,NU,0.8975731812962741
1,PU,0.8547383614523384
2,PM,0.8004044027186643
3,PS,0.8931646816529358
4,SS,0.9325229564846934
5,Attentional,0.8424068502053287
6,Motor,0.8053697906308364
7,Nonplanning,0.8046892012397875
8,discount_logk,0.9285243601466558
9,auc,0.7113473929079749
10,std_wtw,0.5170217270422347
11,auc_delta,0.4351331221336271
12,alpha,0.4108324023201359
13,alphaU,0.3606092142248613
14,tau,0.5700871836468169
15,eta,0.5466544742198619
