,id,auc_HP,std_wtw_HP,ipi_HP,diff_auc_HP,diff_wtw_HP,auc_LP,std_wtw_LP,ipi_LP,diff_auc_LP,diff_wtw_LP,auc_delta,auc,init_wtw,ipi,std_wtw,duration,NU,PU,PM,PS,SS,UPPS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,BIS,PAS,NAS,discount_k,discount_logk,survey_impulsivity,exp
112,s0162,-0.09797866953921898,-0.2701748917387547,-0.06990688660516377,-0.5915555545248161,-0.7785540942009925,0.2945496731710497,0.26019097788178047,0.08956437678398606,-0.9744181537377643,0.05550216840197689,-0.5377630356838583,0.10202333502243732,-0.07265191443255106,-3.8764495555247306e-05,-0.10359215147878312,-0.32269107791381485,0.4447324679536148,1.2042996229337322,2.433161724490605,0.4175309061346938,2.0503613072961,1.853615434454823,0.9145326242951684,1.5300015467983268,-0.10683798726563179,0.6974789999229679,0.9408758553624226,1.9949886273981474,-0.04287693883437861,0.07235263758731535,-0.23287722759591564,0.9335065556608295,0.14987937433161322,-0.5612603514482656,0.12190364736131341,0.8552167647025866,1.481273266060961,active
113,s0164,0.6130061171068298,0.6293278753442512,0.0018957685011997078,1.5456755262007784,0.7584148875628476,0.6042126562986174,1.2696290189727897,-0.2157391866089571,-0.9727430003331717,-0.8556450370814156,0.03928091503163776,0.6528716803438962,0.12116060623797402,-0.09599050795271157,0.9824969975715289,0.3166680049581417,-0.7211568411943678,0.41776419025353784,0.7323108102835799,-0.5176627524022902,0.8009297804987536,0.2043010388968658,-0.4848295056155218,0.46260562073422207,-0.8004091832851447,-0.5570328122019166,-0.23540461416723585,0.27681660380165674,0.5528868428643535,-0.33990123988861176,-0.9633277791046883,-0.3783441474295928,-0.2230408316324686,0.4801826553199501,-0.4550475087851308,-0.161946195001236,-0.08116181133359684,active
114,s0165,0.9438582302894619,0.3663366276196828,-0.6403529171089447,-0.18525977164918925,-1.6203124695144566,1.6891828293111038,0.8500030539219713,-0.6263800911878826,1.4975433568022036,1.3644509617866327,-0.9707150696346569,1.4056505522465659,0.7221133480209165,-0.6514267912064368,0.5835234258783613,-0.3696818345614197,-1.109786610910362,-0.7620389587667538,-0.755933739647567,-0.5176627524022902,-0.1986154409391235,-0.9675802421574723,-1.0445743575797979,-1.138488268361935,-1.0315995819583157,-0.5570328122019166,-1.4116850836968944,-1.0977210150755357,-0.6386407205331107,0.07235263758731535,-1.6937783306134608,-1.3622321747474095,0.025572639010252616,-0.710037923843725,-0.5570033522634135,-1.689815500112187,-1.2176183519136496,active
115,s0166,-0.6350577120803075,-0.48791672111068124,-0.03495615357223745,0.18185995896532273,0.4548114432344512,-0.41629989229718034,-0.4467519677021333,-0.11586795448058328,-0.16000373799832324,0.2948433727409116,-0.3255781326249694,-0.5657377137525575,-0.3753285261805978,-0.07231494731756705,-0.5803937618094652,-0.5106541045042342,-1.2393298674823603,-0.7620389587667538,1.1575235388353362,0.23049217442729697,0.4261003224595497,-0.22972906519733352,-0.7647019315976598,-0.3379413238138565,0.12435241140753918,-0.5570328122019166,-0.823544848932065,-0.06681780091764138,-0.6386407205331107,0.4846065150632424,-0.23287722759591564,-0.3783441474295928,-0.720267772917911,-0.8588154962391843,-0.5319563639674576,-0.839913064810268,-0.31696026110603326,active
116,s0167,-1.9546319428505643,-1.2033258402145883,5.6330058393083,-0.2325636523507561,-0.19255065993796336,-1.7582320166526801,-1.419788260316833,3.404354314069838,-0.06529803760032331,-0.29846604950924455,-0.3540317953477287,-1.9929125098501623,-0.9433733177608442,4.782819372444134,-1.58127555172256,-0.5889720322502422,0.31518921138161676,-0.3687712424266566,-1.3937528324752015,0.043453442719900176,0.4261003224595497,-0.14292304437849365,1.4742774762594444,0.7294546022502483,-0.5692187846119737,1.5338202080062242,0.9408758553624226,0.27681660380165674,1.1486506245630856,-1.164408994840466,0.13234804815847068,0.605543879888224,-0.9688812435606323,1.0752929449017876,-0.3652820614454753,0.17043920011727892,0.2300001550429287,active
117,s0169,0.42406084822180884,1.3108290960702786,-0.008002184382101558,2.871259251024456,2.430860808019581,-0.6129551394897967,-0.7873273203346715,0.17086797523616368,-0.39298696532381244,0.06228808760545608,1.428076026668868,-0.09232737275886556,-0.8023665776481325,0.0722740253034686,0.6064115111660575,-0.2500689994584256,-0.46207032805037174,-0.49986048120668897,1.1575235388353362,-1.2658176792318774,0.4261003224595497,-0.22972906519733352,0.6346601983130303,0.7294546022502483,-0.10683798726563179,0.6974789999229679,0.3527356205975934,1.307719817959551,-0.6386407205331107,0.07235263758731535,-0.23287722759591564,0.4962229879640221,0.8957197862597769,-0.8588154962391843,-0.5466391055981535,-1.1806885320330591,0.12730705106683307,active
118,s0171,-1.7730802231237797,-1.3771717753819452,0.08004453102003109,-0.8825155450040886,-0.8714364829170345,-1.300493631707008,-0.6681080513033859,0.09015876561250669,-0.3595000519334405,-0.05710740973143769,-0.7212384931482902,-1.6524514104587285,-0.962505846948458,0.08676625966584901,-1.2589128168637471,-0.23867730087718805,-0.07344055833437749,0.15558571269347304,0.944917174559458,0.043453442719900176,-0.1986154409391235,0.16089802848744586,-0.4848295056155218,0.46260562073422207,0.12435241140753918,-0.13886220816028838,-0.823544848932065,0.6204510085209549,-0.04287693883437861,0.4846065150632424,-0.23287722759591564,0.05893942026721463,0.8957197862597769,0.03384993813357195,-0.2898342669080396,0.34837744604250614,0.11739199977559268,active
119,s0172,1.1473225320288196,-0.17773933734262837,-0.5815417879749329,0.6851483753901244,0.3970179569222471,1.4822023875312147,0.37925818789482946,-0.4564862890927286,-0.9685983452553509,0.43863149856598815,-0.4039027679944049,1.4073178114910463,0.5468593806623762,-0.5410329305303272,-0.004867472955579377,0.4334329154158264,-0.9802433543383641,-0.6309497199867213,-1.3937528324752015,0.23049217442729697,-1.44804696773647,-1.2714013150234118,-0.20495707963338375,-0.3379413238138565,0.35554281008071015,0.27930839588133977,-0.823544848932065,-0.4104522056369395,-0.04287693883437861,-0.7521551173645388,1.2280238754216295,-0.05038147165698724,-1.3418014495247141,-0.710037923843725,-0.5511998535501217,-1.3507527360691758,-0.7162762984950557,active
120,s0173,-0.3621839139280276,0.4543923324949647,1.4885589111327802,0.5441246405560778,0.004472588853641207,-0.23748715780837218,0.9254749543925157,1.5116617872366263,-1.2468291798054072,-0.4112590308643745,-0.1855950192718757,-0.3226835770816857,-0.28368371137192866,1.5393144356204265,0.706864363174035,0.6199719796835911,-1.109786610910362,-0.3687712424266566,-0.755933739647567,-1.0787789475244807,1.5505886965771616,-0.3599380964255933,-0.4848295056155218,0.46260562073422207,-1.7251707779778285,-1.3933740202851728,0.9408758553624226,-0.06681780091764138,1.1486506245630856,-1.576662872316393,-1.3285530548590745,-0.8156277151264003,2.2630938747947438,-0.5612603514482656,0.13539129297253577,0.8659783557883155,-0.6098334521241974,active
121,s0174,0.9116533581750206,0.23790644798413152,-1.502303120166385,1.005183057768855,1.3678734704915438,-0.30190820933987195,0.6270766576969464,-1.2035646377382228,0.8171361404510744,-0.31515574268536933,1.6897183163805733,0.3375119488772154,0.5147167316271855,-1.40859979934436,0.5759693085500558,0.0076681809420736016,0.5742757245256129,-0.23768200364662417,0.5197044460077018,0.043453442719900176,0.17621401710008044,0.29110705971570566,-0.20495707963338375,0.9963035837662744,0.35554281008071015,-0.5570328122019166,0.3527356205975934,0.27681660380165674,1.7444144062618179,0.4846065150632424,0.13234804815847068,0.4962229879640221,-0.34734756695382923,-0.2637052066573468,-0.29400396729401457,0.3399052476049502,0.4102651907937568,active
