trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
77.0,LP,13.596,,,6.908,0.0,106.0,542.452,535.544,535.257
78.0,LP,23.999,,,6.138,0.0,106.0,550.48,544.342,543.955
79.0,LP,0.206,552.584,0.851,1.186,2.0,108.0,553.435,552.249,551.983
80.0,LP,4.253,559.534,1.032,5.353,2.0,110.0,560.566,555.213,554.943
81.0,LP,0.569,563.08,0.828,1.431,2.0,112.0,563.908,562.477,562.082
82.0,LP,23.999,,,7.636,0.0,112.0,573.364,565.728,565.413
83.0,LP,7.65,,,3.723,0.0,112.0,578.885,575.162,574.867
84.0,LP,23.999,,,5.147,0.0,112.0,585.802,580.655,580.387
85.0,LP,1.203,588.807,1.39,2.73,2.0,114.0,590.197,587.467,587.307
86.0,LP,2.312,594.628,0.846,3.291,2.0,116.0,595.474,592.183,591.702
87.0,LP,0.569,597.929,0.817,1.44,2.0,118.0,598.746,597.306,596.989
1.0,HP,7.5,,,6.581,0.0,118.0,7.748,1.167,0.0
2.0,HP,10.5,,,8.651,0.0,118.0,18.24,9.589,9.266
3.0,HP,4.5,25.612,0.846,5.385,2.0,120.0,26.458,21.073,19.745
4.0,HP,9.0,,,8.582,0.0,120.0,36.867,28.285,27.962
5.0,HP,12.0,,,10.491,0.0,120.0,49.093,38.602,38.372
6.0,HP,9.0,,,8.462,0.0,120.0,59.391,50.929,50.612
7.0,HP,9.0,70.305,0.81,9.87,2.0,122.0,71.115,61.245,60.905
8.0,HP,3.0,75.883,0.674,3.674,2.0,124.0,76.557,72.883,72.62
9.0,HP,12.0,,,12.057,0.0,124.0,90.667,78.61,78.075
10.0,HP,6.0,98.811,0.701,6.94,2.0,126.0,99.512,92.572,92.179
11.0,HP,10.5,,,9.356,0.0,126.0,111.106,101.75,101.018
12.0,HP,7.5,,,6.973,0.0,126.0,120.287,113.314,112.611
13.0,HP,3.0,125.16,0.823,3.882,2.0,128.0,125.983,122.101,121.798
14.0,HP,1.5,129.391,0.78,2.328,2.0,130.0,130.171,127.843,127.488
15.0,HP,7.5,139.593,0.831,8.459,2.0,132.0,140.424,131.965,131.675
16.0,HP,7.5,149.917,0.855,8.52,2.0,134.0,150.772,142.252,141.929
17.0,HP,1.5,154.229,0.824,2.417,2.0,136.0,155.053,152.636,152.277
18.0,HP,6.0,162.911,0.858,6.883,2.0,138.0,163.769,156.886,156.566
19.0,HP,7.5,173.198,0.848,8.488,2.0,140.0,174.046,165.558,165.279
20.0,HP,12.0,187.957,0.819,12.939,2.0,142.0,188.776,175.837,175.553
21.0,HP,3.0,193.643,0.663,3.701,2.0,144.0,194.306,190.605,190.284
22.0,HP,3.0,199.279,1.162,4.314,2.0,146.0,200.441,196.127,195.812
23.0,HP,6.0,208.613,0.853,6.927,2.0,148.0,209.466,202.539,201.948
24.0,HP,3.0,214.38,0.671,3.766,2.0,150.0,215.051,211.285,210.973
25.0,HP,9.0,225.981,0.692,9.847,2.0,152.0,226.673,216.826,216.558
26.0,HP,7.5,236.037,0.859,8.401,2.0,154.0,236.896,228.495,228.179
27.0,HP,9.0,247.897,0.86,9.998,2.0,156.0,248.757,238.759,238.412
28.0,HP,6.0,256.689,0.845,6.975,2.0,158.0,257.534,250.559,250.277
29.0,HP,1.5,260.962,0.822,2.461,2.0,160.0,261.784,259.323,259.04
30.0,HP,4.5,268.168,0.847,5.4,2.0,162.0,269.015,263.615,263.301
31.0,HP,6.0,276.887,0.695,6.763,2.0,164.0,277.582,270.819,270.523
32.0,HP,9.0,288.547,0.699,9.785,2.0,166.0,289.246,279.461,279.085
33.0,HP,10.5,301.593,0.697,11.302,2.0,168.0,302.29,290.988,290.748
34.0,HP,3.0,307.043,0.665,3.824,2.0,170.0,307.708,303.884,303.793
35.0,HP,10.5,320.1,0.688,11.248,2.0,172.0,320.788,309.54,309.212
36.0,HP,12.0,334.618,0.867,12.902,2.0,174.0,335.485,322.583,322.29
37.0,HP,10.5,347.85,0.679,11.221,2.0,176.0,348.529,337.308,336.988
38.0,HP,6.0,356.187,0.863,7.002,2.0,178.0,357.05,350.048,350.032
39.0,HP,12.0,370.917,0.885,12.947,2.0,180.0,371.802,358.855,358.553
40.0,HP,1.5,375.147,0.858,2.449,2.0,182.0,376.005,373.556,373.307
41.0,HP,9.0,387.041,0.875,10.049,2.0,184.0,387.916,377.867,377.511
42.0,HP,1.5,391.252,0.697,2.267,2.0,186.0,391.949,389.682,389.421
43.0,HP,12.0,405.674,0.862,12.912,2.0,188.0,406.536,393.624,393.453
44.0,HP,7.5,,,3.25,0.0,188.0,411.604,408.354,408.043
45.0,HP,4.5,417.978,0.679,5.277,2.0,190.0,418.657,413.38,413.109
46.0,HP,4.5,424.978,0.687,5.211,2.0,192.0,425.665,420.454,420.162
47.0,HP,7.5,435.026,0.686,8.217,2.0,194.0,435.712,427.495,427.177
48.0,HP,6.0,443.599,0.692,6.812,2.0,196.0,444.291,437.479,437.217
49.0,HP,6.0,452.224,0.689,6.831,2.0,198.0,452.913,446.082,445.806
50.0,HP,4.5,459.069,0.676,5.229,2.0,200.0,459.745,454.516,454.418
51.0,HP,3.0,464.931,0.7,3.877,2.0,202.0,465.631,461.754,461.252
52.0,HP,4.5,472.022,0.892,5.487,2.0,204.0,472.914,467.427,467.135
53.0,HP,1.5,476.416,0.87,2.441,2.0,206.0,477.286,474.845,474.419
54.0,HP,3.0,482.058,0.696,3.703,2.0,208.0,482.754,479.051,478.792
55.0,HP,7.5,492.108,0.697,8.223,2.0,210.0,492.805,484.582,484.267
56.0,HP,3.0,497.493,0.677,3.685,2.0,212.0,498.17,494.485,494.312
57.0,HP,9.0,509.156,0.691,9.847,2.0,214.0,509.847,500.0,499.676
58.0,HP,4.5,516.011,0.674,5.222,2.0,216.0,516.685,511.463,511.353
59.0,HP,10.5,,,8.923,0.0,216.0,527.478,518.555,518.203
60.0,HP,10.5,,,8.878,0.0,216.0,538.208,529.33,528.995
61.0,HP,1.5,541.53,1.005,2.572,2.0,218.0,542.535,539.963,539.715
62.0,HP,1.5,545.846,0.668,2.175,2.0,220.0,546.514,544.339,544.039
63.0,HP,10.5,558.941,0.671,11.303,2.0,222.0,559.612,548.309,548.021
64.0,HP,9.0,,,6.272,0.0,222.0,567.677,561.405,561.12
65.0,HP,12.0,581.552,0.889,12.997,2.0,224.0,582.441,569.444,569.195
66.0,HP,12.0,596.425,0.859,13.024,2.0,226.0,597.284,584.26,583.948
