trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
1.0,LP,13.596,,,6.89,0.0,0.0,7.472,0.582,0.001
2.0,LP,2.312,11.699,1.49,3.902,2.0,2.0,13.189,9.287,8.976
3.0,LP,1.203,16.01,0.685,1.969,2.0,4.0,16.695,14.726,14.693
4.0,LP,7.65,25.883,1.005,8.662,2.0,6.0,26.888,18.226,18.199
5.0,LP,4.253,32.965,0.879,5.306,2.0,8.0,33.844,28.538,28.392
6.0,LP,0.206,36.335,1.035,1.413,2.0,10.0,37.37,35.957,35.348
7.0,LP,13.596,,,5.599,0.0,10.0,44.955,39.356,38.871
8.0,LP,23.999,,,9.1,0.0,10.0,55.577,46.477,46.459
9.0,LP,0.206,57.708,0.887,1.098,2.0,12.0,58.595,57.497,57.08
10.0,LP,23.999,,,6.325,0.0,12.0,66.815,60.49,60.099
11.0,LP,1.203,70.038,0.747,1.992,2.0,14.0,70.785,68.793,68.318
12.0,LP,0.206,72.64,0.723,0.954,2.0,16.0,73.363,72.409,72.29
13.0,LP,4.253,79.512,0.738,5.068,2.0,18.0,80.25,75.182,74.867
14.0,LP,7.65,,,6.528,0.0,18.0,88.638,82.11,81.751
15.0,LP,0.569,91.251,0.764,1.482,2.0,20.0,92.015,90.533,90.143
16.0,LP,1.203,95.159,0.749,1.97,2.0,22.0,95.908,93.938,93.517
17.0,LP,13.596,,,5.792,0.0,22.0,103.667,97.875,97.41
18.0,LP,7.65,,,4.673,0.0,22.0,110.315,105.642,105.17
19.0,LP,2.312,114.629,0.729,3.198,2.0,24.0,115.358,112.16,111.817
20.0,LP,2.312,119.714,0.727,3.194,2.0,26.0,120.441,117.247,116.859
21.0,LP,0.206,122.949,0.853,1.22,2.0,28.0,123.802,122.582,121.946
22.0,LP,0.206,126.128,0.687,1.071,2.0,30.0,126.815,125.744,125.303
23.0,LP,7.65,,,4.296,0.0,30.0,132.939,128.643,128.316
24.0,LP,23.999,,,3.706,0.0,30.0,138.573,134.867,134.443
25.0,LP,13.596,,,2.739,0.0,30.0,143.278,140.539,140.077
26.0,LP,1.203,146.513,0.696,2.016,2.0,32.0,147.209,145.193,144.782
27.0,LP,1.203,150.482,0.713,2.072,2.0,34.0,151.195,149.123,148.711
28.0,LP,2.312,155.566,0.728,3.2,2.0,36.0,156.294,153.094,152.699
29.0,LP,23.999,,,4.385,0.0,36.0,162.67,158.285,157.797
30.0,LP,2.312,167.377,0.921,3.336,2.0,38.0,168.298,164.962,164.175
31.0,LP,7.65,,,2.955,0.0,38.0,173.354,170.399,169.803
32.0,LP,7.65,,,4.352,0.0,38.0,179.762,175.41,174.859
33.0,LP,1.203,183.034,0.705,1.939,2.0,40.0,183.739,181.8,181.266
34.0,LP,4.253,,,4.166,0.0,40.0,189.828,185.662,185.242
35.0,LP,1.203,193.224,0.917,2.19,2.0,42.0,194.141,191.951,191.332
36.0,LP,23.999,,,2.837,0.0,42.0,198.886,196.049,195.646
37.0,LP,0.569,201.555,0.707,1.351,2.0,44.0,202.262,200.911,200.39
38.0,LP,7.65,,,3.58,0.0,44.0,207.75,204.17,203.767
39.0,LP,13.596,,,4.127,0.0,44.0,213.922,209.795,209.253
40.0,LP,13.596,,,4.13,0.0,44.0,220.153,216.023,215.425
41.0,LP,0.569,222.606,1.042,1.612,2.0,46.0,223.648,222.036,221.658
42.0,LP,23.999,,,3.393,0.0,46.0,229.212,225.819,225.151
43.0,LP,4.253,,,4.142,0.0,46.0,235.489,231.347,230.712
44.0,LP,2.312,239.901,0.693,3.133,2.0,48.0,240.594,237.461,236.994
45.0,LP,0.569,243.434,0.863,1.59,2.0,50.0,244.297,242.707,242.096
46.0,LP,0.206,246.657,0.686,1.061,2.0,52.0,247.343,246.282,245.799
47.0,LP,1.203,250.486,0.699,2.054,2.0,54.0,251.185,249.131,248.847
48.0,LP,0.569,253.706,0.871,1.466,2.0,56.0,254.577,253.111,252.689
49.0,LP,4.253,,,3.146,0.0,56.0,259.626,256.48,256.082
50.0,LP,0.569,262.21,0.853,1.542,2.0,58.0,263.063,261.521,261.13
51.0,LP,13.596,,,1.193,0.0,58.0,266.245,265.052,264.566
52.0,LP,4.253,,,3.062,0.0,58.0,271.25,268.188,267.749
53.0,LP,4.253,,,3.003,0.0,58.0,276.233,273.23,272.751
54.0,LP,13.596,,,4.093,0.0,58.0,282.381,278.288,277.737
55.0,LP,0.206,287.088,1.371,1.749,2.0,60.0,288.459,286.71,283.885
56.0,LP,0.569,291.392,0.846,1.565,2.0,62.0,292.238,290.673,289.964
57.0,LP,0.569,294.85,1.08,1.702,2.0,64.0,295.93,294.228,293.742
58.0,LP,2.312,,,2.677,0.0,64.0,300.469,297.792,297.434
59.0,LP,4.253,,,2.898,0.0,64.0,305.346,302.448,301.975
60.0,LP,23.999,,,2.911,0.0,64.0,310.193,307.282,306.85
61.0,LP,7.65,,,4.317,0.0,64.0,316.907,312.59,311.697
62.0,LP,0.206,319.272,0.714,1.122,2.0,66.0,319.986,318.864,318.407
63.0,LP,2.312,324.627,0.689,3.089,2.0,68.0,325.316,322.227,321.491
64.0,LP,13.596,,,7.586,0.0,68.0,334.805,327.219,326.818
65.0,LP,1.203,338.008,0.715,1.941,2.0,70.0,338.723,336.782,336.306
66.0,LP,0.206,341.046,0.93,1.149,2.0,72.0,341.976,340.827,340.225
67.0,LP,23.999,,,2.895,0.0,72.0,346.857,343.962,343.48
68.0,LP,23.999,,,2.539,0.0,72.0,351.333,348.794,348.361
69.0,LP,2.312,,,2.55,0.0,72.0,355.856,353.306,352.836
70.0,LP,4.253,,,3.562,0.0,72.0,361.672,358.11,357.36
71.0,LP,1.203,364.945,0.679,1.951,2.0,74.0,365.624,363.673,363.177
72.0,LP,13.596,,,3.021,0.0,74.0,370.252,367.231,367.128
73.0,LP,0.569,372.846,0.85,1.57,2.0,76.0,373.696,372.126,371.755
74.0,LP,2.312,,,2.607,0.0,76.0,378.187,375.58,375.198
75.0,LP,23.999,,,2.709,0.0,76.0,382.808,380.099,379.69
76.0,LP,23.999,,,3.218,0.0,76.0,388.115,384.897,384.31
77.0,LP,13.596,,,4.527,0.0,76.0,394.753,390.226,389.616
78.0,LP,23.999,,,4.265,0.0,76.0,400.954,396.689,396.257
79.0,LP,0.206,403.213,0.863,1.238,2.0,78.0,404.076,402.838,402.459
80.0,LP,4.253,,,3.242,0.0,78.0,409.196,405.954,405.581
81.0,LP,0.569,411.882,0.739,1.443,2.0,80.0,412.621,411.178,410.7
82.0,LP,23.999,,,2.491,0.0,80.0,417.112,414.621,414.122
83.0,LP,7.65,,,3.238,0.0,80.0,422.306,419.068,418.614
84.0,LP,23.999,,,2.685,0.0,80.0,426.984,424.299,423.808
85.0,LP,1.203,429.987,0.67,2.007,2.0,82.0,430.657,428.65,428.488
86.0,LP,2.312,434.959,0.702,3.135,2.0,84.0,435.661,432.526,432.162
87.0,LP,0.569,438.239,0.863,1.587,2.0,86.0,439.102,437.515,437.166
88.0,LP,7.65,,,3.233,0.0,86.0,444.544,441.311,440.603
89.0,LP,2.312,448.596,0.704,3.086,2.0,88.0,449.3,446.214,446.048
90.0,LP,13.596,,,3.337,0.0,88.0,454.661,451.324,450.802
91.0,LP,4.253,461.046,0.501,4.793,2.0,90.0,461.547,456.754,456.164
92.0,LP,2.312,466.055,0.68,3.159,2.0,92.0,466.735,463.576,463.05
93.0,LP,0.206,471.057,0.886,1.27,2.0,94.0,471.943,470.673,468.24
94.0,LP,0.569,474.667,1.965,2.541,2.0,96.0,476.632,474.091,473.448
95.0,LP,0.206,480.437,0.695,1.068,2.0,98.0,481.132,480.064,478.136
96.0,LP,2.312,485.553,0.67,3.077,2.0,100.0,486.223,483.146,482.636
97.0,LP,2.312,490.995,0.672,3.053,2.0,102.0,491.667,488.614,487.727
98.0,LP,7.65,,,4.511,0.0,102.0,498.217,493.706,493.171
99.0,LP,13.596,,,3.003,0.0,102.0,503.296,500.293,499.719
100.0,LP,7.65,,,3.917,0.0,102.0,509.183,505.266,504.799
101.0,LP,0.569,511.739,0.883,1.462,2.0,104.0,512.622,511.16,510.684
102.0,LP,1.203,515.757,0.865,2.159,2.0,106.0,516.622,514.463,514.126
103.0,LP,1.203,519.922,0.853,2.137,2.0,108.0,520.775,518.638,518.126
104.0,LP,23.999,,,2.813,0.0,108.0,526.845,524.032,522.279
105.0,LP,4.253,,,2.766,0.0,108.0,531.582,528.816,528.348
106.0,LP,7.65,,,3.248,0.0,108.0,537.21,533.962,533.087
107.0,LP,1.203,540.567,0.674,1.963,2.0,110.0,541.241,539.278,538.711
108.0,LP,0.569,544.185,0.906,1.504,2.0,112.0,545.091,543.587,542.746
109.0,LP,13.596,,,3.368,0.0,112.0,551.103,547.735,546.595
110.0,LP,0.206,554.014,0.685,1.055,2.0,114.0,554.699,553.644,552.604
111.0,LP,13.596,,,2.731,0.0,114.0,559.351,556.62,556.2
112.0,LP,2.312,,,2.369,0.0,114.0,563.526,561.157,560.856
113.0,LP,1.203,566.491,0.831,2.042,2.0,116.0,567.322,565.28,565.029
114.0,LP,7.65,,,2.348,0.0,116.0,571.539,569.191,568.824
115.0,LP,4.253,,,2.333,0.0,116.0,575.729,573.396,573.041
116.0,LP,4.253,,,2.353,0.0,116.0,580.171,577.818,577.232
117.0,LP,13.596,,,2.349,0.0,116.0,584.582,582.233,581.675
118.0,LP,13.596,,,2.803,0.0,116.0,589.225,586.422,586.085
119.0,LP,7.65,,,3.41,0.0,116.0,594.588,591.178,590.731
120.0,LP,7.65,,,3.392,0.0,116.0,599.915,596.523,596.095
1.0,HP,7.5,,,3.563,0.0,116.0,4.104,0.541,0.0
2.0,HP,10.5,,,4.954,0.0,116.0,11.068,6.114,5.605
3.0,HP,4.5,,,2.632,0.0,116.0,15.504,12.872,12.572
4.0,HP,9.0,,,6.353,0.0,116.0,23.74,17.387,17.005
5.0,HP,12.0,,,2.858,0.0,116.0,28.62,25.762,25.243
6.0,HP,9.0,,,3.138,0.0,116.0,33.659,30.521,30.121
7.0,HP,9.0,,,2.962,0.0,116.0,38.556,35.594,35.163
8.0,HP,3.0,,,3.145,0.0,116.0,43.616,40.471,40.06
9.0,HP,12.0,,,3.443,0.0,116.0,49.02,45.577,45.117
10.0,HP,6.0,,,2.518,0.0,116.0,53.209,50.691,50.521
11.0,HP,10.5,,,2.915,0.0,116.0,57.738,54.823,54.71
12.0,HP,7.5,,,3.934,0.0,116.0,63.58,59.646,59.241
13.0,HP,3.0,,,2.776,0.0,116.0,68.401,65.625,65.083
14.0,HP,1.5,71.902,0.801,2.442,2.0,118.0,72.703,70.261,69.905
15.0,HP,7.5,,,3.351,0.0,118.0,77.683,74.332,74.204
16.0,HP,7.5,,,2.663,0.0,118.0,82.195,79.532,79.188
17.0,HP,1.5,85.613,0.847,2.461,2.0,120.0,86.46,83.999,83.7
18.0,HP,6.0,,,2.474,0.0,120.0,90.927,88.453,87.964
19.0,HP,7.5,,,3.17,0.0,120.0,96.103,92.933,92.432
20.0,HP,12.0,,,3.697,0.0,120.0,101.726,98.029,97.605
21.0,HP,3.0,,,3.165,0.0,120.0,106.799,103.634,103.228
22.0,HP,3.0,,,3.385,0.0,120.0,111.8,108.415,108.303
23.0,HP,6.0,,,5.049,0.0,120.0,118.382,113.333,113.303
24.0,HP,3.0,123.415,0.656,3.773,2.0,122.0,124.071,120.298,119.888
25.0,HP,9.0,,,3.939,0.0,122.0,129.638,125.699,125.576
26.0,HP,7.5,,,4.065,0.0,122.0,135.559,131.494,131.142
27.0,HP,9.0,,,4.171,0.0,122.0,141.867,137.696,137.063
28.0,HP,6.0,,,3.922,0.0,122.0,147.831,143.909,143.373
29.0,HP,1.5,151.284,1.382,2.976,2.0,124.0,152.666,149.69,149.334
30.0,HP,4.5,,,2.869,0.0,124.0,157.399,154.53,154.171
31.0,HP,6.0,,,3.978,0.0,124.0,163.335,159.357,158.903
32.0,HP,9.0,,,4.143,0.0,124.0,169.491,165.348,164.839
33.0,HP,10.5,,,3.775,0.0,124.0,175.149,171.374,170.995
34.0,HP,3.0,179.968,0.672,3.712,2.0,126.0,180.64,176.928,176.652
35.0,HP,10.5,,,2.871,0.0,126.0,185.441,182.57,182.143
36.0,HP,12.0,,,3.387,0.0,126.0,190.735,187.348,186.945
37.0,HP,10.5,,,4.295,0.0,126.0,196.947,192.652,192.239
38.0,HP,6.0,,,3.77,0.0,126.0,202.717,198.947,198.451
39.0,HP,12.0,,,4.281,0.0,126.0,209.038,204.757,204.219
40.0,HP,1.5,212.706,0.837,2.471,2.0,128.0,213.543,211.072,210.543
41.0,HP,9.0,,,2.003,0.0,128.0,217.479,215.476,215.047
42.0,HP,1.5,221.441,0.855,2.482,2.0,130.0,222.296,219.814,218.983
43.0,HP,12.0,,,5.37,0.0,130.0,229.981,224.611,223.8
