id,sess,key,block,auc,std_wtw,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,auc3,std_wtw1,std_wtw2,std_wtw3
s1001,2,"('s1001', 2)",1,5.998233673286814,2.0395743208574952,9.047,0.5640000000000001,0.5971764705882353,0.025777645330377835,LP,6.8836,6.5566698564593295,4.785488727858293,1.6981192403025516,2.4626502802807724,1.1798080438801644
s1001,2,"('s1001', 2)",2,6.685378407199521,2.194776574612574,3.816,0.558,0.551409090909091,0.028641076779923072,HP,7.415564318181818,6.375396825396827,6.030862587412588,2.1973508362756626,2.1648505538896092,1.7393614264083304
s1003,2,"('s1003', 2)",1,11.77674,1.5628200000000008,12.0,0.35,0.3753333333333333,0.01226622224411519,LP,12.0,11.343352941176471,12.0,0.0,2.626588235294118,0.0
s1003,2,"('s1003', 2)",2,12.0,0.0,12.0,0.374,0.3931194029850747,0.011481862116790779,HP,12.0,12.0,12.0,0.0,0.0,0.0
s1004,2,"('s1004', 2)",1,5.868295104895105,2.0969227559406263,10.815,0.48,0.5518732394366194,0.031230856017991727,LP,7.115466063348417,5.654534615384615,4.858200854700854,2.5986407280468162,1.8438344418091808,0.5927436264237147
s1004,2,"('s1004', 2)",2,7.62012120384863,1.4004070789327023,5.347,0.489,0.5219999999999998,0.022783879941423172,HP,7.449098452012385,7.79765625,7.829557467532468,1.6060718615189449,0.7879241559858017,2.0200597949736325
s1006,2,"('s1006', 2)",1,4.303009445271533,2.9328613896537186,12.0,0.483,0.628671641791045,0.052850644636334786,LP,4.018469575163399,5.538544237012989,3.6519531695156697,2.9610105282522614,3.23278554233767,2.385460558913162
s1006,2,"('s1006', 2)",2,6.761851385971126,3.821301176543119,3.818,0.6605000000000001,2.2993750000000004,0.7431831980470056,HP,7.499895321637429,6.761361776331086,6.272579831932774,3.9581631466126157,4.639011716357807,3.1364316573306446
s1007,2,"('s1007', 2)",1,10.868094726661916,2.6300308952227685,1.962,0.506,0.5243166666666665,0.018418989169795313,LP,9.562834586466165,11.53736,12.0,3.112434059887798,2.26646386920242,0.0
s1007,2,"('s1007', 2)",2,11.585775999999997,0.9092347627670206,12.0,0.494,0.5427142857142855,0.025100728579940744,HP,11.463000000000001,11.762,11.515142857142857,1.074,0.3365828278447968,1.1876525981437294
s1008,2,"('s1008', 2)",1,4.697079910714287,0.8348313882091868,3.132,0.3535,0.3586351351351352,0.008597538470926815,LP,3.9853726708074535,5.0260779220779215,5.204785714285714,0.7587378848368226,0.5776636838078775,0.5351096254268742
s1008,2,"('s1008', 2)",2,5.495765288737447,1.2263340947250703,3.295,0.372,0.3604864864864865,0.014952597201499874,HP,4.884913376945635,5.935184210526315,5.7363124999999995,1.603583874674722,0.9118666181105529,0.570462062580633
s1009,2,"('s1009', 2)",1,3.8485566992623097,1.5746236212353162,12.0,0.445,0.46299999999999997,0.01301463800312736,LP,4.940308333333333,3.2351816578483246,3.349786931818181,2.235902112108345,0.5644095731779881,0.5667874406666087
s1009,2,"('s1009', 2)",2,5.65191218925421,3.3286025376607253,4.365,0.461,0.4667804878048781,0.021914373200263036,HP,3.5750023496240604,4.566576923076923,10.989827067669175,0.6082873610575013,0.44620224428031396,2.7730876158141164
s1010,2,"('s1010', 2)",1,5.384411204346052,1.2783194660513093,7.693,0.3645,0.4494714285714287,0.031912947416808564,LP,5.351135185185186,5.603363636363636,5.193414529914531,1.4968073994286055,1.3981726660653293,0.762615967895858
s1010,2,"('s1010', 2)",2,8.828147271674627,2.0400601645820995,6.337,0.348,0.46578260869565213,0.04629355776551741,HP,7.795301587301586,10.518805194805196,8.188367032967033,1.1183978761030697,1.9899516801479538,1.6699261450003307
s1011,2,"('s1011', 2)",1,7.286988324391466,2.947695256361468,8.909,0.4655,0.7781818181818181,0.18063578399541355,LP,9.159019230769232,9.023218750000002,4.488967078189301,1.3634018397205039,2.23163682549344,2.303410497361492
s1011,2,"('s1011', 2)",2,9.977380071684587,2.717215659072925,5.742,0.4865,0.5378571428571429,0.022961361574707007,HP,7.216263157894737,11.488624999999999,12.0,2.0817501529933784,1.352971076695655,0.0
s1012,2,"('s1012', 2)",1,2.168502039048874,1.2886676337561964,6.629,0.689,1.1296911764705881,0.1688783796648708,LP,3.0313961096374897,2.024202122934222,1.5771444890624717,1.540491294496622,1.0346578935113437,0.8431290696646063
s1012,2,"('s1012', 2)",2,3.4435643355255445,1.9699512999038933,1.637,1.272,1.5683333333333331,0.21490681937781586,HP,3.3443935698447893,3.273486070381232,3.796273970588236,1.8978309030777891,2.00569728173263,1.9382827031457686
s1013,2,"('s1013', 2)",1,3.0793270921770763,1.3391180709043966,7.034,0.3965,0.38811842105263156,0.011277382297800412,LP,4.012177142857142,2.2237222222222224,3.0055454545454543,0.8591269040088528,0.4702652095190018,1.6162100090608358
s1013,2,"('s1013', 2)",2,5.222089641629847,2.190718155006308,3.284,0.438,0.5344,0.04776840728655161,HP,4.358768042328041,6.213139130434784,5.4222787878787875,0.8774457497542375,3.26589585655454,1.6682383307962698
s1014,2,"('s1014', 2)",1,6.107745371929421,2.3696681234321977,3.33,1.02,1.4515967741935485,0.1300127754462177,LP,6.1062666666666665,6.790091836734694,5.674312925170068,2.327387074716098,2.9482794478221312,1.9244334825107494
s1014,2,"('s1014', 2)",2,7.4840837749746765,3.5248085597474126,3.356,1.055,1.222911111111111,0.12223601466510241,HP,7.709974790209791,7.357793481299403,7.486965186767964,3.6625272639326227,3.747493215430641,3.0814039483681475
s1015,2,"('s1015', 2)",1,2.9591131481481483,1.1815024295366112,2.722,0.4495,0.47702857142857136,0.017138391935479558,LP,3.667073369565218,2.8160055555555563,2.403719087635054,1.4457885354304496,0.7568447404060142,0.7188627301994143
s1015,2,"('s1015', 2)",2,4.144638362444008,1.235409527237757,1.721,0.4645,0.4570999999999999,0.026589945886034107,HP,3.6250926829268306,4.31728,4.902287272727273,1.6008785537052455,0.6192123719694238,1.701351822207542
s1016,2,"('s1016', 2)",1,7.19924362793777,1.5102651771217837,11.5,0.3685,0.38491428571428554,0.014482991331243507,LP,8.01709656084656,6.85246153846154,6.462818181818181,1.6496993801625823,0.8551227186230788,1.3813662418833308
