block,condition,auc,std_wtw,id,sess,key
1,LP,4.8219227464244225,1.6606346157533018,s1001,1,"('s1001', 1)"
2,HP,6.986778558637876,2.0217517283248885,s1001,1,"('s1001', 1)"
1,LP,4.696046398820687,3.817049372829654,s1003,1,"('s1003', 1)"
2,HP,4.579246151358828,3.8006333005068598,s1003,1,"('s1003', 1)"
1,LP,8.29713592272007,3.053452644426132,s1004,1,"('s1004', 1)"
2,HP,5.8032557610631565,2.6486170552949373,s1004,1,"('s1004', 1)"
1,LP,7.051257693310399,3.6382621321563846,s1006,1,"('s1006', 1)"
2,HP,7.07840030227877,3.76632201993993,s1006,1,"('s1006', 1)"
1,LP,11.751410710295513,0.9858804602596123,s1007,1,"('s1007', 1)"
2,HP,11.42459700850283,2.155216561283148,s1007,1,"('s1007', 1)"
1,LP,5.141642034522354,1.4242922854427302,s1008,1,"('s1008', 1)"
2,HP,7.9228167314877735,2.1541643219179583,s1008,1,"('s1008', 1)"
1,LP,5.139131192669284,2.96479396362547,s1009,1,"('s1009', 1)"
2,HP,5.471377477389856,3.2490557920435847,s1009,1,"('s1009', 1)"
1,LP,8.724022286817346,3.5227993476195607,s1010,1,"('s1010', 1)"
2,HP,7.040906309206261,3.905928793851634,s1010,1,"('s1010', 1)"
1,LP,10.131942233948227,2.776574590311537,s1011,1,"('s1011', 1)"
2,HP,9.979422944521126,3.123164554348535,s1011,1,"('s1011', 1)"
1,LP,3.962579620677719,2.0396126993604122,s1012,1,"('s1012', 1)"
2,HP,4.609760537975761,2.469163366145907,s1012,1,"('s1012', 1)"
1,LP,8.138222292358275,3.7549436045525013,s1014,1,"('s1014', 1)"
2,HP,8.172422064119228,3.7654049361432698,s1014,1,"('s1014', 1)"
1,LP,3.1080229232391767,1.4153544350828,s1015,1,"('s1015', 1)"
2,HP,3.5726076917316347,1.4482404343915252,s1015,1,"('s1015', 1)"
1,LP,5.86509479714748,2.1414654175420886,s1016,1,"('s1016', 1)"
2,HP,4.329758706550821,1.6508374926964529,s1016,1,"('s1016', 1)"
1,LP,4.182715822459644,1.5295605961818208,s1017,1,"('s1017', 1)"
2,HP,8.93576455923575,4.179783671742883,s1017,1,"('s1017', 1)"
1,LP,8.618991669589532,4.054219054616515,s1018,1,"('s1018', 1)"
2,HP,8.935346931082753,3.901523595031267,s1018,1,"('s1018', 1)"
1,LP,11.958771929824561,0.308522626628729,s1019,1,"('s1019', 1)"
2,HP,11.784142829266882,1.3045626280581504,s1019,1,"('s1019', 1)"
1,LP,5.755067805651271,2.630640029528105,s1020,1,"('s1020', 1)"
