block,condition,auc,std_wtw
1,HP,7.452882659244111,2.190136527108502
1,HP,6.772283285138601,1.7596541371054049
1,HP,5.666387485642014,2.8962440623969714
1,HP,8.129205563206405,3.0267953532240464
1,HP,11.965347706879362,0.27374600358643325
1,HP,9.283398003535613,2.3270662975607914
1,HP,6.650022995963982,1.8566092589020393
1,HP,7.1758296442730085,3.660697452472731
1,HP,10.221410617571578,2.513732860610401
1,HP,5.24441989845845,2.594792804239801
1,HP,3.4468205200223494,1.2488170458817665
1,HP,7.604142695959316,2.911427864903674
1,HP,3.9132335332353314,1.851801293482238
1,HP,5.213425947879572,1.5059022176283814
1,HP,9.991993792407282,3.4987489741644033
1,HP,7.741320246367145,3.4587574186452015
1,HP,6.515151224020971,1.7613207056866114
1,HP,6.92968557676159,3.7707507707217145
1,HP,10.033460121677525,2.3656242231561917
1,HP,5.373241104390965,3.8452091217820943
1,HP,3.7739855872524886,1.9408461078285064
1,HP,4.26941829774347,2.2267660223369545
1,HP,11.95110294117647,0.40023967597758603
1,HP,5.30931332850478,3.0021146879794065
1,HP,6.559279520239981,3.015227573686102
1,HP,6.102279915665984,4.162450705424059
1,HP,10.495689081639412,1.3001518046923564
1,HP,11.301504381725593,1.5435980987494857
1,HP,11.936522707995417,0.3899681115163552
1,HP,5.347521085098764,1.3284195739714229
1,HP,9.760159390683,2.631548871025593
1,HP,6.66787979353617,2.93271836966624
1,HP,10.032074110806047,3.2815540603395092
1,HP,10.096871783245703,3.0009919463651573
1,HP,8.188467690745089,2.7321649102237062
1,HP,9.820829971423127,2.796560216526147
1,HP,12.0,0.0
1,HP,5.313138166699938,0.588043814419893
1,HP,6.737428378461473,1.794527270755657
1,HP,7.306658082576378,1.1744378661527899
1,HP,4.668447484240083,1.5764532523197006
1,HP,7.4179290519525765,2.712064447705658
1,HP,11.700192307692308,1.45784157911158
1,HP,10.025638598907278,3.9487897642368686
1,HP,5.91020202084866,4.692436699304496
