trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
1.0,LP,13.596,,,4.481,0.0,0.0,5.441,0.96,0.001
2.0,LP,2.312,9.745,0.716,3.105,2.0,2.0,10.461,7.356,6.953
3.0,LP,1.203,13.813,0.695,2.012,2.0,4.0,14.508,12.496,11.971
4.0,LP,7.65,,,4.43,0.0,4.0,20.952,16.522,16.016
5.0,LP,4.253,,,3.63,0.0,4.0,26.567,22.937,22.463
6.0,LP,0.206,28.636,0.879,1.118,2.0,6.0,29.515,28.397,28.076
7.0,LP,13.596,,,3.161,0.0,6.0,34.588,31.427,31.023
8.0,LP,23.999,,,4.372,0.0,6.0,40.895,36.523,36.097
9.0,LP,0.206,43.034,0.697,0.905,2.0,8.0,43.731,42.826,42.4
10.0,LP,23.999,,,4.367,0.0,8.0,50.02,45.653,45.241
11.0,LP,1.203,53.23,0.714,1.994,2.0,10.0,53.944,51.95,51.522
12.0,LP,0.206,56.222,2.046,2.275,2.0,12.0,58.268,55.993,55.45
13.0,LP,4.253,,,2.86,0.0,12.0,63.011,60.151,59.78
14.0,LP,7.65,,,4.881,0.0,12.0,69.543,64.662,64.514
15.0,LP,0.569,72.081,0.73,1.346,2.0,14.0,72.811,71.465,71.05
16.0,LP,1.203,76.033,0.713,1.933,2.0,16.0,76.746,74.813,74.312
17.0,LP,13.596,,,4.391,0.0,16.0,83.171,78.78,78.257
18.0,LP,7.65,,,3.784,0.0,16.0,88.874,85.09,84.684
19.0,LP,2.312,93.13,0.952,3.267,2.0,18.0,94.082,90.815,90.384
20.0,LP,2.312,98.491,0.691,3.103,2.0,20.0,99.182,96.079,95.596
21.0,LP,0.206,102.034,1.072,1.321,2.0,22.0,103.106,101.785,100.691
22.0,LP,0.206,105.34,0.897,1.137,2.0,24.0,106.237,105.1,104.616
23.0,LP,7.65,,,3.706,0.0,24.0,111.91,108.204,107.739
24.0,LP,23.999,,,3.189,0.0,24.0,117.096,113.907,113.411
25.0,LP,13.596,,,4.654,0.0,24.0,123.755,119.101,118.61
26.0,LP,1.203,127.086,0.704,2.077,2.0,26.0,127.79,125.713,125.262
27.0,LP,1.203,131.081,0.694,2.068,2.0,28.0,131.775,129.707,129.301
28.0,LP,2.312,136.224,0.726,3.158,2.0,30.0,136.95,133.792,133.278
29.0,LP,23.999,,,3.148,0.0,30.0,142.051,138.903,138.466
30.0,LP,2.312,146.469,0.715,3.091,2.0,32.0,147.184,144.093,143.564
31.0,LP,7.65,,,4.318,0.0,32.0,153.602,149.284,148.697
32.0,LP,7.65,,,4.27,0.0,32.0,159.991,155.721,155.113
33.0,LP,1.203,163.205,0.7,1.927,2.0,34.0,163.905,161.978,161.499
34.0,LP,4.253,,,4.65,0.0,34.0,170.87,166.22,165.416
35.0,LP,1.203,173.976,0.72,1.951,2.0,36.0,174.696,172.745,172.372
36.0,LP,23.999,,,5.768,0.0,36.0,182.728,176.96,176.201
37.0,LP,0.569,185.318,0.898,1.541,2.0,38.0,186.216,184.675,184.231
38.0,LP,7.65,,,4.561,0.0,38.0,192.812,188.251,187.72
39.0,LP,13.596,,,4.426,0.0,38.0,199.111,194.685,194.313
40.0,LP,13.596,,,2.745,0.0,38.0,203.724,200.979,200.613
41.0,LP,0.569,206.346,0.717,1.331,2.0,40.0,207.063,205.732,205.225
42.0,LP,23.999,,,3.549,0.0,40.0,212.61,209.061,208.57
43.0,LP,4.253,,,3.812,0.0,40.0,218.44,214.628,214.112
44.0,LP,2.312,,,2.306,0.0,40.0,222.619,220.313,219.957
45.0,LP,0.569,225.147,0.915,1.536,2.0,42.0,226.062,224.526,224.121
46.0,LP,0.206,228.225,0.73,0.95,2.0,44.0,228.955,228.005,227.564
47.0,LP,1.203,232.102,0.691,1.894,2.0,46.0,232.793,230.899,230.458
48.0,LP,0.569,235.499,0.706,1.297,2.0,48.0,236.205,234.908,234.301
49.0,LP,4.253,,,2.542,0.0,48.0,240.973,238.431,237.706
