trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
79.0,LP,0.206,393.935,0.78,1.048,2.0,82.0,394.715,393.667,393.554
80.0,LP,4.253,,,3.381,0.0,82.0,399.724,396.343,396.217
81.0,LP,0.569,402.093,0.647,1.37,2.0,84.0,402.74,401.37,401.227
82.0,LP,23.999,,,3.044,0.0,84.0,407.293,404.249,404.243
83.0,LP,7.65,,,3.176,0.0,84.0,412.106,408.93,408.795
84.0,LP,23.999,,,3.064,0.0,84.0,416.713,413.649,413.609
85.0,LP,1.203,419.663,0.776,2.102,2.0,86.0,420.439,418.337,418.216
86.0,LP,2.312,,,2.451,0.0,86.0,424.683,422.232,421.942
87.0,LP,0.569,426.905,0.81,1.505,2.0,88.0,427.715,426.21,426.187
88.0,LP,7.65,,,4.05,0.0,88.0,433.669,429.619,429.218
89.0,LP,2.312,437.966,0.688,3.07,2.0,90.0,438.654,435.584,435.174
90.0,LP,13.596,,,3.488,0.0,90.0,444.527,441.039,440.159
91.0,LP,4.253,,,3.161,0.0,90.0,449.309,446.148,446.029
92.0,LP,2.312,453.182,0.849,3.207,2.0,92.0,454.031,450.824,450.813
93.0,LP,0.206,455.844,0.956,1.258,2.0,94.0,456.8,455.542,455.534
94.0,LP,0.569,459.209,0.666,1.471,2.0,96.0,459.875,458.404,458.305
95.0,LP,0.206,461.732,0.991,1.288,2.0,98.0,462.723,461.435,461.379
96.0,LP,2.312,466.698,0.686,3.015,2.0,100.0,467.384,464.369,464.226
97.0,LP,2.312,471.472,0.814,3.183,2.0,102.0,472.286,469.103,468.886
98.0,LP,7.65,,,4.25,0.0,102.0,478.055,473.805,473.788
99.0,LP,13.596,,,3.128,0.0,102.0,482.82,479.692,479.558
100.0,LP,7.65,,,2.858,0.0,102.0,487.24,484.382,484.323
101.0,LP,0.569,489.481,0.774,1.407,2.0,104.0,490.255,488.848,488.743
102.0,LP,1.203,493.096,0.708,2.031,2.0,106.0,493.804,491.773,491.758
103.0,LP,1.203,496.526,0.794,2.009,2.0,108.0,497.32,495.311,495.307
104.0,LP,23.999,,,3.126,0.0,108.0,502.007,498.881,498.823
105.0,LP,4.253,,,2.934,0.0,108.0,506.55,503.616,503.509
106.0,LP,7.65,,,2.999,0.0,108.0,511.189,508.19,508.052
107.0,LP,1.203,514.037,0.658,1.913,2.0,110.0,514.695,512.782,512.692
108.0,LP,0.569,517.043,0.784,1.504,2.0,112.0,517.827,516.323,516.197
109.0,LP,13.596,,,3.658,0.0,112.0,523.026,519.368,519.328
110.0,LP,0.206,524.864,0.772,1.038,2.0,114.0,525.636,524.598,524.528
111.0,LP,13.596,,,1.731,0.0,114.0,528.952,527.221,527.14
112.0,LP,2.312,532.924,0.505,2.885,2.0,116.0,533.429,530.544,530.457
113.0,LP,1.203,536.393,0.668,1.875,2.0,118.0,537.061,535.186,534.933
114.0,LP,7.65,,,2.634,0.0,118.0,541.24,538.606,538.565
115.0,LP,4.253,,,3.11,0.0,118.0,545.864,542.754,542.741
116.0,LP,4.253,,,3.3,0.0,118.0,550.683,547.383,547.368
117.0,LP,13.596,,,3.066,0.0,118.0,555.337,552.271,552.185
118.0,LP,13.596,,,3.236,0.0,118.0,560.082,556.846,556.84
119.0,LP,7.65,,,3.884,0.0,118.0,565.539,561.655,561.586
120.0,LP,7.65,,,4.479,0.0,118.0,571.664,567.185,567.041
121.0,LP,0.206,573.533,0.813,1.092,2.0,120.0,574.346,573.254,573.167
122.0,LP,1.203,577.341,0.778,2.078,2.0,122.0,578.119,576.041,575.848
123.0,LP,4.253,,,4.306,0.0,122.0,583.982,579.676,579.622
124.0,LP,0.206,585.975,0.791,1.087,2.0,124.0,586.766,585.679,585.485
125.0,LP,7.65,,,4.097,0.0,124.0,592.551,588.454,588.27
126.0,LP,2.312,596.761,0.788,3.152,2.0,126.0,597.549,594.397,594.054
1.0,HP,7.5,,,3.663,0.0,126.0,4.298,0.635,0.001
2.0,HP,10.5,,,4.004,0.0,126.0,9.873,5.869,5.8
3.0,HP,4.5,,,3.873,0.0,126.0,15.67,11.797,11.376
4.0,HP,9.0,,,5.747,0.0,126.0,23.093,17.346,17.172
5.0,HP,12.0,,,4.553,0.0,126.0,29.212,24.659,24.595
6.0,HP,9.0,,,4.702,0.0,126.0,35.486,30.784,30.714
7.0,HP,9.0,,,5.484,0.0,126.0,42.6,37.116,36.987
8.0,HP,3.0,47.496,0.848,4.048,2.0,128.0,48.344,44.296,44.102
9.0,HP,12.0,,,5.295,0.0,128.0,55.18,49.885,49.846
10.0,HP,6.0,,,5.566,0.0,128.0,62.827,57.261,56.682
11.0,HP,10.5,,,5.304,0.0,128.0,69.812,64.508,64.33
12.0,HP,7.5,,,4.217,0.0,128.0,75.559,71.342,71.313
13.0,HP,3.0,80.277,0.791,3.88,2.0,130.0,81.068,77.188,77.061
14.0,HP,1.5,84.256,0.935,2.578,2.0,132.0,85.191,82.613,82.57
15.0,HP,7.5,,,3.808,0.0,132.0,90.51,86.702,86.693
16.0,HP,7.5,,,3.308,0.0,132.0,95.36,92.052,92.013
17.0,HP,1.5,98.733,0.781,2.362,2.0,134.0,99.514,97.152,96.862
18.0,HP,6.0,,,4.517,0.0,134.0,105.559,101.042,101.016
19.0,HP,7.5,,,7.873,0.0,134.0,115.047,107.174,107.063
20.0,HP,12.0,,,6.685,0.0,134.0,123.473,116.788,116.549
21.0,HP,3.0,128.214,0.809,3.917,2.0,136.0,129.023,125.106,124.976
22.0,HP,3.0,133.821,0.786,3.907,2.0,138.0,134.607,130.7,130.527
23.0,HP,6.0,142.633,0.799,6.936,2.0,140.0,143.432,136.496,136.109
24.0,HP,3.0,148.286,0.837,3.95,2.0,142.0,149.123,145.173,144.935
25.0,HP,9.0,,,9.05,0.0,142.0,160.049,150.999,150.626
26.0,HP,7.5,169.187,0.784,8.336,2.0,144.0,169.971,161.635,161.551
27.0,HP,9.0,,,0.501,0.0,144.0,172.13,171.629,171.472
28.0,HP,6.0,,,4.128,0.0,144.0,177.868,173.74,173.632
29.0,HP,1.5,180.948,0.776,2.289,2.0,146.0,181.724,179.435,179.37
30.0,HP,4.5,187.887,0.653,5.241,2.0,148.0,188.54,183.299,183.226
31.0,HP,6.0,196.105,0.503,6.562,2.0,150.0,196.608,190.046,190.043
32.0,HP,9.0,,,6.944,0.0,150.0,205.15,198.206,198.111
33.0,HP,10.5,,,4.776,0.0,150.0,211.664,206.888,206.652
34.0,HP,3.0,216.288,0.824,3.857,2.0,152.0,217.112,213.255,213.166
35.0,HP,10.5,,,7.145,0.0,152.0,225.886,218.741,218.614
36.0,HP,12.0,,,6.752,0.0,152.0,234.254,227.502,227.39
37.0,HP,10.5,,,7.048,0.0,152.0,242.922,235.874,235.76
38.0,HP,6.0,250.556,0.971,7.052,2.0,154.0,251.527,244.475,244.425
39.0,HP,12.0,,,7.962,0.0,154.0,261.528,253.566,253.029
40.0,HP,1.5,265.023,0.783,2.345,2.0,156.0,265.806,263.461,263.03
41.0,HP,9.0,,,5.362,0.0,156.0,272.71,267.348,267.309
42.0,HP,1.5,276.042,0.799,2.42,2.0,158.0,276.841,274.421,274.213
43.0,HP,12.0,,,8.84,0.0,158.0,287.232,278.392,278.344
44.0,HP,7.5,,,5.881,0.0,158.0,294.721,288.84,288.734
45.0,HP,4.5,300.885,0.797,5.446,2.0,160.0,301.682,296.236,296.223
