,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
alpha,0.9964517980292993,0.3189041082133548,0.8583223968129308,0.5971398203166252,0.5810296730054807,0.13868216612383633,0.7117324307310012,0.32505315818439184,0.30094420788067516,0.4213486011831581,0.7792484904434127,0.878132741073154,0.5638012827975085,0.9671348391291492
nu,0.8063777335594019,0.36904194794632983,0.3803900669917468,0.6815007452628044,0.45620453043343445,0.9242991274423678,0.45323036559945284,0.522244633737658,0.6221954245127423,0.032451935623424966,0.9431054042559401,0.8995751209066383,0.7189060562004135,0.9452509521952659
tau,0.6359112626479079,0.031910358089501704,0.14738947301107652,0.8481654827079784,0.5676713873405763,0.8356723337897396,0.501753109943241,0.6263761541622094,0.8406400725104495,0.6259925436960995,0.24693451021124682,0.4834065263695333,0.7687015854566348,0.2537308335024085
gamma,0.8185419622255166,0.9430352921735303,0.20061897106938875,0.6369530450478108,0.7717838867329265,0.9083667082174999,0.8557137445049905,0.4897727264990792,0.5456495270770424,0.951301765879089,0.9300054618432901,0.7012831367575506,0.44857334683622396,0.4108339290150562
eta,0.2701898161198709,0.5082927340215146,0.5150065008163398,0.507373434786313,0.8224333180879755,0.9189343655412583,0.9251501085339496,0.9044365499567188,0.7827839369162327,0.1528440045154384,0.07788348210572014,0.3306514242612345,0.3050182818875191,0.2264140646056808
