,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
HP,-0.08338068017076052,-0.013995502042341817,-0.05496005139361315,-0.07965017813515526,-0.04206251506016362,-0.03823855663318501,-0.027429703455742374,-0.007823045803855766,-0.06114134315489974,-0.12234938216229967,-0.09280976309304527,-0.10629163581755266,-0.0859465868073044,0.062135008346300626
LP,-0.025255609370968424,0.00630874493333196,-0.05781011377581921,-0.066786199474716,-0.10273298035624782,-0.06703919538972589,-0.015333424157352433,0.013594077161284086,-0.04970649583229709,-0.07719444527343243,-0.03537469654669211,-0.0908949186781539,-0.04084362329885925,0.11364649258957706
