,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
HP,0.508053514,0.98894131,0.555309862,0.215843419,0.789255681,0.336424269,0.53853036,0.915172951,0.015326425,0.017282945,0.290684409,0.191885196,0.150861502,0.496102371
LP,0.972425907,0.71592076,0.414006178,0.132843984,0.571425177,0.932335287,0.713966953,0.85701223,0.147591678,0.157202783,0.955151011,0.181514506,0.454338084,0.09537691
