,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
alpha,-0.07375000095537441,0.0001721905768055539,-0.0315581964209834,-0.02313591848987893,0.09989572666060285,-0.03583195804601596,-0.04999827163124395,-0.018742452800851243,0.02721913008010217,-0.059201666244903764,-0.04818754715291428,0.009728141765489917,-0.04216200436522858,-0.09039031498597085
nu,-0.0071551228072336565,-0.03854979843593458,0.058157292813847086,-0.04411544644267714,-0.025215491357768443,0.0435783770911078,-0.009322497174577485,-0.03150453969599502,-0.0022756799109255477,-0.05061226478258457,0.06452281380167606,-0.02625090631911687,0.002661476919451117,0.06683288841421195
tau,-0.04154012008835475,-0.11578043740118149,-0.04313153559488822,-0.031391669442787914,-0.007240172704761438,-0.14356569431237784,-0.1521511613367916,-0.054419871579997586,0.07424301628903318,-0.027868300993200302,-0.07619891988957772,-0.04306497850638339,-0.0911513304137188,-0.10674402205885496
gamma,0.007935786282136016,-0.009240683270700994,-0.054764257622632956,-0.028686872883839136,0.057751202598282536,-0.06924077515920762,0.025518268175719797,-0.05861937796814625,-0.013501641576783156,-0.0349443135994352,0.06821160641005666,0.020861076264254874,-0.012420645779905901,0.06886535484232453
eta,-0.03505760823574621,0.006377381877717463,-0.02958340066456273,-0.06056762709871882,-0.04269539991710935,0.08640946006251257,0.025432658003502803,-0.0433638341550392,-0.07776702160001331,-0.027986911100529623,0.06632601225027449,-0.06593709957479917,0.012731350994513856,0.05901605882573435
