,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
HP,0.089550294,0.112778242,0.108866494,0.2843199,0.348288092,0.928109941,0.415299845,0.660019872,0.676418467,0.052104415,0.107122573,0.01597908,0.311656132,0.990393896
LP,0.151038699,0.968542343,0.210766704,0.090414893,0.206911019,0.190981228,0.290581721,0.644702711,0.196288487,0.008245546,0.071353295,0.036231189,0.061589004,0.480456905
