,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
alpha,-0.03709219517328391,-0.09814459372636657,-0.013229955375962004,-0.032058409435326285,0.0698738838384289,0.054161533693953684,-0.025860320793161303,-0.04536321266276411,0.10046789308100822,-0.00020172778715242938,-0.08372486763779152,0.07180668921354756,-0.03180941446705948,-0.04320734922193329,-0.03630795368103675,0.004893415415097715,-0.002968533984965016
tau,0.025631500689094606,-0.11377365030744564,-0.03323621805203041,0.008664873415357172,0.005991133864246384,-0.006036095501757433,-0.0010416729767156827,0.06269882276205578,0.03149793357956863,-0.021863718394963535,-0.03593247494301861,0.027207291251192946,0.03861336539207255,0.06384336892834931,-0.004147406156107117,0.044306298010557126,-0.013383144880861814
gamma,-0.015213192472207178,-0.010976355117633514,-0.09907538906941508,-0.021676319865708706,-0.01500490930959691,0.01292037169205454,-0.030523710598903617,-0.017573858858410278,0.04181677788650883,0.015173785462987744,-0.05926887684400649,-0.004134019853895712,0.002387931807141329,-0.004828044629480557,-0.026134346496232128,-0.018451743121900552,0.001543997555069361
eta,-0.057723759601546014,0.03723929374132902,-0.04673227456983144,-0.0378519862040861,-0.03378175689602719,-0.02795191522921603,-0.05457688660670211,-0.09503483430608746,-0.048188395647788346,-0.027604261111879285,-0.026022298446800485,-0.04724735067249851,-0.0673184218978669,-0.08612686644678977,-0.06985297372591115,-0.081930587999912,-0.00573413400833788
