,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
HP,0.169,0.832,0.39,0.197,0.523,0.542,0.637,0.897,0.357,0.063,0.129,0.079,0.175,0.329
LP,0.702,0.928,0.36,0.272,0.097,0.27,0.799,0.826,0.412,0.225,0.573,0.14,0.518,0.068
