,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
HP,0.519,0.98,0.553,0.211,0.793,0.342,0.533,0.915,0.014,0.015,0.27,0.191,0.159,0.485
LP,0.962,0.711,0.38,0.126,0.576,0.942,0.725,0.868,0.153,0.133,0.973,0.161,0.451,0.091
