trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,0.596,0.596,0.0,0.0,0.597,0.001
2.0,LP,4.253,6.356,0.452,4.708,2.0,2.0,6.808,2.1
3.0,LP,1.203,9.516,0.409,1.614,2.0,4.0,9.925,8.311
4.0,LP,23.999,,4.237,4.237,0.0,4.0,15.664,11.427
5.0,LP,7.65,,6.981,6.981,0.0,4.0,24.148,17.167
6.0,LP,4.253,29.91,0.391,4.65,2.0,6.0,30.301,25.651
7.0,LP,0.569,32.373,0.577,1.148,2.0,8.0,32.95,31.802
8.0,LP,0.569,35.021,0.258,0.828,2.0,10.0,35.279,34.451
9.0,LP,23.999,,4.812,4.812,0.0,10.0,41.595,36.783
10.0,LP,23.999,,5.581,5.581,0.0,10.0,48.679,43.098
11.0,LP,13.596,,6.212,6.212,0.0,10.0,56.394,50.182
12.0,LP,2.312,60.211,0.352,2.667,2.0,12.0,60.563,57.896
13.0,LP,7.65,69.717,0.411,8.064,2.0,14.0,70.128,62.064
14.0,LP,1.203,72.833,0.32,1.524,2.0,16.0,73.153,71.629
15.0,LP,4.253,78.913,0.258,4.514,2.0,18.0,79.171,74.657
16.0,LP,13.596,,5.828,5.828,0.0,18.0,86.501,80.673
17.0,LP,1.203,89.218,0.394,1.602,2.0,20.0,89.612,88.01
18.0,LP,7.65,,3.935,3.935,0.0,20.0,95.049,91.114
19.0,LP,7.65,,5.764,5.764,0.0,20.0,102.315,96.551
20.0,LP,13.596,,6.284,6.284,0.0,20.0,110.101,103.817
21.0,LP,4.253,115.864,0.37,4.625,2.0,22.0,116.234,111.609
22.0,LP,23.999,,6.744,6.744,0.0,22.0,124.48,117.736
23.0,LP,0.206,126.191,0.525,0.734,2.0,24.0,126.716,125.982
24.0,LP,23.999,,9.975,9.975,0.0,24.0,138.193,128.218
25.0,LP,1.203,140.904,0.395,1.601,2.0,26.0,141.299,139.698
26.0,LP,1.203,144.009,0.378,1.585,2.0,28.0,144.387,142.802
27.0,LP,2.312,148.211,0.443,2.765,2.0,30.0,148.654,145.889
28.0,LP,0.206,150.366,0.507,0.716,2.0,32.0,150.873,150.157
29.0,LP,2.312,154.691,0.381,2.695,2.0,34.0,155.072,152.377
30.0,LP,13.596,,5.648,5.648,0.0,34.0,162.221,156.573
31.0,LP,23.999,,5.187,5.187,0.0,34.0,168.909,163.722
32.0,LP,2.312,172.724,0.357,2.67,2.0,36.0,173.081,170.411
33.0,LP,4.253,178.841,0.386,4.642,2.0,38.0,179.227,174.585
34.0,LP,0.206,180.939,0.53,0.741,2.0,40.0,181.469,180.728
35.0,LP,4.253,187.226,0.397,4.652,2.0,42.0,187.623,182.971
36.0,LP,7.65,,4.227,4.227,0.0,42.0,193.352,189.125
37.0,LP,0.206,195.063,0.511,0.719,2.0,44.0,195.574,194.855
38.0,LP,13.596,,4.425,4.425,0.0,44.0,201.501,197.076
39.0,LP,13.596,,4.113,4.113,0.0,44.0,207.117,203.004
40.0,LP,0.206,208.826,0.456,0.663,2.0,46.0,209.282,208.619
41.0,LP,7.65,,4.193,4.193,0.0,46.0,214.978,210.785
42.0,LP,2.312,218.796,0.548,2.863,2.0,48.0,219.344,216.481
43.0,LP,0.569,221.417,0.425,0.997,2.0,50.0,221.842,220.845
44.0,LP,0.206,223.55,0.363,0.57,2.0,52.0,223.913,223.343
45.0,LP,1.203,226.622,0.408,1.614,2.0,54.0,227.03,225.416
46.0,LP,13.596,,4.423,4.423,0.0,54.0,232.958,228.535
47.0,LP,7.65,,4.394,4.394,0.0,54.0,238.853,234.459
48.0,LP,23.999,,4.577,4.577,0.0,54.0,244.931,240.354
49.0,LP,0.569,247.004,0.332,0.904,2.0,56.0,247.336,246.432
50.0,LP,1.203,250.043,0.342,1.548,2.0,58.0,250.385,248.837
51.0,LP,0.569,252.458,0.467,1.038,2.0,60.0,252.925,251.887
52.0,LP,7.65,,4.59,4.59,0.0,60.0,259.016,254.426
53.0,LP,0.569,261.088,0.65,1.221,2.0,62.0,261.738,260.517
54.0,LP,2.312,265.554,0.4,2.714,2.0,64.0,265.954,263.24
55.0,LP,23.999,,4.763,4.763,0.0,64.0,272.219,267.456
56.0,LP,4.253,277.975,0.443,4.697,2.0,66.0,278.418,273.721
57.0,LP,2.312,282.232,0.398,2.711,2.0,68.0,282.63,279.919
58.0,LP,1.203,285.335,0.45,1.654,2.0,70.0,285.785,284.131
59.0,LP,0.206,287.493,0.481,0.687,2.0,72.0,287.974,287.287
60.0,LP,0.206,289.683,0.346,0.553,2.0,74.0,290.029,289.476
61.0,LP,0.569,292.103,0.404,0.976,2.0,76.0,292.507,291.531
62.0,LP,13.596,,4.776,4.776,0.0,76.0,298.786,294.01
63.0,LP,0.569,300.859,0.389,0.96,2.0,78.0,301.248,300.288
64.0,LP,4.253,307.008,0.444,4.701,2.0,80.0,307.452,302.751
65.0,LP,4.253,313.209,0.4,4.656,2.0,82.0,313.609,308.953
66.0,LP,0.569,315.682,0.508,1.08,2.0,84.0,316.19,315.11
67.0,LP,0.206,317.903,0.389,0.599,2.0,86.0,318.292,317.693
68.0,LP,4.253,,4.124,4.124,0.0,86.0,323.919,319.795
69.0,LP,23.999,,4.217,4.217,0.0,86.0,329.643,325.426
70.0,LP,23.999,,4.646,4.646,0.0,86.0,335.791,331.145
71.0,LP,0.206,337.5,0.388,0.595,2.0,88.0,337.888,337.293
72.0,LP,13.596,,4.401,4.401,0.0,88.0,343.792,339.391
73.0,LP,0.206,345.506,0.507,0.718,2.0,90.0,346.013,345.295
74.0,LP,7.65,,4.979,4.979,0.0,90.0,352.493,347.514
75.0,LP,7.65,,4.467,4.467,0.0,90.0,358.462,353.995
76.0,LP,0.206,360.172,0.416,0.625,2.0,92.0,360.588,359.963
77.0,LP,1.203,363.298,0.389,1.595,2.0,94.0,363.687,362.092
78.0,LP,1.203,366.394,0.365,1.57,2.0,96.0,366.759,365.189
79.0,LP,4.253,372.518,0.409,4.665,2.0,98.0,372.927,368.262
80.0,LP,1.203,375.635,0.31,1.515,2.0,100.0,375.945,374.43
81.0,LP,0.206,377.654,0.379,0.586,2.0,102.0,378.033,377.447
82.0,LP,0.206,379.742,0.33,0.537,2.0,104.0,380.072,379.535
83.0,LP,2.312,383.887,0.38,2.693,2.0,106.0,384.267,381.574
84.0,LP,2.312,388.083,0.366,2.68,2.0,108.0,388.449,385.769
85.0,LP,0.569,390.521,0.424,0.995,2.0,110.0,390.945,389.95
86.0,LP,1.203,393.652,0.407,1.612,2.0,112.0,394.059,392.447
87.0,LP,0.569,396.133,0.302,0.874,2.0,114.0,396.435,395.561
88.0,LP,4.253,402.192,0.361,4.617,2.0,116.0,402.553,397.936
89.0,LP,13.596,,4.818,4.818,0.0,116.0,408.875,404.057
90.0,LP,4.253,414.631,0.441,4.696,2.0,118.0,415.072,410.376
91.0,LP,4.253,420.83,0.399,4.654,2.0,120.0,421.229,416.575
92.0,LP,0.206,422.939,0.571,0.779,2.0,122.0,423.51,422.731
93.0,LP,23.999,,4.048,4.048,0.0,122.0,429.061,425.013
94.0,LP,1.203,431.769,0.454,1.659,2.0,124.0,432.223,430.564
95.0,LP,23.999,,4.136,4.136,0.0,124.0,437.86,433.724
96.0,LP,0.569,439.934,0.436,1.007,2.0,126.0,440.37,439.363
97.0,LP,0.569,442.443,0.319,0.889,2.0,128.0,442.762,441.873
98.0,LP,23.999,,5.73,5.73,0.0,128.0,449.994,444.264
99.0,LP,13.596,,5.587,5.587,0.0,128.0,457.086,451.499
100.0,LP,0.569,459.159,0.553,1.124,2.0,130.0,459.712,458.588
101.0,LP,2.312,463.527,0.398,2.711,2.0,132.0,463.925,461.214
102.0,LP,13.596,,3.533,3.533,0.0,132.0,468.96,465.427
103.0,LP,7.65,,4.755,4.755,0.0,132.0,475.216,470.461
104.0,LP,4.253,480.972,0.475,4.73,2.0,134.0,481.447,476.717
105.0,LP,7.65,,4.295,4.295,0.0,134.0,487.246,482.951
106.0,LP,2.312,491.064,0.501,2.817,2.0,136.0,491.565,488.748
107.0,LP,23.999,,5.148,5.148,0.0,136.0,498.215,493.067
108.0,LP,2.312,502.031,0.347,2.66,2.0,138.0,502.378,499.718
109.0,LP,4.253,508.135,0.362,4.618,2.0,140.0,508.497,503.879
110.0,LP,2.312,512.313,0.472,2.786,2.0,142.0,512.785,509.999
111.0,LP,1.203,515.494,0.486,1.692,2.0,144.0,515.98,514.288
112.0,LP,7.65,,5.328,5.328,0.0,144.0,522.816,517.488
113.0,LP,1.203,525.522,0.593,1.796,2.0,146.0,526.115,524.319
114.0,LP,2.312,529.929,0.265,2.578,2.0,148.0,530.194,527.616
115.0,LP,7.65,,4.866,4.866,0.0,148.0,536.562,531.696
116.0,LP,23.999,,4.288,4.288,0.0,148.0,542.352,538.064
117.0,LP,7.65,,5.276,5.276,0.0,148.0,549.131,543.855
118.0,LP,0.569,551.203,0.293,0.864,2.0,150.0,551.496,550.632
119.0,LP,7.65,,4.555,4.555,0.0,150.0,557.555,553.0
120.0,LP,13.596,,5.156,5.156,0.0,150.0,564.214,559.058
121.0,LP,2.312,568.029,0.389,2.703,2.0,152.0,568.418,565.715
122.0,LP,0.206,570.127,0.415,0.622,2.0,154.0,570.542,569.92
123.0,LP,0.569,572.614,0.393,0.964,2.0,156.0,573.007,572.043
124.0,LP,13.596,,7.553,7.553,0.0,156.0,582.061,574.508
125.0,LP,1.203,584.767,0.373,1.578,2.0,158.0,585.14,583.562
126.0,LP,13.596,,3.91,3.91,0.0,158.0,590.552,586.642
127.0,LP,13.596,,4.206,4.206,0.0,158.0,596.26,592.054
1.0,HP,9.0,,7.378,7.378,0.0,158.0,7.379,0.001
2.0,HP,10.5,,5.231,5.231,0.0,158.0,14.111,8.88
3.0,HP,3.0,18.614,0.405,3.407,2.0,160.0,19.019,15.612
4.0,HP,4.5,25.022,0.132,4.633,2.0,162.0,25.154,20.521
5.0,HP,3.0,29.661,0.434,3.438,2.0,164.0,30.095,26.657
6.0,HP,12.0,,5.552,5.552,0.0,164.0,37.148,31.596
7.0,HP,10.5,,4.768,4.768,0.0,164.0,43.417,38.649
8.0,HP,10.5,,5.391,5.391,0.0,164.0,50.309,44.918
9.0,HP,12.0,,5.213,5.213,0.0,164.0,57.024,51.811
10.0,HP,6.0,,5.901,5.901,0.0,164.0,64.426,58.525
11.0,HP,12.0,,10.911,10.911,0.0,164.0,76.838,65.927
12.0,HP,9.0,,5.792,5.792,0.0,164.0,84.133,78.341
13.0,HP,1.5,87.135,0.399,1.9,2.0,166.0,87.534,85.634
14.0,HP,6.0,,5.459,5.459,0.0,166.0,94.495,89.036
15.0,HP,6.0,102.0,0.431,6.433,2.0,168.0,102.431,95.998
16.0,HP,10.5,,5.795,5.795,0.0,168.0,109.727,103.932
17.0,HP,7.5,,5.957,5.957,0.0,168.0,117.186,111.229
18.0,HP,1.5,120.193,0.427,1.929,2.0,170.0,120.62,118.691
19.0,HP,4.5,126.624,0.415,4.918,2.0,172.0,127.039,122.121
20.0,HP,4.5,133.043,0.401,4.902,2.0,174.0,133.444,128.542
21.0,HP,6.0,140.947,0.038,6.039,2.0,176.0,140.985,134.946
22.0,HP,7.5,,6.439,6.439,0.0,176.0,148.925,142.486
23.0,HP,7.5,,6.424,6.424,0.0,176.0,156.85,150.426
24.0,HP,9.0,,6.969,6.969,0.0,176.0,165.32,158.351
25.0,HP,12.0,,5.933,5.933,0.0,176.0,172.755,166.822
26.0,HP,12.0,,3.787,3.787,0.0,176.0,178.044,174.257
27.0,HP,3.0,182.548,0.433,3.436,2.0,178.0,182.981,179.545
28.0,HP,7.5,,5.217,5.217,0.0,178.0,189.7,184.483
29.0,HP,6.0,,5.248,5.248,0.0,178.0,196.453,191.205
30.0,HP,4.5,,4.164,4.164,0.0,178.0,202.12,197.956
31.0,HP,9.0,,4.471,4.471,0.0,178.0,208.092,203.621
32.0,HP,7.5,,5.679,5.679,0.0,178.0,215.272,209.593
33.0,HP,3.0,219.786,0.423,3.427,2.0,180.0,220.209,216.782
34.0,HP,3.0,224.712,0.426,3.427,2.0,182.0,225.138,221.711
35.0,HP,9.0,,3.24,3.24,0.0,182.0,229.88,226.64
36.0,HP,9.0,,3.145,3.145,0.0,182.0,234.53,231.385
37.0,HP,3.0,239.032,0.378,3.379,2.0,184.0,239.41,236.031
38.0,HP,10.5,,3.617,3.617,0.0,184.0,244.53,240.913
39.0,HP,9.0,,3.931,3.931,0.0,184.0,249.962,246.031
40.0,HP,4.5,,3.885,3.885,0.0,184.0,255.35,251.465
41.0,HP,10.5,,4.193,4.193,0.0,184.0,261.045,256.852
42.0,HP,1.5,264.052,0.484,1.986,2.0,186.0,264.536,262.55
43.0,HP,9.0,,3.479,3.479,0.0,186.0,269.517,266.038
44.0,HP,6.0,,3.853,3.853,0.0,186.0,274.872,271.019
45.0,HP,1.5,277.877,0.695,2.198,2.0,188.0,278.572,276.374
46.0,HP,1.5,281.575,0.332,1.834,2.0,190.0,281.907,280.073
47.0,HP,12.0,,3.34,3.34,0.0,190.0,286.749,283.409
48.0,HP,1.5,289.753,0.428,1.929,2.0,192.0,290.181,288.252
49.0,HP,3.0,294.689,0.44,3.443,2.0,194.0,295.129,291.686
50.0,HP,1.5,298.133,0.425,1.927,2.0,196.0,298.558,296.631
51.0,HP,7.5,,3.816,3.816,0.0,196.0,303.876,300.06
52.0,HP,4.5,,4.267,4.267,0.0,196.0,309.645,305.378
53.0,HP,7.5,,4.581,4.581,0.0,196.0,315.728,311.147
54.0,HP,10.5,,4.074,4.074,0.0,196.0,321.304,317.23
55.0,HP,4.5,,4.369,4.369,0.0,196.0,327.174,322.805
56.0,HP,1.5,330.178,0.373,1.875,2.0,198.0,330.551,328.676
57.0,HP,10.5,,4.138,4.138,0.0,198.0,336.191,332.053
58.0,HP,6.0,,4.549,4.549,0.0,198.0,342.242,337.693
59.0,HP,3.0,346.747,0.385,3.386,2.0,200.0,347.132,343.746
60.0,HP,6.0,,4.182,4.182,0.0,200.0,352.816,348.634
61.0,HP,9.0,,4.033,4.033,0.0,200.0,358.35,354.317
62.0,HP,1.5,361.352,0.376,1.877,2.0,202.0,361.728,359.851
63.0,HP,3.0,366.23,0.401,3.402,2.0,204.0,366.631,363.229
64.0,HP,4.5,,3.561,3.561,0.0,204.0,371.696,368.135
65.0,HP,12.0,,3.612,3.612,0.0,204.0,376.809,373.197
66.0,HP,7.5,,3.441,3.441,0.0,204.0,381.753,378.312
67.0,HP,12.0,,4.239,4.239,0.0,204.0,387.493,383.254
68.0,HP,4.5,393.5,0.456,4.96,2.0,206.0,393.956,388.996
69.0,HP,12.0,,5.103,5.103,0.0,206.0,400.561,395.458
70.0,HP,3.0,405.066,0.473,3.475,2.0,208.0,405.539,402.064
71.0,HP,6.0,,5.113,5.113,0.0,208.0,412.155,407.042
72.0,HP,12.0,,4.759,4.759,0.0,208.0,418.415,413.656
73.0,HP,1.5,421.418,0.437,1.938,2.0,210.0,421.855,419.917
74.0,HP,6.0,,4.857,4.857,0.0,210.0,428.215,423.358
75.0,HP,3.0,432.719,0.403,3.404,2.0,212.0,433.122,429.718
76.0,HP,10.5,,4.975,4.975,0.0,212.0,439.598,434.623
77.0,HP,7.5,,4.639,4.639,0.0,212.0,445.742,441.103
78.0,HP,12.0,,4.466,4.466,0.0,212.0,451.71,447.244
79.0,HP,7.5,,4.88,4.88,0.0,212.0,458.092,453.212
80.0,HP,7.5,,4.532,4.532,0.0,212.0,464.127,459.595
81.0,HP,6.0,,4.796,4.796,0.0,212.0,470.424,465.628
82.0,HP,4.5,476.427,0.438,4.939,2.0,214.0,476.865,471.926
83.0,HP,4.5,482.867,0.368,4.869,2.0,216.0,483.235,478.366
84.0,HP,7.5,,5.286,5.286,0.0,216.0,490.022,484.736
85.0,HP,3.0,494.526,0.432,3.433,2.0,218.0,494.958,491.525
86.0,HP,12.0,,4.655,4.655,0.0,218.0,501.115,496.46
87.0,HP,10.5,,4.396,4.396,0.0,218.0,507.012,502.616
88.0,HP,9.0,,4.646,4.646,0.0,218.0,513.16,508.514
89.0,HP,7.5,,4.599,4.599,0.0,218.0,519.261,514.662
90.0,HP,9.0,,4.564,4.564,0.0,218.0,525.327,520.763
91.0,HP,10.5,,4.429,4.429,0.0,218.0,531.258,526.829
92.0,HP,6.0,,5.402,5.402,0.0,218.0,538.164,532.762
93.0,HP,1.5,541.169,0.447,1.949,2.0,220.0,541.616,539.667
94.0,HP,9.0,,4.56,4.56,0.0,220.0,547.678,543.118
95.0,HP,3.0,552.184,0.435,3.437,2.0,222.0,552.619,549.182
96.0,HP,9.0,,5.246,5.246,0.0,222.0,559.366,554.12
97.0,HP,12.0,,4.746,4.746,0.0,222.0,565.614,560.868
98.0,HP,4.5,,4.323,4.323,0.0,222.0,571.438,567.115
99.0,HP,10.5,,4.863,4.863,0.0,222.0,577.803,572.94
100.0,HP,4.5,583.813,0.665,5.171,2.0,224.0,584.478,579.307
101.0,HP,6.0,591.984,0.459,6.462,2.0,226.0,592.443,585.981
