id,worker_id,consent_date,age,gender,education,handness,language,race,batch
s1001,A3HW4QDJB63OQ2,2/2/22 14:01,31.0,Male,16.0,Right-handed,English,White,1.0
s1003,A11F3MA5FWH6SJ,2/2/22 10:58,35.0,Male,12.0,Right-handed,English,White,1.0
s1004,A38OPVI04AH4JG,2/2/22 11:54,54.0,Male,16.0,Right-handed,English,White,1.0
s1005,A1G187YBG0DVMQ,2/2/22 16:05,30.0,Male,16.0,Right-handed,english,White,1.0
s1006,A230GPTWWF3SE7,2/3/22 15:29,30.0,Female,14.0,Right-handed,English,"Asian,White",1.0
s1007,A37OUZOGQKGMW0,2/2/22 11:52,71.0,Female,14.0,Right-handed,English,White,1.0
s1008,A2M183CETUMR96,2/2/22 14:18,39.0,Male,8.0,Left-handed,english,White,1.0
s1009,A2J51BI7XS5ZYU,2/9/22 07:35,43.0,Male,17.0,Right-handed,English,White,1.0
s1010,A1WZY0K6IE3ASG,2/2/22 12:04,37.0,Male,18.0,Right-handed,English,White,1.0
s1011,A2ELXYKRPPGRPB,2/2/22 11:41,36.0,Female,16.0,Right-handed,English,White,1.0
s1012,A27VK38SRSSHV3,2/2/22 10:49,33.0,Female,18.0,Right-handed,english,Asian,1.0
s1013,AD1WGUMVD6KED,2/2/22 11:15,40.0,Female,12.0,Right-handed,English,White,1.0
s1014,A3K9GTQBOI7O5A,2/2/22 11:43,30.0,Female,16.0,Right-handed,English,White,1.0
s1015,A1AZGP16G9TURZ,2/2/22 11:01,40.0,Neither/Do not wish to disclose,18.0,Right-handed,english,Do not wish to answer,1.0
s1016,A39VZ93N96XB6O,2/2/22 21:00,33.0,Female,21.0,Right-handed,English,Black or African American,1.0
s1017,A8C3WNWRBWUXO,2/2/22 11:10,50.0,Male,14.0,Right-handed,English,White,1.0
s1018,A2MS1GQLGAX9FZ,2/2/22 11:13,23.0,Female,16.0,Right-handed,English,Asian,1.0
s1019,A222R4PNCF08OF,2/2/22 13:13,37.0,Female,16.0,Right-handed,english,White,1.0
s1020,A2196WCNDZULFS,2/2/22 12:05,41.0,Female,14.0,Right-handed,English,White,1.0
s1021,A3H32595TVJ34Q,2/2/22 12:11,36.0,Female,13.0,Right-handed,English,White,1.0
s1022,A1M1E62KXCDNL0,2/2/22 14:06,27.0,Male,15.0,Right-handed,English,White,1.0
s1023,A3KF6O09H04SP7,2/2/22 11:49,37.0,Male,16.0,Right-handed,English,White,1.0
s1024,ARYL3C6N9SVV1,2/2/22 14:40,35.0,Male,16.0,Left-handed,English,White,1.0
s1025,A27O7H19C0WQ7T,2/2/22 16:59,39.0,Female,16.0,Right-handed,ENGLISH,White,1.0
s1026,A2GV9WSNSPX53,2/2/22 14:34,29.0,Male,16.0,Left-handed,English,White,1.0
s1027,A2QTL039A5VV3I,2/2/22 13:19,31.0,Male,17.0,Right-handed,English,"Asian,White",1.0
s1028,A3L2XKXABNO0N5,2/2/22 17:38,37.0,Female,16.0,Right-handed,English,White,1.0
s1029,A1PMZUBGXFANCI,2/2/22 14:17,29.0,Male,12.0,Left-handed,English,White,1.0
s1030,A1S2NQYJGZ0C5F,2/2/22 16:56,42.0,Male,18.0,Right-handed,English,White,1.0
s1031,A2LT6KC1X51FVW,2/2/22 10:55,30.0,Male,14.0,Left-handed,English,White,1.0
s1032,A8KX1HFH8NE2Q,2/4/22 22:03,55.0,Male,18.0,Right-handed,English,White,1.0
s1033,A1CH3TODZNQCES,2/2/22 14:07,32.0,Male,16.0,Right-handed,English,White,1.0
s1034,A5WWHKD82I8UE,2/3/22 11:51,38.0,Male,16.0,Right-handed,English,White,1.0
s1035,A2GYGCLTMIGDJT,2/3/22 01:35,39.0,Male,16.0,Right-handed,English,Asian,1.0
s1036,A13WTEQ06V3B6D,2/2/22 16:03,29.0,Male,18.0,Right-handed,English,Asian,1.0
