trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,5.588,5.588,0.0,0.0,5.588,0.0
2.0,LP,4.253,11.346,0.356,4.612,2.0,2.0,11.702,7.09
3.0,LP,1.203,14.407,0.455,1.659,2.0,4.0,14.862,13.203
4.0,LP,23.999,,3.944,3.944,0.0,4.0,20.307,16.363
5.0,LP,7.65,,4.216,4.216,0.0,4.0,26.025,21.809
6.0,LP,4.253,,4.168,4.168,0.0,4.0,31.695,27.527
7.0,LP,0.569,33.774,0.447,1.017,2.0,6.0,34.221,33.204
8.0,LP,0.569,36.305,0.318,0.901,2.0,8.0,36.623,35.722
9.0,LP,23.999,,4.122,4.122,0.0,8.0,42.246,38.124
10.0,LP,23.999,,4.06,4.06,0.0,8.0,47.807,43.747
11.0,LP,13.596,,4.201,4.201,0.0,8.0,53.51,49.309
12.0,LP,2.312,57.33,0.327,2.64,2.0,10.0,57.657,55.017
13.0,LP,7.65,,4.611,4.611,0.0,10.0,63.77,59.159
14.0,LP,1.203,66.488,0.373,1.59,2.0,12.0,66.861,65.271
15.0,LP,4.253,72.623,0.264,4.519,2.0,14.0,72.887,68.368
16.0,LP,13.596,,4.184,4.184,0.0,14.0,78.572,74.388
17.0,LP,1.203,81.285,0.394,1.605,2.0,16.0,81.679,80.074
18.0,LP,7.65,,4.484,4.484,0.0,16.0,87.665,83.181
19.0,LP,7.65,,4.696,4.696,0.0,16.0,93.863,89.167
20.0,LP,13.596,,5.088,5.088,0.0,16.0,100.453,95.365
21.0,LP,4.253,106.21,0.293,4.548,2.0,18.0,106.503,101.955
22.0,LP,23.999,,4.37,4.37,0.0,18.0,112.382,108.012
23.0,LP,0.206,114.108,0.449,0.674,2.0,20.0,114.557,113.883
24.0,LP,23.999,,4.772,4.772,0.0,20.0,120.832,116.06
25.0,LP,1.203,123.538,0.311,1.516,2.0,22.0,123.849,122.333
26.0,LP,1.203,126.559,0.381,1.589,2.0,24.0,126.94,125.351
27.0,LP,2.312,130.768,0.289,2.602,2.0,26.0,131.057,128.455
