trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,0.664,0.664,0.0,0.0,0.681,0.017
2.0,LP,4.253,,0.305,0.305,0.0,0.0,2.489,2.184
3.0,LP,1.203,,0.226,0.226,0.0,0.0,4.217,3.991
4.0,LP,23.999,,0.337,0.337,0.0,0.0,6.073,5.736
5.0,LP,7.65,,0.329,0.329,0.0,0.0,7.921,7.592
6.0,LP,4.253,13.696,0.457,4.728,2.0,2.0,14.153,9.425
7.0,LP,0.569,16.226,0.592,1.164,2.0,4.0,16.818,15.654
8.0,LP,0.569,18.905,0.336,0.918,2.0,6.0,19.241,18.323
9.0,LP,23.999,,11.516,11.516,0.0,6.0,32.258,20.742
10.0,LP,23.999,,17.745,17.745,0.0,6.0,51.505,33.76
11.0,LP,13.596,66.623,0.93,14.53,2.0,8.0,67.553,53.023
12.0,LP,2.312,71.395,0.958,3.299,2.0,10.0,72.353,69.054
13.0,LP,7.65,81.523,0.742,8.407,2.0,12.0,82.265,73.858
14.0,LP,1.203,84.971,1.189,2.394,2.0,14.0,86.16,83.766
15.0,LP,4.253,91.932,0.885,5.156,2.0,16.0,92.817,87.661
16.0,LP,13.596,107.931,0.606,14.212,2.0,18.0,108.537,94.325
17.0,LP,1.203,111.248,0.952,2.158,2.0,20.0,112.2,110.042
18.0,LP,7.65,121.355,0.405,8.058,2.0,22.0,121.76,113.702
19.0,LP,7.65,130.935,0.424,8.075,2.0,24.0,131.359,123.284
20.0,LP,13.596,146.458,0.845,14.442,2.0,26.0,147.303,132.861
21.0,LP,4.253,153.062,0.439,4.694,2.0,28.0,153.501,148.807
22.0,LP,23.999,179.015,0.935,24.942,2.0,30.0,179.95,155.008
23.0,LP,0.206,181.66,0.993,1.201,2.0,32.0,182.653,181.452
24.0,LP,23.999,,6.388,6.388,0.0,32.0,190.543,184.155
25.0,LP,1.203,193.248,0.477,1.68,2.0,34.0,193.725,192.045
26.0,LP,1.203,196.43,0.401,1.605,2.0,36.0,196.831,195.226
27.0,LP,2.312,200.645,0.193,2.506,2.0,38.0,200.838,198.332
28.0,LP,0.206,202.548,0.489,0.697,2.0,40.0,203.037,202.34
29.0,LP,2.312,206.853,0.4,2.714,2.0,42.0,207.253,204.539
30.0,LP,13.596,,4.794,4.794,0.0,42.0,213.549,208.755
31.0,LP,23.999,,5.306,5.306,0.0,42.0,220.357,215.051
32.0,LP,2.312,224.179,0.427,2.748,2.0,44.0,224.606,221.858
33.0,LP,4.253,230.398,0.335,4.604,2.0,46.0,230.733,226.129
34.0,LP,0.206,232.442,0.556,0.763,2.0,48.0,232.998,232.235
35.0,LP,4.253,238.758,0.416,4.671,2.0,50.0,239.174,234.503
36.0,LP,7.65,248.35,0.463,8.115,2.0,52.0,248.813,240.698
37.0,LP,0.206,250.535,0.543,0.752,2.0,54.0,251.078,250.326
38.0,LP,13.596,,9.612,9.612,0.0,54.0,262.198,252.586
39.0,LP,13.596,,8.199,8.199,0.0,54.0,271.916,263.717
40.0,LP,0.206,273.635,0.426,0.634,2.0,56.0,274.061,273.427
41.0,LP,7.65,,6.874,6.874,0.0,56.0,282.437,275.563
42.0,LP,2.312,,0.578,0.578,0.0,56.0,284.525,283.947
43.0,LP,0.569,286.616,0.476,1.055,2.0,58.0,287.092,286.037
44.0,LP,0.206,288.826,0.435,0.655,2.0,60.0,289.261,288.606
45.0,LP,1.203,291.968,0.453,1.658,2.0,62.0,292.421,290.763
46.0,LP,13.596,,3.131,3.131,0.0,62.0,297.069,293.938
47.0,LP,7.65,,3.545,3.545,0.0,62.0,302.116,298.571
48.0,LP,23.999,,7.692,7.692,0.0,62.0,311.317,303.625
49.0,LP,0.569,313.401,0.419,1.001,2.0,64.0,313.82,312.819
50.0,LP,1.203,,0.307,0.307,0.0,64.0,315.628,315.321
51.0,LP,0.569,317.713,0.395,0.979,2.0,66.0,318.108,317.129
52.0,LP,7.65,,4.355,4.355,0.0,66.0,323.981,319.626
53.0,LP,0.569,326.053,0.423,0.993,2.0,68.0,326.476,325.483
