trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,2.851,2.851,0.0,0.0,2.852,0.001
2.0,LP,4.253,8.627,0.433,4.688,2.0,2.0,9.06,4.372
3.0,LP,1.203,11.788,0.439,1.654,2.0,4.0,12.227,10.573
4.0,LP,23.999,,5.074,5.074,0.0,4.0,18.804,13.73
5.0,LP,7.65,,5.497,5.497,0.0,4.0,25.812,20.315
6.0,LP,4.253,,1.635,1.635,0.0,4.0,28.948,27.313
7.0,LP,0.569,31.019,0.568,1.138,2.0,6.0,31.587,30.449
8.0,LP,0.569,33.668,0.447,1.017,2.0,8.0,34.115,33.098
9.0,LP,23.999,,4.835,4.835,0.0,8.0,40.452,35.617
10.0,LP,23.999,,5.186,5.186,0.0,8.0,47.139,41.953
11.0,LP,13.596,,4.547,4.547,0.0,8.0,53.188,48.641
12.0,LP,2.312,57.006,0.422,2.737,2.0,10.0,57.428,54.691
13.0,LP,7.65,,5.196,5.196,0.0,10.0,64.133,58.937
14.0,LP,1.203,66.848,0.484,1.697,2.0,12.0,67.332,65.635
15.0,LP,4.253,73.091,0.497,4.753,2.0,14.0,73.588,68.835
16.0,LP,13.596,,6.769,6.769,0.0,14.0,81.86,75.091
17.0,LP,1.203,84.589,0.423,1.637,2.0,16.0,85.012,83.375
18.0,LP,7.65,,5.714,5.714,0.0,16.0,92.227,86.513
19.0,LP,7.65,,5.165,5.165,0.0,16.0,98.9,93.735
20.0,LP,13.596,,5.647,5.647,0.0,16.0,106.052,100.405
21.0,LP,4.253,111.814,0.43,4.685,2.0,18.0,112.244,107.559
22.0,LP,23.999,,6.501,6.501,0.0,18.0,120.259,113.758
23.0,LP,0.206,121.991,0.493,0.709,2.0,20.0,122.484,121.775
24.0,LP,23.999,,6.621,6.621,0.0,20.0,130.613,123.992
25.0,LP,1.203,133.327,0.501,1.713,2.0,22.0,133.828,132.115
26.0,LP,1.203,136.532,0.512,1.716,2.0,24.0,137.044,135.328
27.0,LP,2.312,140.877,0.375,2.697,2.0,26.0,141.252,138.555
28.0,LP,0.206,142.976,0.548,0.764,2.0,28.0,143.524,142.76
29.0,LP,2.312,147.345,0.403,2.722,2.0,30.0,147.748,145.026
30.0,LP,13.596,,5.192,5.192,0.0,30.0,154.452,149.26
31.0,LP,23.999,,4.961,4.961,0.0,30.0,160.916,155.955
32.0,LP,2.312,164.741,0.399,2.722,2.0,32.0,165.14,162.418
33.0,LP,4.253,170.91,0.454,4.722,2.0,34.0,171.364,166.642
34.0,LP,0.206,173.098,0.554,0.774,2.0,36.0,173.652,172.878
35.0,LP,4.253,179.412,0.401,4.656,2.0,38.0,179.813,175.157
36.0,LP,7.65,188.979,0.353,8.016,2.0,40.0,189.332,181.316
37.0,LP,0.206,191.062,0.51,0.725,2.0,42.0,191.572,190.847
38.0,LP,13.596,,5.054,5.054,0.0,42.0,198.132,193.078
39.0,LP,13.596,,5.639,5.639,0.0,42.0,205.284,199.645
40.0,LP,0.206,207.012,0.528,0.746,2.0,44.0,207.54,206.794
41.0,LP,7.65,,6.082,6.082,0.0,44.0,215.124,209.042
42.0,LP,2.312,218.94,0.488,2.802,2.0,46.0,219.428,216.626
43.0,LP,0.569,221.513,0.587,1.171,2.0,48.0,222.1,220.929
44.0,LP,0.206,223.82,0.488,0.696,2.0,50.0,224.308,223.612
45.0,LP,1.203,227.017,0.411,1.616,2.0,52.0,227.428,225.812
