id,consent_date,age,gender,education,handness,language,race,batch
s1087,2/9/22 14:26,27.0,Male,18.0,Right-handed,English,White,2.0
s1088,2/9/22 17:16,53.0,Male,12.0,Right-handed,English,White,2.0
s1089,2/9/22 13:24,36.0,Male,18.0,Right-handed,English,White,2.0
s1090,2/9/22 14:03,43.0,Male,16.0,Right-handed,English,White,2.0
s1091,2/9/22 14:24,36.0,Male,16.0,Right-handed,English,White,2.0
s1092,2/10/22 12:10,41.0,Female,14.0,Right-handed,English,White,2.0
s1094,2/9/22 14:05,37.0,Male,13.0,Right-handed,English,White,2.0
s1095,2/9/22 15:06,29.0,Female,16.0,Right-handed,English,Black or African American,2.0
s1097,2/9/22 14:47,56.0,Male,14.0,Right-handed,English,White,2.0
s1099,2/9/22 14:08,25.0,Female,12.0,Right-handed,English,White,2.0
s1101,2/9/22 12:54,39.0,Male,13.0,Right-handed,English,White,2.0
s1102,2/9/22 13:59,29.0,Female,16.0,Right-handed,English,White,2.0
s1103,2/9/22 12:41,24.0,Female,16.0,Right-handed,English,Asian,2.0
s1105,2/9/22 14:03,38.0,Male,13.0,Right-handed,English,Black or African American,2.0
s1106,2/9/22 12:25,37.0,Female,16.0,Right-handed,English,Black or African American,2.0
s1107,2/9/22 13:30,35.0,Male,19.0,Right-handed,English,White,2.0
s1108,2/9/22 12:39,27.0,Female,13.0,Right-handed,english,White,2.0
s1109,2/9/22 13:43,33.0,Male,18.0,Right-handed,English,White,2.0
s1110,2/9/22 12:08,66.0,Male,15.0,Right-handed,English,Asian,2.0
s1111,2/9/22 12:03,42.0,Female,12.0,Right-handed,english,Black or African American,2.0
s1112,2/9/22 20:03,52.0,Male,14.0,Right-handed,English,White,2.0
s1114,2/9/22 16:08,39.0,Male,16.0,Right-handed,English,Asian,2.0
s1115,2/9/22 12:02,31.0,Male,18.0,Right-handed,English,White,2.0
s1116,2/9/22 13:08,55.0,Male,14.0,Right-handed,English,White,2.0
s1117,2/9/22 12:04,71.0,Female,19.0,Left-handed,English,White,2.0
s1118,2/9/22 15:36,60.0,Female,19.0,Right-handed,English,White,2.0
s1119,2/9/22 13:38,31.0,Female,16.0,Right-handed,English,White,2.0
s1120,2/9/22 12:00,32.0,Male,18.0,Right-handed,English,"Black or African American,White",2.0
s1121,2/9/22 14:12,34.0,Male,16.0,Right-handed,English,White,2.0
s1122,2/9/22 12:04,35.0,Female,16.0,Right-handed,English,Black or African American,2.0
s1123,2/9/22 14:19,30.0,Male,16.0,Right-handed,english,White,2.0
s1124,2/9/22 12:33,51.0,Male,14.0,Right-handed,english,White,2.0
s1125,2/9/22 15:30,58.0,Female,16.0,Right-handed,english,White,2.0
s1127,2/9/22 12:57,42.0,Male,15.0,Left-handed,English,White,2.0
s1128,2/9/22 14:18,42.0,Female,16.0,Right-handed,English,White,2.0
s1129,2/9/22 14:03,35.0,Female,22.0,Right-handed,English,White,2.0
s1130,2/9/22 14:05,44.0,Male,13.0,Right-handed,English,White,2.0
s1131,2/9/22 14:39,45.0,Female,16.0,Right-handed,English,White,2.0
s1132,2/9/22 14:26,32.0,Male,17.0,Right-handed,English,Black or African American,2.0
s1133,2/9/22 16:20,46.0,Male,18.0,Right-handed,English,White,2.0
s1134,2/10/22 03:05,55.0,Female,12.0,Right-handed,english,White,2.0
s1135,2/9/22 13:26,46.0,Male,13.0,Right-handed,English,White,2.0
