trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,9.859,9.859,0.0,0.0,9.86,0.001
2.0,LP,4.253,15.615,0.393,4.647,2.0,2.0,16.008,11.361
3.0,LP,1.203,18.714,0.345,1.55,2.0,4.0,19.059,17.509
4.0,LP,23.999,,7.46,7.46,0.0,4.0,28.022,20.562
5.0,LP,7.65,,6.727,6.727,0.0,4.0,36.251,29.524
6.0,LP,4.253,42.009,0.443,4.7,2.0,6.0,42.452,37.752
7.0,LP,0.569,44.524,0.389,0.959,2.0,8.0,44.913,43.954
8.0,LP,0.569,46.995,0.354,0.935,2.0,10.0,47.349,46.414
9.0,LP,23.999,,5.794,5.794,0.0,10.0,54.654,48.86
10.0,LP,23.999,,6.094,6.094,0.0,10.0,62.252,56.158
11.0,LP,13.596,,5.949,5.949,0.0,10.0,69.702,63.753
12.0,LP,2.312,73.528,0.352,2.665,2.0,12.0,73.88,71.215
13.0,LP,7.65,,5.699,5.699,0.0,12.0,81.081,75.382
14.0,LP,1.203,83.797,0.284,1.488,2.0,14.0,84.081,82.593
15.0,LP,4.253,89.836,0.381,4.634,2.0,16.0,90.217,85.583
16.0,LP,13.596,,4.763,4.763,0.0,16.0,96.481,91.718
17.0,LP,1.203,99.188,0.319,1.524,2.0,18.0,99.507,97.983
18.0,LP,7.65,,5.508,5.508,0.0,18.0,106.516,101.008
19.0,LP,7.65,,6.418,6.418,0.0,18.0,114.435,108.017
20.0,LP,13.596,,5.297,5.297,0.0,18.0,121.233,115.936
21.0,LP,4.253,126.988,0.338,4.592,2.0,20.0,127.326,122.734
22.0,LP,23.999,,4.116,4.116,0.0,20.0,132.943,128.827
23.0,LP,0.206,134.674,0.533,0.752,2.0,22.0,135.207,134.455
24.0,LP,23.999,,5.689,5.689,0.0,22.0,142.397,136.708
25.0,LP,1.203,145.103,0.382,1.586,2.0,24.0,145.485,143.899
26.0,LP,1.203,148.205,0.358,1.572,2.0,26.0,148.563,146.991
27.0,LP,2.312,152.38,0.293,2.609,2.0,28.0,152.673,150.064
28.0,LP,0.206,154.406,0.355,0.576,2.0,30.0,154.761,154.185
29.0,LP,2.312,158.575,0.315,2.628,2.0,32.0,158.89,156.262
30.0,LP,13.596,,3.984,3.984,0.0,32.0,164.383,160.399
31.0,LP,23.999,,6.967,6.967,0.0,32.0,172.852,165.885
32.0,LP,2.312,176.666,0.297,2.609,2.0,34.0,176.963,174.354
33.0,LP,4.253,,3.511,3.511,0.0,34.0,181.984,178.473
