trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,13.596,13.606,1.122,14.728,2.0,2.0,14.728,0.0
2.0,LP,2.312,18.543,0.461,2.774,2.0,4.0,19.004,16.23
3.0,LP,1.203,21.71,0.454,1.659,2.0,6.0,22.164,20.505
4.0,LP,7.65,31.317,0.394,8.045,2.0,8.0,31.711,23.666
5.0,LP,4.253,37.467,0.337,4.592,2.0,10.0,37.804,33.212
6.0,LP,0.206,39.513,0.611,0.818,2.0,12.0,40.124,39.306
7.0,LP,13.596,55.223,0.794,14.391,2.0,14.0,56.017,41.626
8.0,LP,23.999,,20.68,20.68,0.0,14.0,78.198,57.518
9.0,LP,0.206,79.907,0.69,0.897,2.0,16.0,80.597,79.7
10.0,LP,23.999,,14.192,14.192,0.0,16.0,96.292,82.1
11.0,LP,1.203,98.997,0.488,1.692,2.0,18.0,99.485,97.793
12.0,LP,0.206,101.193,1.563,1.77,2.0,20.0,102.756,100.986
13.0,LP,4.253,108.518,0.775,5.032,2.0,22.0,109.293,104.261
14.0,LP,7.65,118.448,0.524,8.177,2.0,24.0,118.972,110.795
15.0,LP,0.569,121.065,0.554,1.132,2.0,26.0,121.619,120.487
16.0,LP,1.203,124.325,0.655,1.86,2.0,28.0,124.98,123.12
17.0,LP,13.596,,13.372,13.372,0.0,28.0,139.859,126.487
18.0,LP,7.65,149.021,0.841,8.497,2.0,30.0,149.862,141.365
19.0,LP,2.312,153.704,1.226,3.555,2.0,32.0,154.93,151.375
20.0,LP,2.312,158.75,0.5,2.815,2.0,34.0,159.25,156.435
21.0,LP,0.206,160.973,0.992,1.2,2.0,36.0,161.965,160.765
22.0,LP,0.206,163.7,0.544,0.764,2.0,38.0,164.244,163.48
23.0,LP,7.65,,7.111,7.111,0.0,38.0,172.857,165.746
24.0,LP,23.999,,17.434,17.434,0.0,38.0,191.793,174.359
25.0,LP,13.596,,13.261,13.261,0.0,38.0,206.558,193.297
26.0,LP,1.203,209.268,0.385,1.589,2.0,40.0,209.653,208.064
27.0,LP,1.203,212.365,0.688,1.898,2.0,42.0,213.053,211.155
28.0,LP,2.312,216.867,0.677,2.99,2.0,44.0,217.544,214.554
29.0,LP,23.999,,6.952,6.952,0.0,44.0,225.996,219.044
30.0,LP,2.312,229.818,0.53,2.85,2.0,46.0,230.348,227.498
31.0,LP,7.65,239.518,0.544,8.198,2.0,48.0,240.062,231.864
32.0,LP,7.65,249.215,0.687,8.339,2.0,50.0,249.902,241.563
33.0,LP,1.203,252.608,0.692,1.896,2.0,52.0,253.3,251.404
34.0,LP,4.253,259.058,0.451,4.706,2.0,54.0,259.509,254.803
35.0,LP,1.203,262.217,0.712,1.917,2.0,56.0,262.929,261.012
36.0,LP,23.999,,10.128,10.128,0.0,56.0,274.558,264.43
37.0,LP,0.569,276.657,0.556,1.138,2.0,58.0,277.213,276.075
38.0,LP,7.65,286.366,0.614,8.265,2.0,60.0,286.98,278.715
39.0,LP,13.596,302.085,0.582,14.182,2.0,62.0,302.667,288.485
40.0,LP,13.596,,13.314,13.314,0.0,62.0,317.483,304.169
41.0,LP,0.569,319.566,0.446,1.027,2.0,64.0,320.012,318.985
42.0,LP,23.999,,2.846,2.846,0.0,64.0,324.365,321.519
43.0,LP,4.253,330.131,0.542,4.797,2.0,66.0,330.673,325.876
44.0,LP,2.312,334.496,0.877,3.195,2.0,68.0,335.373,332.178
45.0,LP,0.569,337.445,0.712,1.282,2.0,70.0,338.157,336.875
46.0,LP,0.206,339.873,0.446,0.653,2.0,72.0,340.319,339.666
47.0,LP,1.203,343.027,0.591,1.795,2.0,74.0,343.618,341.823
48.0,LP,0.569,345.705,0.741,1.326,2.0,76.0,346.446,345.12
49.0,LP,4.253,352.204,0.424,4.679,2.0,78.0,352.628,347.949
50.0,LP,0.569,354.702,0.626,1.197,2.0,80.0,355.328,354.131
51.0,LP,13.596,,12.428,12.428,0.0,80.0,369.259,356.831
52.0,LP,4.253,375.016,0.42,4.674,2.0,82.0,375.436,370.762
53.0,LP,4.253,,2.463,2.463,0.0,82.0,379.402,376.939
54.0,LP,13.596,,9.861,9.861,0.0,82.0,390.77,380.909
55.0,LP,0.206,392.497,0.443,0.662,2.0,84.0,392.94,392.278
