trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,9.505,9.505,0.0,0.0,9.505,0.0
2.0,LP,4.253,15.261,0.322,4.576,2.0,2.0,15.583,11.007
3.0,LP,1.203,18.289,0.444,1.648,2.0,4.0,18.733,17.085
4.0,LP,23.999,,6.873,6.873,0.0,4.0,27.11,20.237
5.0,LP,7.65,36.262,0.41,8.061,2.0,6.0,36.672,28.611
6.0,LP,4.253,42.428,0.324,4.578,2.0,8.0,42.752,38.174
7.0,LP,0.569,44.824,0.479,1.05,2.0,10.0,45.303,44.253
8.0,LP,0.569,47.376,0.345,0.917,2.0,12.0,47.721,46.804
9.0,LP,23.999,,3.293,3.293,0.0,12.0,52.515,49.222
10.0,LP,23.999,,6.292,6.292,0.0,12.0,60.31,54.018
11.0,LP,13.596,,11.36,11.36,0.0,12.0,73.172,61.812
12.0,LP,2.312,76.987,0.376,2.689,2.0,14.0,77.363,74.674
13.0,LP,7.65,86.525,0.304,7.955,2.0,16.0,86.829,78.874
14.0,LP,1.203,89.536,0.423,1.629,2.0,18.0,89.959,88.33
15.0,LP,4.253,95.715,0.403,4.657,2.0,20.0,96.118,91.461
16.0,LP,13.596,,5.029,5.029,0.0,20.0,102.648,97.619
17.0,LP,1.203,105.353,0.351,1.555,2.0,22.0,105.704,104.149
18.0,LP,7.65,,7.399,7.399,0.0,22.0,114.605,107.206
19.0,LP,7.65,,6.358,6.358,0.0,22.0,122.464,116.106
20.0,LP,13.596,,10.253,10.253,0.0,22.0,134.218,123.965
21.0,LP,4.253,139.973,0.284,4.538,2.0,24.0,140.257,135.719
22.0,LP,23.999,,6.442,6.442,0.0,24.0,148.2,141.758
23.0,LP,0.206,149.909,0.39,0.597,2.0,26.0,150.299,149.702
24.0,LP,23.999,,3.276,3.276,0.0,26.0,155.076,151.8
25.0,LP,1.203,157.781,0.32,1.524,2.0,28.0,158.101,156.577
26.0,LP,1.203,160.805,0.326,1.53,2.0,30.0,161.131,159.601
