trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,3.549,3.549,0.0,0.0,3.55,0.001
2.0,LP,4.253,9.312,0.73,4.985,2.0,2.0,10.042,5.057
3.0,LP,1.203,12.747,0.477,1.681,2.0,4.0,13.224,11.543
4.0,LP,23.999,,3.319,3.319,0.0,4.0,18.044,14.725
5.0,LP,7.65,,3.448,3.448,0.0,4.0,22.993,19.545
6.0,LP,4.253,28.748,0.558,4.812,2.0,6.0,29.306,24.494
7.0,LP,0.569,31.376,0.599,1.169,2.0,8.0,31.975,30.806
8.0,LP,0.569,34.045,0.354,0.923,2.0,10.0,34.399,33.476
9.0,LP,23.999,,2.191,2.191,0.0,10.0,38.09,35.899
10.0,LP,23.999,,3.296,3.296,0.0,10.0,42.887,39.591
11.0,LP,13.596,,3.564,3.564,0.0,10.0,47.952,44.388
12.0,LP,2.312,51.767,0.398,2.711,2.0,12.0,52.165,49.454
13.0,LP,7.65,,3.339,3.339,0.0,12.0,57.005,53.666
14.0,LP,1.203,59.71,0.43,1.634,2.0,14.0,60.14,58.506
15.0,LP,4.253,,3.216,3.216,0.0,14.0,64.856,61.64
16.0,LP,13.596,,4.076,4.076,0.0,14.0,70.433,66.357
17.0,LP,1.203,73.195,0.507,1.769,2.0,16.0,73.702,71.933
18.0,LP,7.65,,5.432,5.432,0.0,16.0,80.635,75.203
19.0,LP,7.65,,3.855,3.855,0.0,16.0,85.999,82.144
20.0,LP,13.596,,4.458,4.458,0.0,16.0,91.957,87.499
21.0,LP,4.253,97.714,0.116,4.372,2.0,18.0,97.83,93.458
22.0,LP,23.999,,3.588,3.588,0.0,18.0,102.918,99.33
23.0,LP,0.206,104.626,0.41,0.617,2.0,20.0,105.036,104.419
24.0,LP,23.999,,1.764,1.764,0.0,20.0,108.301,106.537
25.0,LP,1.203,111.006,0.371,1.575,2.0,22.0,111.377,109.802
26.0,LP,1.203,114.082,0.313,1.517,2.0,24.0,114.395,112.878
27.0,LP,2.312,,1.967,1.967,0.0,24.0,117.862,115.895
28.0,LP,0.206,119.569,0.405,0.612,2.0,26.0,119.974,119.362
29.0,LP,2.312,,1.355,1.355,0.0,26.0,122.831,121.476
30.0,LP,13.596,,1.532,1.532,0.0,26.0,125.863,124.331
31.0,LP,23.999,,1.931,1.931,0.0,26.0,129.294,127.363
32.0,LP,2.312,133.109,0.176,2.49,2.0,28.0,133.285,130.795
33.0,LP,4.253,,3.072,3.072,0.0,28.0,137.858,134.786
34.0,LP,0.206,139.566,0.458,0.665,2.0,30.0,140.024,139.359
35.0,LP,4.253,,2.429,2.429,0.0,30.0,143.953,141.524
36.0,LP,7.65,,2.514,2.514,0.0,30.0,147.968,145.454
37.0,LP,0.206,149.675,0.379,0.586,2.0,32.0,150.054,149.468
38.0,LP,13.596,,1.905,1.905,0.0,32.0,153.46,151.555
39.0,LP,13.596,,2.235,2.235,0.0,32.0,157.196,154.961
40.0,LP,0.206,158.904,0.452,0.659,2.0,34.0,159.356,158.697
41.0,LP,7.65,,1.428,1.428,0.0,34.0,162.285,160.857
42.0,LP,2.312,,1.98,1.98,0.0,34.0,165.766,163.786
43.0,LP,0.569,167.837,0.377,0.947,2.0,36.0,168.214,167.267
44.0,LP,0.206,169.924,0.356,0.565,2.0,38.0,170.28,169.715
45.0,LP,1.203,,0.9,0.9,0.0,38.0,172.681,171.781
46.0,LP,13.596,,1.186,1.186,0.0,38.0,175.37,174.184
47.0,LP,7.65,,1.037,1.037,0.0,38.0,177.908,176.871
48.0,LP,23.999,,0.892,0.892,0.0,38.0,180.3,179.408
49.0,LP,0.569,182.371,0.374,0.944,2.0,40.0,182.745,181.801
50.0,LP,1.203,185.45,0.036,1.24,2.0,42.0,185.486,184.246
51.0,LP,0.569,187.56,0.406,0.977,2.0,44.0,187.966,186.989
52.0,LP,7.65,,1.034,1.034,0.0,44.0,190.501,189.467
53.0,LP,0.569,192.572,0.322,0.892,2.0,46.0,192.894,192.002
54.0,LP,2.312,,1.121,1.121,0.0,46.0,195.535,194.414
55.0,LP,23.999,,1.066,1.066,0.0,46.0,198.101,197.035
56.0,LP,4.253,,1.278,1.278,0.0,46.0,200.879,199.601
57.0,LP,2.312,,1.134,1.134,0.0,46.0,203.514,202.38
58.0,LP,1.203,206.219,0.026,1.23,2.0,48.0,206.245,205.015
59.0,LP,0.206,207.953,0.473,0.68,2.0,50.0,208.426,207.746
60.0,LP,0.206,210.134,0.326,0.533,2.0,52.0,210.46,209.927
61.0,LP,0.569,212.531,0.375,0.945,2.0,54.0,212.906,211.961
62.0,LP,13.596,,0.636,0.636,0.0,54.0,215.043,214.407
63.0,LP,0.569,217.114,0.44,1.01,2.0,56.0,217.554,216.544
64.0,LP,4.253,,1.042,1.042,0.0,56.0,220.097,219.055
65.0,LP,4.253,,2.291,2.291,0.0,56.0,223.889,221.598
66.0,LP,0.569,225.966,0.322,0.898,2.0,58.0,226.288,225.39
67.0,LP,0.206,227.997,0.344,0.552,2.0,60.0,228.341,227.789
68.0,LP,4.253,,1.01,1.01,0.0,60.0,230.852,229.842
69.0,LP,23.999,,1.341,1.341,0.0,60.0,233.694,232.353
70.0,LP,23.999,,1.258,1.258,0.0,60.0,236.453,235.195
71.0,LP,0.206,238.161,0.367,0.574,2.0,62.0,238.528,237.954
72.0,LP,13.596,,1.593,1.593,0.0,62.0,241.622,240.029
73.0,LP,0.206,243.329,0.346,0.553,2.0,64.0,243.675,243.122
74.0,LP,7.65,,1.982,1.982,0.0,64.0,247.157,245.175
75.0,LP,7.65,,1.084,1.084,0.0,64.0,249.741,248.657
76.0,LP,0.206,251.448,0.416,0.622,2.0,66.0,251.864,251.242
77.0,LP,1.203,254.57,0.356,1.56,2.0,68.0,254.926,253.366
78.0,LP,1.203,257.631,0.342,1.546,2.0,70.0,257.973,256.427
79.0,LP,4.253,,1.329,1.329,0.0,70.0,260.804,259.475
80.0,LP,1.203,263.509,0.384,1.588,2.0,72.0,263.893,262.305
81.0,LP,0.206,265.601,0.39,0.597,2.0,74.0,265.991,265.394
82.0,LP,0.206,267.698,0.339,0.546,2.0,76.0,268.037,267.491
83.0,LP,2.312,,0.865,0.865,0.0,76.0,270.403,269.538
84.0,LP,2.312,,0.895,0.895,0.0,76.0,272.799,271.904
85.0,LP,0.569,274.87,0.304,0.874,2.0,78.0,275.174,274.3
86.0,LP,1.203,277.878,0.301,1.505,2.0,80.0,278.179,276.674
87.0,LP,0.569,280.254,0.301,0.872,2.0,82.0,280.555,279.683
88.0,LP,4.253,,1.34,1.34,0.0,82.0,283.396,282.056
89.0,LP,13.596,,1.94,1.94,0.0,82.0,286.837,284.897
90.0,LP,4.253,,1.032,1.032,0.0,82.0,289.37,288.338
91.0,LP,4.253,,1.163,1.163,0.0,82.0,292.034,290.871
92.0,LP,0.206,293.741,0.412,0.619,2.0,84.0,294.153,293.534
93.0,LP,23.999,,1.131,1.131,0.0,84.0,296.785,295.654
94.0,LP,1.203,299.49,0.381,1.585,2.0,86.0,299.871,298.286
95.0,LP,23.999,,1.784,1.784,0.0,86.0,303.157,301.373
96.0,LP,0.569,305.228,0.292,0.862,2.0,88.0,305.52,304.658
97.0,LP,0.569,307.592,0.32,0.89,2.0,90.0,307.912,307.022
98.0,LP,23.999,,2.146,2.146,0.0,90.0,311.559,309.413
99.0,LP,13.596,,1.202,1.202,0.0,90.0,314.261,313.059
100.0,LP,0.569,316.332,0.288,0.859,2.0,92.0,316.62,315.761
101.0,LP,2.312,320.435,0.28,2.593,2.0,94.0,320.715,318.122
102.0,LP,13.596,,1.898,1.898,0.0,94.0,324.114,322.216
103.0,LP,7.65,,1.357,1.357,0.0,94.0,326.972,325.615
104.0,LP,4.253,,1.171,1.171,0.0,94.0,329.646,328.475
105.0,LP,7.65,,1.446,1.446,0.0,94.0,332.594,331.148
106.0,LP,2.312,,1.344,1.344,0.0,94.0,335.439,334.095
107.0,LP,23.999,,1.624,1.624,0.0,94.0,338.564,336.94
108.0,LP,2.312,,2.219,2.219,0.0,94.0,342.284,340.065
109.0,LP,4.253,,1.389,1.389,0.0,94.0,345.173,343.784
110.0,LP,2.312,,1.235,1.235,0.0,94.0,347.908,346.673
111.0,LP,1.203,350.614,0.1,1.305,2.0,96.0,350.714,349.409
112.0,LP,7.65,,1.847,1.847,0.0,96.0,354.063,352.216
113.0,LP,1.203,356.768,0.35,1.554,2.0,98.0,357.118,355.564
114.0,LP,2.312,360.934,0.09,2.404,2.0,100.0,361.024,358.62
115.0,LP,7.65,,2.413,2.413,0.0,100.0,364.939,362.526
116.0,LP,23.999,,2.119,2.119,0.0,100.0,368.559,366.44
117.0,LP,7.65,,2.663,2.663,0.0,100.0,372.723,370.06
118.0,LP,0.569,374.795,0.441,1.011,2.0,102.0,375.236,374.225
119.0,LP,7.65,,2.03,2.03,0.0,102.0,378.768,376.738
120.0,LP,13.596,,2.064,2.064,0.0,102.0,382.333,380.269
121.0,LP,2.312,386.147,0.493,2.806,2.0,104.0,386.64,383.834
122.0,LP,0.206,388.349,0.475,0.682,2.0,106.0,388.824,388.142
123.0,LP,0.569,390.895,0.589,1.159,2.0,108.0,391.484,390.325
124.0,LP,13.596,,1.258,1.258,0.0,108.0,394.243,392.985
125.0,LP,1.203,396.948,0.396,1.6,2.0,110.0,397.344,395.744
126.0,LP,13.596,,1.588,1.588,0.0,110.0,400.433,398.845
127.0,LP,13.596,,1.605,1.605,0.0,110.0,403.539,401.934
128.0,LP,23.999,,1.493,1.493,0.0,110.0,406.535,405.042
129.0,LP,4.253,,1.639,1.639,0.0,110.0,409.675,408.036
130.0,LP,23.999,,1.986,1.986,0.0,110.0,413.162,411.176
131.0,LP,13.596,,1.509,1.509,0.0,110.0,416.172,414.663
132.0,LP,4.253,,2.086,2.086,0.0,110.0,419.759,417.673
133.0,LP,4.253,,3.325,3.325,0.0,110.0,424.586,421.261
134.0,LP,0.569,426.657,0.481,1.05,2.0,112.0,427.138,426.088
135.0,LP,2.312,,2.064,2.064,0.0,112.0,430.703,428.639
136.0,LP,2.312,434.518,0.036,2.349,2.0,114.0,434.554,432.205
137.0,LP,1.203,437.259,0.389,1.593,2.0,116.0,437.648,436.055
138.0,LP,7.65,,2.587,2.587,0.0,116.0,441.737,439.15
139.0,LP,2.312,445.55,0.149,2.462,2.0,118.0,445.699,443.237
140.0,LP,0.569,447.77,0.496,1.066,2.0,120.0,448.266,447.2
141.0,LP,23.999,,1.735,1.735,0.0,120.0,451.502,449.767
142.0,LP,1.203,454.208,0.41,1.614,2.0,122.0,454.618,453.004
143.0,LP,0.569,456.689,0.388,0.958,2.0,124.0,457.077,456.119
144.0,LP,1.203,459.782,0.411,1.615,2.0,126.0,460.193,458.578
145.0,LP,2.312,,1.926,1.926,0.0,126.0,463.62,461.694
146.0,LP,4.253,,2.715,2.715,0.0,126.0,467.836,465.121
147.0,LP,7.65,,2.693,2.693,0.0,126.0,472.03,469.337
148.0,LP,0.569,474.1,0.521,1.09,2.0,128.0,474.621,473.531
149.0,LP,13.596,,1.802,1.802,0.0,128.0,477.924,476.122
150.0,LP,2.312,481.74,0.138,2.452,2.0,130.0,481.878,479.426
151.0,LP,0.206,483.585,1.27,1.476,2.0,132.0,484.855,483.379
152.0,LP,1.203,487.56,0.448,1.652,2.0,134.0,488.008,486.356
153.0,LP,4.253,,2.682,2.682,0.0,134.0,492.191,489.509
154.0,LP,2.312,,1.845,1.845,0.0,134.0,495.536,493.691
155.0,LP,23.999,,2.131,2.131,0.0,134.0,499.168,497.037
156.0,LP,7.65,,1.951,1.951,0.0,134.0,502.62,500.669
157.0,LP,23.999,,1.877,1.877,0.0,134.0,505.999,504.122
158.0,LP,0.206,507.709,0.504,0.711,2.0,136.0,508.213,507.502
159.0,LP,7.65,,1.57,1.57,0.0,136.0,511.284,509.714
160.0,LP,7.65,,1.728,1.728,0.0,136.0,514.513,512.785
161.0,LP,0.206,516.221,0.477,0.684,2.0,138.0,516.698,516.014
162.0,LP,0.206,518.405,0.395,0.602,2.0,140.0,518.8,518.198
163.0,LP,23.999,,1.321,1.321,0.0,140.0,521.622,520.301
164.0,LP,0.569,523.693,0.411,0.981,2.0,142.0,524.104,523.123
165.0,LP,0.206,525.812,0.349,0.556,2.0,144.0,526.161,525.605
166.0,LP,4.253,,0.892,0.892,0.0,144.0,528.554,527.662
167.0,LP,13.596,,0.715,0.715,0.0,144.0,530.772,530.057
168.0,LP,0.206,532.48,0.412,0.619,2.0,146.0,532.892,532.273
169.0,LP,13.596,,0.48,0.48,0.0,146.0,534.873,534.393
170.0,LP,13.596,,0.629,0.629,0.0,146.0,537.003,536.374
171.0,LP,7.65,,0.661,0.661,0.0,146.0,539.164,538.503
172.0,LP,13.596,,0.864,0.864,0.0,146.0,541.53,540.666
173.0,LP,1.203,544.236,0.326,1.53,2.0,148.0,544.562,543.032
174.0,LP,0.206,546.271,0.398,0.605,2.0,150.0,546.669,546.064
175.0,LP,2.312,,1.716,1.716,0.0,150.0,549.887,548.171
176.0,LP,2.312,,1.375,1.375,0.0,150.0,552.763,551.388
177.0,LP,13.596,,1.777,1.777,0.0,150.0,556.041,554.264
178.0,LP,0.569,558.112,0.511,1.081,2.0,152.0,558.623,557.542
179.0,LP,7.65,,0.949,0.949,0.0,152.0,561.073,560.124
180.0,LP,1.203,563.778,0.035,1.239,2.0,154.0,563.813,562.574
181.0,LP,1.203,,1.145,1.145,0.0,154.0,566.459,565.314
182.0,LP,13.596,,1.38,1.38,0.0,154.0,569.339,567.959
183.0,LP,23.999,,1.406,1.406,0.0,154.0,572.247,570.841
184.0,LP,2.312,,1.326,1.326,0.0,154.0,575.074,573.748
185.0,LP,7.65,,1.504,1.504,0.0,154.0,578.079,576.575
186.0,LP,4.253,,1.361,1.361,0.0,154.0,580.941,579.58
187.0,LP,1.203,,1.094,1.094,0.0,154.0,583.536,582.442
188.0,LP,23.999,,1.446,1.446,0.0,154.0,586.483,585.037
189.0,LP,23.999,,1.97,1.97,0.0,154.0,589.954,587.984
190.0,LP,4.253,,1.475,1.475,0.0,154.0,592.93,591.455
191.0,LP,0.206,594.638,0.452,0.659,2.0,156.0,595.09,594.431
192.0,LP,0.569,597.22,0.619,1.247,2.0,158.0,597.839,596.592
1.0,HP,9.0,,6.103,6.103,0.0,158.0,6.103,0.0
2.0,HP,10.5,,1.199,1.199,0.0,158.0,8.804,7.605
3.0,HP,3.0,13.306,0.36,3.361,2.0,160.0,13.666,10.305
4.0,HP,4.5,,2.987,2.987,0.0,160.0,18.154,15.167
5.0,HP,3.0,22.656,0.331,3.332,2.0,162.0,22.987,19.655
6.0,HP,12.0,,3.185,3.185,0.0,162.0,27.672,24.487
7.0,HP,10.5,,3.188,3.188,0.0,162.0,32.362,29.174
8.0,HP,10.5,,3.956,3.956,0.0,162.0,37.819,33.863
9.0,HP,12.0,,4.253,4.253,0.0,162.0,43.573,39.32
10.0,HP,6.0,,2.659,2.659,0.0,162.0,47.733,45.074
11.0,HP,12.0,,3.586,3.586,0.0,162.0,52.819,49.233
12.0,HP,9.0,,5.795,5.795,0.0,162.0,60.114,54.319
13.0,HP,1.5,63.118,0.393,1.895,2.0,164.0,63.511,61.616
14.0,HP,6.0,,2.049,2.049,0.0,164.0,67.061,65.012
15.0,HP,6.0,,2.654,2.654,0.0,164.0,71.216,68.562
16.0,HP,10.5,,3.014,3.014,0.0,164.0,75.731,72.717
17.0,HP,7.5,,3.752,3.752,0.0,164.0,80.984,77.232
18.0,HP,1.5,83.985,0.721,2.221,2.0,166.0,84.706,82.485
19.0,HP,4.5,,2.607,2.607,0.0,166.0,88.813,86.206
20.0,HP,4.5,,2.276,2.276,0.0,166.0,92.589,90.313
21.0,HP,6.0,,3.011,3.011,0.0,166.0,97.1,94.089
22.0,HP,7.5,,2.951,2.951,0.0,166.0,101.551,98.6
23.0,HP,7.5,,5.464,5.464,0.0,166.0,108.522,103.058
24.0,HP,9.0,,3.174,3.174,0.0,166.0,113.197,110.023
25.0,HP,12.0,,4.891,4.891,0.0,166.0,119.59,114.699
26.0,HP,12.0,,2.173,2.173,0.0,166.0,123.264,121.091
27.0,HP,3.0,,2.383,2.383,0.0,166.0,127.147,124.764
28.0,HP,7.5,,2.058,2.058,0.0,166.0,130.705,128.647
29.0,HP,6.0,,2.36,2.36,0.0,166.0,134.565,132.205
30.0,HP,4.5,,2.201,2.201,0.0,166.0,138.267,136.066
31.0,HP,9.0,,4.361,4.361,0.0,166.0,144.129,139.768
32.0,HP,7.5,,2.919,2.919,0.0,166.0,148.549,145.63
33.0,HP,3.0,153.055,0.526,3.53,2.0,168.0,153.581,150.051
