trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime
1.0,LP,23.999,,8.096,8.096,0.0,0.0,8.097,0.001
2.0,LP,4.253,13.851,0.923,5.176,2.0,2.0,14.774,9.598
3.0,LP,1.203,17.494,0.699,1.918,2.0,4.0,18.193,16.275
4.0,LP,23.999,,6.756,6.756,0.0,4.0,26.459,19.703
5.0,LP,7.65,,6.289,6.289,0.0,4.0,34.248,27.959
6.0,LP,4.253,40.011,0.615,4.877,2.0,6.0,40.626,35.749
7.0,LP,0.569,42.699,0.717,1.289,2.0,8.0,43.416,42.127
8.0,LP,0.569,45.498,0.724,1.306,2.0,10.0,46.222,44.916
9.0,LP,23.999,,3.881,3.881,0.0,10.0,51.604,47.723
10.0,LP,23.999,,4.438,4.438,0.0,10.0,57.543,53.105
11.0,LP,13.596,,3.911,3.911,0.0,10.0,62.955,59.044
12.0,LP,2.312,66.768,0.756,3.069,2.0,12.0,67.524,64.455
13.0,LP,7.65,,5.401,5.401,0.0,12.0,74.425,69.024
14.0,LP,1.203,77.13,0.597,1.801,2.0,14.0,77.727,75.926
15.0,LP,4.253,83.481,0.34,4.594,2.0,16.0,83.821,79.227
16.0,LP,13.596,,5.551,5.551,0.0,16.0,90.872,85.321
17.0,LP,1.203,93.579,1.029,2.233,2.0,18.0,94.608,92.375
18.0,LP,7.65,,5.116,5.116,0.0,18.0,101.224,96.108
19.0,LP,7.65,,5.385,5.385,0.0,18.0,108.112,102.727
20.0,LP,13.596,,5.47,5.47,0.0,18.0,115.083,109.613
21.0,LP,4.253,,3.924,3.924,0.0,18.0,120.507,116.583
22.0,LP,23.999,,4.786,4.786,0.0,18.0,126.793,122.007
23.0,LP,0.206,128.511,0.9,1.118,2.0,20.0,129.411,128.293
24.0,LP,23.999,,5.188,5.188,0.0,20.0,136.1,130.912
25.0,LP,1.203,138.804,0.533,1.737,2.0,22.0,139.337,137.6
26.0,LP,1.203,142.042,0.453,1.656,2.0,24.0,142.495,140.839
27.0,LP,2.312,146.307,0.898,3.21,2.0,26.0,147.205,143.995
28.0,LP,0.206,148.913,0.555,0.762,2.0,28.0,149.468,148.706
29.0,LP,2.312,153.286,0.557,2.874,2.0,30.0,153.843,150.969
30.0,LP,13.596,,4.732,4.732,0.0,30.0,160.075,155.343
31.0,LP,23.999,,4.417,4.417,0.0,30.0,165.993,161.576
32.0,LP,2.312,169.807,0.669,2.982,2.0,32.0,170.476,167.494
33.0,LP,4.253,,2.544,2.544,0.0,32.0,174.525,171.981
34.0,LP,0.206,176.233,0.545,0.752,2.0,34.0,176.778,176.026
35.0,LP,4.253,,3.615,3.615,0.0,34.0,181.893,178.278
36.0,LP,7.65,,3.228,3.228,0.0,34.0,186.628,183.4
37.0,LP,0.206,188.335,0.612,0.818,2.0,36.0,188.947,188.129
38.0,LP,13.596,,3.652,3.652,0.0,36.0,194.1,190.448
39.0,LP,13.596,,4.142,4.142,0.0,36.0,199.747,195.605
40.0,LP,0.206,201.455,0.47,0.676,2.0,38.0,201.925,201.249
41.0,LP,7.65,,3.76,3.76,0.0,38.0,207.185,203.425
42.0,LP,2.312,210.999,0.684,2.997,2.0,40.0,211.683,208.686
43.0,LP,0.569,213.755,0.483,1.055,2.0,42.0,214.238,213.183
44.0,LP,0.206,215.946,0.577,0.784,2.0,44.0,216.523,215.739
45.0,LP,1.203,219.228,0.527,1.731,2.0,46.0,219.755,218.024
46.0,LP,13.596,,4.489,4.489,0.0,46.0,225.745,221.256
47.0,LP,7.65,,3.856,3.856,0.0,46.0,231.109,227.253
48.0,LP,23.999,,4.127,4.127,0.0,46.0,236.744,232.617
49.0,LP,0.569,238.818,1.035,1.604,2.0,48.0,239.853,238.249
50.0,LP,1.203,242.558,0.597,1.801,2.0,50.0,243.155,241.354
51.0,LP,0.569,245.227,0.715,1.285,2.0,52.0,245.942,244.657
52.0,LP,7.65,,0.575,0.575,0.0,52.0,248.017,247.442
53.0,LP,0.569,250.087,0.838,1.407,2.0,54.0,250.925,249.518
54.0,LP,2.312,254.749,0.52,2.843,2.0,56.0,255.269,252.426
55.0,LP,23.999,,4.661,4.661,0.0,56.0,261.431,256.77
56.0,LP,4.253,,3.438,3.438,0.0,56.0,266.37,262.932
57.0,LP,2.312,270.192,0.595,2.916,2.0,58.0,270.787,267.871
58.0,LP,1.203,273.492,0.435,1.639,2.0,60.0,273.927,272.288
59.0,LP,0.206,275.634,0.442,0.649,2.0,62.0,276.076,275.427
60.0,LP,0.206,277.783,0.37,0.577,2.0,64.0,278.153,277.576
61.0,LP,0.569,280.238,0.404,0.974,2.0,66.0,280.642,279.668
62.0,LP,13.596,,3.057,3.057,0.0,66.0,285.2,282.143
63.0,LP,0.569,287.271,0.872,1.442,2.0,68.0,288.143,286.701
64.0,LP,4.253,,4.213,4.213,0.0,68.0,293.857,289.644
65.0,LP,4.253,,2.983,2.983,0.0,68.0,298.341,295.358
66.0,LP,0.569,300.411,1.174,1.743,2.0,70.0,301.585,299.842
67.0,LP,0.206,303.294,0.476,0.684,2.0,72.0,303.77,303.086
68.0,LP,4.253,,3.887,3.887,0.0,72.0,309.166,305.279
69.0,LP,23.999,,3.761,3.761,0.0,72.0,314.429,310.668
70.0,LP,23.999,,4.417,4.417,0.0,72.0,320.347,315.93
71.0,LP,0.206,322.054,0.541,0.748,2.0,74.0,322.595,321.847
72.0,LP,13.596,,3.501,3.501,0.0,74.0,327.613,324.112
73.0,LP,0.206,329.32,0.918,1.125,2.0,76.0,330.238,329.113
74.0,LP,7.65,,3.03,3.03,0.0,76.0,334.769,331.739
75.0,LP,7.65,,3.303,3.303,0.0,76.0,339.574,336.271
76.0,LP,0.206,341.282,0.507,0.714,2.0,78.0,341.789,341.075
77.0,LP,1.203,344.493,0.415,1.618,2.0,80.0,344.908,343.29
78.0,LP,1.203,347.614,0.387,1.591,2.0,82.0,348.001,346.41
79.0,LP,4.253,,4.097,4.097,0.0,82.0,353.61,349.513
80.0,LP,1.203,356.315,1.69,2.894,2.0,84.0,358.005,355.111
81.0,LP,0.206,359.713,0.428,0.635,2.0,86.0,360.141,359.506
82.0,LP,0.206,361.847,0.465,0.671,2.0,88.0,362.312,361.641
83.0,LP,2.312,366.125,0.568,2.88,2.0,90.0,366.693,363.813
84.0,LP,2.312,370.522,0.603,2.917,2.0,92.0,371.125,368.208
85.0,LP,0.569,373.2,0.538,1.112,2.0,94.0,373.738,372.626
86.0,LP,1.203,376.454,0.605,1.809,2.0,96.0,377.059,375.25
87.0,LP,0.569,379.129,0.405,0.975,2.0,98.0,379.534,378.559
88.0,LP,4.253,385.298,0.339,4.601,2.0,100.0,385.637,381.036
89.0,LP,13.596,,3.704,3.704,0.0,100.0,390.841,387.137
90.0,LP,4.253,,3.719,3.719,0.0,100.0,396.062,392.343
91.0,LP,4.253,,4.115,4.115,0.0,100.0,401.683,397.568
92.0,LP,0.206,403.402,0.653,0.871,2.0,102.0,404.055,403.184
93.0,LP,23.999,,3.009,3.009,0.0,102.0,408.564,405.555
94.0,LP,1.203,411.269,0.612,1.816,2.0,104.0,411.881,410.065
95.0,LP,23.999,,2.722,2.722,0.0,104.0,416.105,413.383
96.0,LP,0.569,418.186,0.753,1.332,2.0,106.0,418.939,417.607
97.0,LP,0.569,421.013,0.378,0.952,2.0,108.0,421.391,420.439
98.0,LP,23.999,,2.987,2.987,0.0,108.0,425.879,422.892
99.0,LP,13.596,,3.678,3.678,0.0,108.0,431.068,427.39
100.0,LP,0.569,433.145,1.403,1.973,2.0,110.0,434.548,432.575
101.0,LP,2.312,438.362,0.738,3.051,2.0,112.0,439.1,436.049
102.0,LP,13.596,,3.995,3.995,0.0,112.0,444.611,440.616
103.0,LP,7.65,,3.378,3.378,0.0,112.0,449.49,446.112
104.0,LP,4.253,,3.458,3.458,0.0,112.0,454.449,450.991
105.0,LP,7.65,,1.879,1.879,0.0,112.0,457.828,455.949
106.0,LP,2.312,461.643,0.911,3.223,2.0,114.0,462.554,459.331
107.0,LP,23.999,,3.768,3.768,0.0,114.0,467.823,464.055
108.0,LP,2.312,471.657,0.696,3.022,2.0,116.0,472.353,469.331
109.0,LP,4.253,,3.787,3.787,0.0,116.0,477.64,473.853
110.0,LP,2.312,481.453,0.492,2.805,2.0,118.0,481.945,479.14
111.0,LP,1.203,484.677,0.757,1.976,2.0,120.0,485.434,483.458
112.0,LP,7.65,,3.101,3.101,0.0,120.0,490.035,486.934
113.0,LP,1.203,492.742,0.671,1.874,2.0,122.0,493.413,491.539
114.0,LP,2.312,497.24,0.841,3.167,2.0,124.0,498.081,494.914
