id,cb,sess,nblock,batch,quit_midway,block1_duration,block2_duration,block1_screenEnterTime,block2_screenEnterTime,block1_screenExitTime,block2_screenExitTime
s1001,C,2,2,1,False,595,596,1.0,0.0,,
s1003,B,2,2,1,False,594,596,0.0,0.0,,
s1004,A,2,2,1,False,598,595,0.0,1.0,,
s1006,D,2,2,1,False,598,584,0.0,0.0,,
s1007,C,2,2,1,False,596,593,0.0,1.0,,
s1008,A,2,2,1,False,598,595,0.0,0.0,,
s1009,D,2,2,1,False,599,599,0.0,0.0,,
s1010,C,2,2,1,False,599,591,0.0,0.0,,
s1011,A,2,2,1,False,596,599,0.0,0.0,,
s1012,A,2,2,1,False,598,599,0.0,0.0,,
s1013,B,2,2,1,False,598,595,0.0,0.0,,
s1014,C,2,2,1,False,598,595,0.0,0.0,,
s1015,D,2,2,1,False,597,596,0.0,0.0,,
s1016,D,2,2,1,False,594,599,0.0,0.0,,
s1017,D,2,2,1,False,596,593,0.0,1.0,,
s1018,D,2,2,1,False,598,596,1.0,0.0,,
s1019,D,2,2,1,False,581,597,0.0,1.0,,
s1020,A,2,2,1,False,596,596,0.0,0.0,,
s1021,B,2,2,1,False,599,597,0.0,0.0,,
s1022,B,2,2,1,False,596,598,0.0,0.0,,
s1023,B,2,2,1,False,593,593,1.0,1.0,,
s1024,C,2,2,1,False,597,595,1.0,1.0,,
s1025,C,2,2,1,False,598,595,0.0,1.0,,
s1026,D,2,2,1,False,597,595,1.0,1.0,,
s1027,C,2,2,1,False,597,595,0.0,1.0,,
s1028,C,2,2,1,False,585,592,1.0,0.0,,
s1029,A,2,2,1,False,594,598,0.0,0.0,,
s1030,D,2,2,1,False,598,595,0.0,0.0,,
s1031,A,2,2,1,False,598,596,1.0,0.0,,
s1032,A,2,2,1,False,596,599,0.0,0.0,,
s1033,B,2,2,1,False,594,596,0.0,0.0,,
s1034,A,2,2,1,False,597,599,1.0,0.0,,
s1035,B,2,2,1,False,599,594,1.0,1.0,,
s1036,B,2,2,1,False,596,595,0.0,0.0,,
s1037,C,2,2,1,False,598,598,0.0,0.0,,
s1038,B,2,2,1,False,599,593,0.0,0.0,,
s1039,D,2,2,1,False,599,596,0.0,0.0,,
s1040,C,2,2,1,False,599,592,0.0,0.0,,
s1041,B,2,2,1,False,596,592,0.0,0.0,,
s1042,C,2,2,2,False,594,596,0.0,0.0,,
s1043,C,2,2,2,False,574,598,0.0,0.0,,
s1044,C,2,2,2,False,593,594,0.0,0.0,,
s1046,C,2,2,2,False,590,595,0.0,1.0,,
s1047,C,2,2,2,False,597,592,0.0,1.0,,
s1048,C,2,2,2,False,599,592,1.0,0.0,,
s1049,C,2,2,2,False,596,595,1.0,0.0,,
s1050,C,2,2,2,False,598,598,0.0,0.0,,
s1051,D,2,2,2,False,598,591,0.0,0.0,,
s1053,C,2,2,2,False,597,599,1.0,0.0,,
s1054,D,2,2,2,False,599,599,0.0,1.0,,
s1055,B,2,2,2,False,599,594,1.0,1.0,,
s1056,B,2,2,2,False,598,595,1.0,0.0,,
s1057,B,2,2,2,False,599,597,0.0,0.0,,
s1058,C,2,2,2,False,598,596,0.0,0.0,,
s1059,B,2,2,2,False,596,589,1.0,0.0,,
s1060,D,2,2,2,False,599,596,1.0,0.0,,
s1061,D,2,2,2,False,597,595,0.0,1.0,,
s1062,D,2,2,2,False,597,594,1.0,0.0,,
s1063,B,2,2,2,False,598,599,0.0,0.0,,
s1064,A,2,2,2,False,599,595,0.0,0.0,,
s1065,B,2,2,2,False,599,598,,0.0,,947.0
s1066,D,2,2,2,False,599,597,0.0,0.0,,
s1067,B,2,2,2,False,599,599,0.0,0.0,,
s1068,D,2,2,2,False,597,598,0.0,1.0,,
s1069,B,2,2,2,False,597,595,0.0,0.0,,
s1072,D,2,2,2,False,598,596,0.0,1.0,,
s1073,D,2,2,2,False,595,599,1.0,1.0,,
s1074,A,2,2,2,False,599,597,0.0,0.0,,
s1075,C,2,2,2,False,599,596,0.0,0.0,,
s1076,A,2,2,2,False,599,589,1.0,0.0,,
s1077,B,2,2,2,False,599,599,0.0,0.0,,
s1078,A,2,2,2,False,597,595,0.0,,55.0,
s1079,A,2,2,2,False,598,590,0.0,1.0,,
s1080,B,2,2,2,False,596,593,0.0,0.0,,
s1081,C,2,2,2,False,599,593,1.0,1.0,,
s1082,D,2,2,2,False,596,598,0.0,0.0,,
s1087,D,2,2,2,False,599,595,0.0,0.0,,
s1088,C,2,2,2,False,599,598,1.0,1.0,,
s1089,A,2,2,2,False,598,592,0.0,0.0,,
s1090,D,2,2,2,False,598,590,0.0,1.0,,
s1091,D,2,2,2,False,598,598,0.0,1.0,,
s1092,C,2,2,2,False,587,587,0.0,0.0,,
s1094,D,2,2,2,False,598,597,1.0,0.0,,
s1095,B,2,2,2,False,599,594,0.0,0.0,,
s1097,B,2,2,2,False,592,599,1.0,0.0,,
s1099,C,2,2,2,False,599,598,0.0,1.0,,
s1101,C,2,2,2,False,597,597,0.0,0.0,,
s1102,B,2,2,2,False,598,596,0.0,0.0,,
s1103,B,2,2,2,False,596,596,0.0,0.0,,
s1105,B,2,2,2,False,591,591,0.0,1.0,,
s1106,A,2,2,2,False,598,595,1.0,1.0,,
s1107,B,2,2,2,False,599,590,0.0,0.0,,
s1108,C,2,2,2,False,599,597,0.0,0.0,,
s1109,C,2,2,2,False,597,599,0.0,0.0,,
s1110,C,2,2,2,False,598,598,0.0,0.0,,
s1111,A,2,2,2,False,596,597,0.0,0.0,,
s1112,A,2,2,2,False,598,597,0.0,1.0,,
s1114,D,2,2,2,False,598,591,0.0,0.0,,
s1115,B,2,2,2,False,599,597,0.0,0.0,,
s1116,C,2,2,2,False,596,599,1.0,1.0,,
