SubjID,SmlSeq,SmlK,SmlCons,SmlICR,MedSeq,MedK,MedCons,MedICR,LrgSeq,LrgK,LrgCons,LrgICR,GMK
s1001,481,0.009704041,1,0.555555556,497,0.003905918,1,0.444444444,505,0.001599001,1,0.333333333,0.003928030276290973
s1003,505,0.001583251,1,0.333333333,511,2.51282e-4,1,0.111111111,511,2.51015e-4,1,0.111111111,4.639490344221831e-4
s1004,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s1005,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s1006,129,0.126767535,0.888888889,0.888888889,1,0.25,1,1,1,0.248847926,1,1,0.19904931769447207
s1007,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s1008,509,6.32542e-4,1,0.222222222,511,2.51282e-4,1,0.111111111,511,2.51015e-4,1,0.111111111,3.4170406135018374e-4
s1009,512,1.58128e-4,1,0,511,2.51282e-4,1,0.111111111,512,1.58278e-4,1,0,1.845852117004009e-4
s1010,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.02523448665940745
s1011,385,0.065125822,1,0.777777778,401,0.063690167,0.888888889,0.666666667,449,0.025796554,1,0.666666667,0.04747472235673704
s1012,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,477,6.32011e-4,0.888888889,0.333333333,0.005399048010894219
s1013,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.007168669980310297
s1014,385,0.065125822,1,0.777777778,481,0.009740465,1,0.555555556,493,6.32011e-4,0.888888889,0.333333333,0.007373706521386319
s1015,509,6.32542e-4,1,0.222222222,509,6.3193e-4,1,0.222222222,510,3.1628e-4,0.888888889,0.111111111,5.018917115744112e-4
s1016,497,0.003859499,1,0.444444444,497,0.003905918,1,0.444444444,505,0.001599001,1,0.333333333,0.0028886899460350596
s1017,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
