id,duration,NU,PU,PM,PS,SS,UPPS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,BIS,PAS,NAS,GMK
s1162,596,37.0,3.0,18.0,35,3.0,96.0,17.0,22.0,25.0,11,6.0,13.0,9,13.0,12,64.0,17.0,29.0,0.002880569335890433
s1163,457,11.0,2.0,12.0,9,13.0,47.0,13.0,16.0,14.0,7,6.0,10.0,6,5.0,9,43.0,21.0,25.0,0.0011695599640162244
s1164,1161,30.0,16.0,23.0,13,8.0,90.0,10.0,23.0,20.0,4,6.0,17.0,6,6.0,14,53.0,37.0,17.0,0.00288868994603506
s1165,258,23.0,24.0,27.0,16,21.0,111.0,14.0,21.0,25.0,5,9.0,13.0,8,14.0,11,60.0,29.0,27.0,
s1166,203,21.0,19.0,29.0,25,21.0,115.0,18.0,28.0,20.0,8,10.0,18.0,10,9.0,11,66.0,37.0,40.0,
s1167,397,25.0,34.0,18.0,20,0.0,97.0,13.0,17.0,22.0,7,6.0,9.0,8,8.0,14,52.0,20.0,31.0,0.15876862967239438
s1168,517,7.0,2.0,17.0,23,16.0,65.0,13.0,17.0,15.0,7,6.0,10.0,7,9.0,6,45.0,26.0,15.0,0.0006321609417394588
s1169,8656,3.0,0.0,12.0,13,6.0,34.0,11.0,21.0,12.0,5,6.0,12.0,9,4.0,8,44.0,45.0,10.0,0.0006321609417394588
s1170,491,11.0,3.0,19.0,12,23.0,68.0,9.0,17.0,15.0,4,5.0,11.0,6,6.0,9,41.0,38.0,12.0,0.06458455814891413
s1171,402,8.0,1.0,18.0,11,14.0,52.0,10.0,18.0,12.0,6,4.0,12.0,6,5.0,7,40.0,27.0,17.0,0.00046467859952545017
s1172,551,14.0,1.0,18.0,27,1.0,61.0,12.0,17.0,22.0,7,5.0,7.0,10,9.0,13,51.0,15.0,30.0,0.001590400027627891
s1173,391,5.0,2.0,18.0,10,16.0,51.0,9.0,19.0,14.0,5,4.0,12.0,7,7.0,7,42.0,36.0,10.0,0.002880569335890433
s1174,196,29.0,37.0,15.0,16,28.0,125.0,15.0,23.0,13.0,8,7.0,16.0,7,5.0,8,51.0,29.0,15.0,0.0874502854908541
s1175,513,26.0,15.0,26.0,20,31.0,118.0,17.0,26.0,18.0,6,11.0,15.0,11,11.0,7,61.0,27.0,35.0,0.018375687917671205
s1176,1187,7.0,0.0,16.0,11,21.0,55.0,10.0,20.0,8.0,3,7.0,13.0,7,3.0,5,38.0,42.0,10.0,0.2485300860162919
s1177,638,12.0,10.0,22.0,12,21.0,77.0,11.0,15.0,12.0,6,5.0,11.0,4,8.0,4,38.0,33.0,14.0,0.01345472877351011
s1178,436,2.0,0.0,12.0,15,22.0,51.0,7.0,23.0,19.0,3,4.0,16.0,7,8.0,11,49.0,28.0,10.0,0.007168669980310297
s1179,496,4.0,0.0,11.0,14,11.0,40.0,12.0,21.0,13.0,6,6.0,12.0,9,5.0,8,46.0,34.0,12.0,0.005286315321377051
s1180,530,11.0,0.0,16.0,11,15.0,53.0,20.0,18.0,13.0,12,8.0,13.0,5,7.0,6,51.0,42.0,15.0,0.001590400027627891
