id,duration,NU,PU,PM,PS,SS,UPPS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,BIS,PAS,NAS,GMK
s1001,373,22,23.0,18.0,18,26.0,107.0,12.0,17.0,22.0,7,5.0,11.0,6,13.0,9,51.0,30.0,11.0,0.0021404253958474664
s1003,1310,18,20.0,11.0,12,39.0,100.0,18.0,16.0,17.0,9,9.0,9.0,7,9.0,8,51.0,30.0,33.0,0.0008579395478603617
s1004,359,15,20.0,11.0,10,16.0,72.0,14.0,21.0,17.0,5,9.0,14.0,7,9.0,8,52.0,43.0,10.0,0.00015822798419668516
s1006,176,31,33.0,27.0,27,27.0,145.0,18.0,28.0,26.0,12,6.0,19.0,9,13.0,13,72.0,19.0,20.0,0.11570258587271667
s1007,1138,20,18.0,15.0,12,24.0,89.0,9.0,19.0,20.0,5,4.0,12.0,7,12.0,8,48.0,40.0,11.0,0.002119952989678214
s1008,540,21,15.0,22.0,21,22.0,101.0,12.0,15.0,28.0,8,4.0,8.0,7,15.0,13,55.0,18.0,14.0,0.00034170406135018374
s1010,780,31,22.0,19.0,15,36.0,123.0,16.0,20.0,23.0,11,5.0,14.0,6,12.0,11,59.0,27.0,12.0,0.01345472877351011
s1011,383,30,17.0,26.0,15,44.0,132.0,13.0,22.0,21.0,6,7.0,15.0,7,13.0,8,56.0,34.0,24.0,0.04747472235673704
s1012,516,19,18.0,22.0,20,20.0,99.0,13.0,16.0,26.0,8,5.0,9.0,7,14.0,12,55.0,29.0,13.0,0.002135990380249449
s1013,1726,21,14.0,12.0,13,29.0,89.0,15.0,18.0,31.0,8,7.0,8.0,10,13.0,18,64.0,19.0,31.0,0.002895631350170924
s1014,382,17,26.0,28.0,19,36.0,126.0,9.0,22.0,18.0,5,4.0,15.0,7,9.0,9,49.0,41.0,12.0,0.005326725897247817
s1015,430,18,14.0,15.0,14,27.0,88.0,11.0,15.0,16.0,7,4.0,10.0,5,9.0,7,42.0,23.0,14.0,0.00023254214162449945
s1016,715,19,18.0,12.0,15,22.0,86.0,12.0,23.0,22.0,7,5.0,18.0,5,10.0,12,57.0,45.0,11.0,0.0004639490344221831
s1017,346,12,14.0,13.0,15,21.0,75.0,12.0,13.0,23.0,9,3.0,8.0,5,14.0,9,48.0,27.0,11.0,0.00015822798419668516
s1018,395,31,28.0,22.0,22,24.0,127.0,21.0,21.0,29.0,14,7.0,14.0,7,16.0,13,71.0,24.0,17.0,0.0008491150272484157
s1019,1638,18,14.0,17.0,17,14.0,80.0,11.0,17.0,24.0,8,3.0,9.0,8,15.0,9,52.0,28.0,22.0,0.0006814587279634171
s1020,504,30,15.0,12.0,20,13.0,90.0,12.0,26.0,24.0,7,5.0,19.0,7,15.0,9,62.0,24.0,10.0,0.00015822798419668516
s1021,623,34,26.0,14.0,21,15.0,110.0,20.0,20.0,28.0,13,7.0,11.0,9,14.0,14,68.0,24.0,15.0,0.01345472877351011
s1022,573,17,17.0,16.0,12,18.0,80.0,12.0,18.0,17.0,7,5.0,12.0,6,9.0,8,47.0,35.0,11.0,0.08698025245762944
s1023,362,25,17.0,17.0,18,27.0,104.0,17.0,19.0,24.0,10,7.0,13.0,6,13.0,11,60.0,31.0,15.0,0.009900796334857579
s1024,479,15,15.0,18.0,12,39.0,99.0,8.0,16.0,16.0,5,3.0,12.0,4,10.0,6,40.0,43.0,10.0,0.00720363854838303
s1025,411,45,46.0,22.0,23,17.0,153.0,26.0,21.0,26.0,15,11.0,15.0,6,15.0,11,73.0,36.0,31.0,0.01345472877351011
s1026,334,22,17.0,12.0,23,19.0,93.0,14.0,21.0,24.0,9,5.0,12.0,9,13.0,11,59.0,36.0,19.0,0.005326725897247817
s1027,1028,20,26.0,18.0,10,21.0,95.0,14.0,21.0,19.0,11,3.0,14.0,7,9.0,10,54.0,36.0,10.0,
s1028,504,33,31.0,16.0,28,33.0,141.0,21.0,19.0,25.0,12,9.0,12.0,7,13.0,12,65.0,22.0,20.0,0.01847675990484034
s1029,173,28,21.0,33.0,24,21.0,127.0,18.0,23.0,28.0,12,6.0,14.0,9,14.0,14,69.0,16.0,10.0,0.00015822798419668516
s1030,694,22,14.0,13.0,14,22.0,85.0,12.0,18.0,27.0,8,4.0,10.0,8,15.0,12,57.0,19.0,26.0,0.007356849790144663
s1031,438,36,34.0,16.0,17,17.0,120.0,12.0,20.0,26.0,8,4.0,14.0,6,16.0,10,58.0,36.0,15.0,0.0639373165087494
s1032,2145,13,14.0,15.0,11,16.0,69.0,10.0,14.0,16.0,7,3.0,9.0,5,9.0,7,40.0,38.0,14.0,0.0006309178378349672
s1033,304,14,14.0,17.0,10,21.0,76.0,8.0,16.0,20.0,5,3.0,12.0,4,12.0,8,44.0,38.0,10.0,0.08698025245762944
s1034,436,15,14.0,21.0,13,26.0,89.0,10.0,21.0,23.0,7,3.0,15.0,6,14.0,9,54.0,40.0,11.0,0.013355818259325159
s1035,569,33,40.0,22.0,21,23.0,139.0,18.0,19.0,30.0,10,8.0,13.0,6,16.0,14,67.0,27.0,18.0,0.0021404253958474664
s1036,424,27,43.0,14.0,10,43.0,137.0,12.0,16.0,17.0,7,5.0,9.0,7,11.0,6,45.0,37.0,11.0,0.009900796334857579
s1037,294,28,37.0,27.0,25,28.0,145.0,13.0,25.0,28.0,8,5.0,15.0,10,16.0,12,66.0,26.0,11.0,0.00288868994603506
s1038,817,22,15.0,23.0,21,24.0,105.0,17.0,24.0,29.0,11,6.0,12.0,12,15.0,14,70.0,30.0,22.0,0.0011671634396006375
s1039,320,15,15.0,21.0,11,20.0,82.0,10.0,20.0,21.0,7,3.0,14.0,6,11.0,10,51.0,33.0,10.0,0.08698025245762944
s1040,514,30,19.0,14.0,20,16.0,99.0,19.0,25.0,27.0,7,12.0,17.0,8,18.0,9,71.0,24.0,17.0,0.02552782085037716
s1041,529,29,23.0,15.0,12,23.0,102.0,14.0,22.0,19.0,9,5.0,17.0,5,9.0,10,55.0,45.0,12.0,0.003921245616692685
s1042,948,12,16.0,17.0,13,13.0,71.0,9.0,17.0,21.0,6,3.0,11.0,6,10.0,11,47.0,37.0,10.0,
s1043,254,25,14.0,11.0,11,21.0,82.0,16.0,18.0,17.0,7,9.0,11.0,7,10.0,7,51.0,19.0,36.0,
s1044,324,25,30.0,18.0,20,28.0,121.0,14.0,24.0,26.0,9,5.0,17.0,7,12.0,14,64.0,19.0,14.0,0.04747472235673704
s1046,367,33,36.0,22.0,27,34.0,152.0,18.0,29.0,21.0,9,9.0,19.0,10,11.0,10,68.0,27.0,26.0,0.13733968914313294
s1047,239,25,30.0,16.0,20,28.0,119.0,13.0,19.0,25.0,9,4.0,13.0,6,13.0,12,57.0,25.0,11.0,0.00015822798419668516
s1048,417,41,43.0,25.0,36,13.0,158.0,15.0,22.0,35.0,12,3.0,14.0,8,20.0,15,72.0,13.0,33.0,0.01847675990484034
s1049,678,22,19.0,16.0,17,28.0,102.0,11.0,19.0,21.0,6,5.0,13.0,6,12.0,9,51.0,31.0,19.0,0.01844599302717891
