,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex
alpha,0.882382922,0.997428487,0.144619892,0.758491779,0.937409208,0.089649279,0.777132593,0.479008656,0.906565797,0.052693284,0.914087533
nu,0.367641805,0.107472526,0.077690309,0.745965923,0.670005396,0.113031855,0.535424717,0.14960187,0.62423091,0.117963051,0.958441317
tau,0.38622594,0.919738431,0.794143606,0.455796571,0.518164435,0.955450736,0.117806538,0.405470387,0.17192962,0.193215776,0.182579834
gamma,0.370128658,0.332135181,0.001121573,0.938412915,0.25332227,0.101113691,0.023373105,0.040999873,0.667729407,0.843761047,0.103512071
eta,0.407084606,0.826411206,0.344891328,0.789589724,0.776759032,0.990994662,0.648545419,0.413072305,0.121721705,0.700330028,0.622697185
