,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,UPPS,BIS,GMK
auc_ave,-0.073890223,-0.021888545,0.080163347,-0.115090473,0.155639917,-0.003942652,0.217309383,0.030215122,-0.02666864,0.04551459,0.279852769,-0.004645152,0.06393125,-0.008197655,-0.006016541,0.066274366,-0.072967317
auc_delta,0.058597744,0.055430966,0.129331114,0.068293474,-0.0401596,0.024831831,0.065969329,0.110224074,0.050600228,0.001782779,0.025968048,0.114505018,0.060926696,0.124939408,0.060053793,0.08207222,-0.122033778
std_wtw_mw_ave,0.012069153,0.067213859,0.132274997,0.054025891,-0.038896168,0.057074979,0.144752037,0.043922142,0.0567762,0.05590233,0.191573961,0.011266236,0.041426762,0.032085757,0.018341269,0.074517978,-0.109361436
