,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex
alpha,0.898959006,0.824662589,0.165435596,0.55048413,0.773994841,0.079795286,0.586560731,0.564118397,0.894210595,0.061050972,0.795556373
nu,0.318429488,0.062150562,0.075243774,0.539336733,0.848035895,0.100873173,0.394455472,0.172474668,0.59442711,0.110556363,0.71157939
tau,0.42676709,0.913947169,0.874059787,0.425796267,0.577456258,0.860822649,0.085627349,0.516414046,0.316093131,0.29068805,0.273057018
gamma,0.370255308,0.285250799,0.001808572,0.949599002,0.256678643,0.086784996,0.02656223,0.050349133,0.803003284,0.951342101,0.069084426
eta,0.476530842,0.848592898,0.444873233,0.84666673,0.871269298,0.917619969,0.516026036,0.566898963,0.250150071,0.871430519,0.72358059
