,NU,PU,PM,PS,SS,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex
alpha,0.619975944,0.573490733,0.663262803,0.139415623,0.522490049,0.684049633,0.375397111,0.218927926,0.250093922,0.603499585,0.551427627
nu,0.989400646,0.96538219,0.132012304,0.867040309,0.901160181,0.899604357,0.725562911,0.073522242,0.736954206,0.123467301,0.796506562
tau,0.994188159,0.665197639,0.617645894,0.419599409,0.89143804,0.814037202,0.937154346,0.076185698,0.390679745,0.765992377,0.309589423
gamma,0.402259306,0.512874738,0.258679311,0.660457445,0.974815428,0.656941277,0.476832858,0.76401328,0.10207281,0.968265534,0.92776632
eta,0.415326617,0.946720987,0.830662765,0.273663308,0.207057359,0.79826754,0.801615001,0.011936074,0.479428935,0.854226375,0.681356553
