trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
78.0,LP,23.999,,,4.709,0.0,88.0,423.632,418.923,418.742
79.0,LP,0.206,425.687,0.728,0.952,2.0,90.0,426.415,425.463,425.138
80.0,LP,4.253,432.53,0.865,5.183,2.0,92.0,433.395,428.212,427.921
81.0,LP,0.569,435.884,0.863,1.581,2.0,94.0,436.747,435.166,434.903
82.0,LP,23.999,,,4.233,0.0,94.0,442.79,438.557,438.254
83.0,LP,7.65,,,4.368,0.0,94.0,448.833,444.465,444.297
84.0,LP,23.999,,,4.242,0.0,94.0,454.583,450.341,450.339
85.0,LP,1.203,457.483,0.868,2.085,2.0,96.0,458.351,456.266,456.091
86.0,LP,2.312,462.52,0.69,3.192,2.0,98.0,463.21,460.018,459.857
87.0,LP,0.569,465.766,0.857,1.596,2.0,100.0,466.623,465.027,464.716
88.0,LP,7.65,476.282,0.704,8.513,2.0,102.0,476.986,468.473,468.13
89.0,LP,2.312,481.217,0.721,3.301,2.0,104.0,481.938,478.637,478.493
90.0,LP,13.596,,,4.081,0.0,104.0,487.827,483.746,483.445
91.0,LP,4.253,,,4.054,0.0,104.0,493.715,489.661,489.333
92.0,LP,2.312,497.783,0.838,3.282,2.0,106.0,498.621,495.339,495.222
93.0,LP,0.206,501.153,1.019,1.346,2.0,108.0,502.172,500.826,500.127
94.0,LP,0.569,504.69,0.85,1.543,2.0,110.0,505.54,503.997,503.679
95.0,LP,0.206,507.705,0.864,1.207,2.0,112.0,508.569,507.362,507.046
96.0,LP,2.312,512.666,0.839,3.18,2.0,114.0,513.505,510.325,510.076
97.0,LP,2.312,517.676,0.672,3.038,2.0,116.0,518.348,515.31,515.012
98.0,LP,7.65,,,6.295,0.0,116.0,526.359,520.064,519.855
99.0,LP,13.596,,,6.687,0.0,116.0,534.831,528.144,527.866
100.0,LP,7.65,,,4.458,0.0,116.0,540.828,536.37,536.338
101.0,LP,0.569,543.209,0.694,1.411,2.0,118.0,543.903,542.492,542.334
102.0,LP,1.203,546.743,0.681,1.994,2.0,120.0,547.424,545.43,545.41
103.0,LP,1.203,550.472,0.689,1.946,2.0,122.0,551.161,549.215,548.931
104.0,LP,23.999,,,2.892,0.0,122.0,555.804,552.912,552.667
105.0,LP,4.253,,,3.67,0.0,122.0,561.247,557.577,557.311
106.0,LP,7.65,,,3.205,0.0,122.0,566.214,563.009,562.754
107.0,LP,1.203,569.154,0.688,1.95,2.0,124.0,569.842,567.892,567.72
108.0,LP,0.569,572.3,0.679,1.372,2.0,126.0,572.979,571.607,571.349
109.0,LP,13.596,,,11.306,0.0,126.0,586.095,574.789,574.486
110.0,LP,0.206,588.217,0.692,1.04,2.0,128.0,588.909,587.869,587.601
111.0,LP,13.596,,,3.333,0.0,128.0,593.921,590.588,590.416
112.0,LP,2.312,598.052,0.698,3.021,2.0,130.0,598.75,595.729,595.428
1.0,HP,7.5,,,4.484,0.0,130.0,6.114,1.63,0.0
2.0,HP,10.5,,,4.368,0.0,130.0,12.188,7.82,7.621
3.0,HP,4.5,18.257,1.035,5.594,2.0,132.0,19.292,13.698,13.695
4.0,HP,9.0,,,8.925,0.0,132.0,30.024,21.099,20.799
5.0,HP,12.0,,,3.512,0.0,132.0,35.067,31.555,31.531
6.0,HP,9.0,,,4.005,0.0,132.0,40.865,36.86,36.574
7.0,HP,9.0,,,3.689,0.0,132.0,46.323,42.634,42.371
8.0,HP,3.0,50.928,0.684,3.699,2.0,134.0,51.612,47.913,47.83
9.0,HP,12.0,,,5.44,0.0,134.0,58.854,53.414,53.119
10.0,HP,6.0,,,4.675,0.0,134.0,65.266,60.591,60.361
11.0,HP,10.5,,,4.301,0.0,134.0,71.401,67.1,66.773
12.0,HP,7.5,,,5.35,0.0,134.0,78.551,73.201,72.908
13.0,HP,3.0,,,2.915,0.0,134.0,83.195,80.28,80.058
14.0,HP,1.5,86.477,0.884,2.503,2.0,136.0,87.361,84.858,84.702
15.0,HP,7.5,,,5.413,0.0,136.0,94.327,88.914,88.869
16.0,HP,7.5,,,6.968,0.0,136.0,102.968,96.0,95.834
17.0,HP,1.5,106.419,0.685,2.359,2.0,138.0,107.104,104.745,104.475
18.0,HP,6.0,,,5.391,0.0,138.0,114.255,108.864,108.611
19.0,HP,7.5,,,3.818,0.0,138.0,119.713,115.895,115.762
20.0,HP,12.0,,,4.773,0.0,138.0,126.171,121.398,121.22
21.0,HP,3.0,131.001,0.69,3.772,2.0,140.0,131.691,127.919,127.678
