MedSeq	MedK	MedCons	MedICR
1	0.250000000	1	1
2	0.250000000	0.888888889	0.888888889
3	0.250000000	0.888888889	0.888888889
4	0.250000000	0.777777778	0.777777778
5	0.250000000	0.888888889	0.888888889
6	0.250000000	0.777777778	0.777777778
7	0.250000000	0.777777778	0.777777778
8	0.250000000	0.666666667	0.666666667
9	0.250000000	0.888888889	0.888888889
10	0.250000000	0.777777778	0.777777778
11	0.250000000	0.777777778	0.777777778
12	0.250000000	0.666666667	0.666666667
13	0.250000000	0.777777778	0.777777778
14	0.250000000	0.666666667	0.666666667
15	0.250000000	0.666666667	0.666666667
16	0.250000000	0.555555556	0.555555556
17	0.250000000	0.888888889	0.888888889
18	0.250000000	0.777777778	0.777777778
19	0.250000000	0.777777778	0.777777778
20	0.250000000	0.666666667	0.666666667
21	0.250000000	0.777777778	0.777777778
22	0.250000000	0.666666667	0.666666667
23	0.250000000	0.666666667	0.666666667
24	0.250000000	0.555555556	0.555555556
25	0.250000000	0.777777778	0.777777778
26	0.250000000	0.666666667	0.666666667
27	0.250000000	0.666666667	0.666666667
28	0.250000000	0.555555556	0.555555556
29	0.250000000	0.666666667	0.666666667
30	0.250000000	0.555555556	0.555555556
31	0.007925943	0.555555556	0.555555556
32	0.000158278	0.555555556	0.444444444
33	0.250000000	0.888888889	0.888888889
34	0.250000000	0.777777778	0.777777778
35	0.250000000	0.777777778	0.777777778
36	0.250000000	0.666666667	0.666666667
37	0.250000000	0.777777778	0.777777778
38	0.250000000	0.666666667	0.666666667
39	0.250000000	0.666666667	0.666666667
40	0.250000000	0.555555556	0.555555556
41	0.250000000	0.777777778	0.777777778
42	0.250000000	0.666666667	0.666666667
43	0.250000000	0.666666667	0.666666667
44	0.250000000	0.555555556	0.555555556
45	0.250000000	0.666666667	0.666666667
46	0.250000000	0.555555556	0.555555556
47	0.007925943	0.555555556	0.555555556
48	0.000158278	0.555555556	0.444444444
49	0.250000000	0.777777778	0.777777778
50	0.250000000	0.666666667	0.666666667
51	0.250000000	0.666666667	0.666666667
52	0.250000000	0.555555556	0.555555556
53	0.250000000	0.666666667	0.666666667
54	0.250000000	0.555555556	0.555555556
55	0.007925943	0.555555556	0.555555556
56	0.000158278	0.555555556	0.444444444
57	0.019931055	0.666666667	0.666666667
58	0.019931055	0.555555556	0.555555556
59	0.004638820	0.555555556	0.555555556
60	0.000158278	0.555555556	0.444444444
61	0.000631930	0.666666667	0.555555556
62	0.000316260	0.555555556	0.444444444
63	0.000251282	0.666666667	0.444444444
64	0.000158278	0.666666667	0.333333333
65	0.250000000	0.888888889	0.888888889
66	0.250000000	0.777777778	0.777777778
67	0.250000000	0.777777778	0.777777778
68	0.250000000	0.666666667	0.666666667
69	0.250000000	0.777777778	0.777777778
70	0.250000000	0.666666667	0.666666667
71	0.250000000	0.666666667	0.666666667
72	0.250000000	0.555555556	0.555555556
73	0.250000000	0.777777778	0.777777778
74	0.250000000	0.666666667	0.666666667
75	0.250000000	0.666666667	0.666666667
76	0.250000000	0.555555556	0.555555556
77	0.250000000	0.666666667	0.666666667
78	0.250000000	0.555555556	0.555555556
79	0.007925943	0.555555556	0.555555556
80	0.000158278	0.555555556	0.444444444
81	0.250000000	0.777777778	0.777777778
82	0.250000000	0.666666667	0.666666667
83	0.250000000	0.666666667	0.666666667
84	0.250000000	0.555555556	0.555555556
85	0.250000000	0.666666667	0.666666667
86	0.250000000	0.555555556	0.555555556
87	0.007925943	0.555555556	0.555555556
88	0.000158278	0.555555556	0.444444444
89	0.019931055	0.666666667	0.666666667
90	0.019931055	0.555555556	0.555555556
91	0.004638820	0.555555556	0.555555556
92	0.000158278	0.555555556	0.444444444
93	0.000631930	0.666666667	0.555555556
94	0.000316260	0.555555556	0.444444444
95	0.000251282	0.666666667	0.444444444
96	0.000158278	0.666666667	0.333333333
97	0.049346897	0.777777778	0.777777778
98	0.049346897	0.666666667	0.666666667
99	0.049346897	0.666666667	0.666666667
100	0.049346897	0.555555556	0.555555556
101	0.049346897	0.666666667	0.666666667
102	0.049346897	0.555555556	0.555555556
103	0.008489730	0.555555556	0.555555556
104	0.000158278	0.555555556	0.444444444
105	0.015699293	0.666666667	0.666666667
106	0.015699293	0.555555556	0.555555556
107	0.005584066	0.555555556	0.555555556
108	0.000158278	0.555555556	0.444444444
109	0.000631930	0.666666667	0.555555556
110	0.000316260	0.555555556	0.444444444
111	0.000251282	0.666666667	0.444444444
112	0.000158278	0.666666667	0.333333333
113	0.003905918	0.777777778	0.666666667
114	0.003905918	0.666666667	0.555555556
115	0.003905918	0.666666667	0.555555556
116	0.000786270	0.555555556	0.444444444
117	0.001571072	0.666666667	0.555555556
118	0.000731034	0.555555556	0.444444444
119	0.000251282	0.666666667	0.444444444
120	0.000158278	0.666666667	0.333333333
121	0.001588988	0.777777778	0.555555556
122	0.001588988	0.666666667	0.444444444
123	0.000631890	0.666666667	0.444444444
124	0.000158278	0.666666667	0.333333333
125	0.000631930	0.777777778	0.444444444
126	0.000316260	0.666666667	0.333333333
127	0.000251282	0.777777778	0.333333333
128	0.000158278	0.777777778	0.222222222
129	0.126184554	0.888888889	0.888888889
130	0.126184554	0.777777778	0.777777778
131	0.126184554	0.777777778	0.777777778
132	0.126184554	0.666666667	0.666666667
133	0.126184554	0.777777778	0.777777778
134	0.126184554	0.666666667	0.666666667
135	0.126184554	0.666666667	0.666666667
136	0.126184554	0.555555556	0.555555556
137	0.126184554	0.777777778	0.777777778
138	0.126184554	0.666666667	0.666666667
139	0.126184554	0.666666667	0.666666667
140	0.126184554	0.555555556	0.555555556
141	0.126184554	0.666666667	0.666666667
142	0.126184554	0.555555556	0.555555556
143	0.015875403	0.555555556	0.555555556
144	0.000158278	0.555555556	0.444444444
145	0.126184554	0.777777778	0.777777778
146	0.126184554	0.666666667	0.666666667
147	0.126184554	0.666666667	0.666666667
148	0.126184554	0.555555556	0.555555556
149	0.126184554	0.666666667	0.666666667
150	0.126184554	0.555555556	0.555555556
151	0.015875403	0.555555556	0.555555556
152	0.000158278	0.555555556	0.444444444
153	0.029356953	0.666666667	0.666666667
154	0.029356953	0.555555556	0.555555556
155	0.008929429	0.555555556	0.555555556
156	0.000158278	0.555555556	0.444444444
157	0.000631930	0.666666667	0.555555556
158	0.000316260	0.555555556	0.444444444
159	0.000251282	0.666666667	0.444444444
160	0.000158278	0.666666667	0.333333333
161	0.053727590	0.777777778	0.777777778
162	0.053727590	0.666666667	0.666666667
163	0.053727590	0.666666667	0.666666667
164	0.053727590	0.555555556	0.555555556
165	0.053727590	0.666666667	0.666666667
166	0.053727590	0.555555556	0.555555556
167	0.014050394	0.555555556	0.555555556
168	0.000158278	0.555555556	0.444444444
169	0.022280666	0.666666667	0.666666667
170	0.022280666	0.555555556	0.555555556
171	0.009086046	0.555555556	0.555555556
172	0.000158278	0.555555556	0.444444444
173	0.000631930	0.666666667	0.555555556
174	0.000316260	0.555555556	0.444444444
175	0.000251282	0.666666667	0.444444444
176	0.000158278	0.666666667	0.333333333
177	0.003905918	0.777777778	0.666666667
178	0.003905918	0.666666667	0.555555556
179	0.003905918	0.666666667	0.555555556
180	0.000786270	0.555555556	0.444444444
181	0.001571072	0.666666667	0.555555556
182	0.000731034	0.555555556	0.444444444
183	0.000251282	0.666666667	0.444444444
184	0.000158278	0.666666667	0.333333333
185	0.001588988	0.777777778	0.555555556
186	0.001588988	0.666666667	0.444444444
187	0.000631890	0.666666667	0.444444444
188	0.000158278	0.666666667	0.333333333
189	0.000631930	0.777777778	0.444444444
190	0.000316260	0.666666667	0.333333333
191	0.000251282	0.777777778	0.333333333
192	0.000158278	0.777777778	0.222222222
193	0.025225065	0.888888889	0.777777778
194	0.025225065	0.777777778	0.666666667
195	0.025225065	0.777777778	0.666666667
196	0.025225065	0.666666667	0.555555556
197	0.025225065	0.777777778	0.666666667
198	0.025225065	0.666666667	0.555555556
199	0.025225065	0.666666667	0.555555556
200	0.001998142	0.555555556	0.444444444
201	0.025225065	0.777777778	0.666666667
202	0.025225065	0.666666667	0.555555556
203	0.025225065	0.666666667	0.555555556
204	0.001998142	0.555555556	0.444444444
205	0.003992552	0.666666667	0.555555556
206	0.001361363	0.555555556	0.444444444
207	0.000251282	0.666666667	0.444444444
208	0.000158278	0.666666667	0.333333333
209	0.009926078	0.777777778	0.666666667
210	0.009926078	0.666666667	0.555555556
211	0.009926078	0.666666667	0.555555556
212	0.002498381	0.555555556	0.444444444
213	0.003963463	0.666666667	0.555555556
214	0.001771786	0.555555556	0.444444444
215	0.000251282	0.666666667	0.444444444
216	0.000158278	0.666666667	0.333333333
217	0.001588988	0.777777778	0.555555556
218	0.001588988	0.666666667	0.444444444
219	0.000631890	0.666666667	0.444444444
220	0.000158278	0.666666667	0.333333333
221	0.000631930	0.777777778	0.444444444
222	0.000316260	0.666666667	0.333333333
223	0.000251282	0.777777778	0.333333333
224	0.000158278	0.777777778	0.222222222
225	0.009740465	0.888888889	0.666666667
226	0.009740465	0.777777778	0.555555556
227	0.009740465	0.777777778	0.555555556
228	0.009740465	0.666666667	0.444444444
229	0.009740465	0.777777778	0.555555556
230	0.009740465	0.666666667	0.444444444
231	0.001564483	0.666666667	0.444444444
232	0.000158278	0.666666667	0.333333333
233	0.003934143	0.777777778	0.555555556
234	0.003934143	0.666666667	0.444444444
235	0.001572609	0.666666667	0.444444444
236	0.000158278	0.666666667	0.333333333
237	0.000631930	0.777777778	0.444444444
238	0.000316260	0.666666667	0.333333333
239	0.000251282	0.777777778	0.333333333
240	0.000158278	0.777777778	0.222222222
241	0.003905918	0.888888889	0.555555556
242	0.003905918	0.777777778	0.444444444
243	0.003905918	0.777777778	0.444444444
244	0.000786270	0.666666667	0.333333333
245	0.001571072	0.777777778	0.444444444
246	0.000731034	0.666666667	0.333333333
247	0.000251282	0.777777778	0.333333333
248	0.000158278	0.777777778	0.222222222
249	0.001588988	0.888888889	0.444444444
250	0.001588988	0.777777778	0.333333333
251	0.000631890	0.777777778	0.333333333
252	0.000158278	0.777777778	0.222222222
253	0.000631930	0.888888889	0.333333333
254	0.000316260	0.777777778	0.222222222
255	0.000251282	0.888888889	0.222222222
256	0.000158278	0.888888889	0.111111111
257	0.158113883	1	0.888888889
258	0.158113883	0.888888889	0.777777778
259	0.158113883	0.888888889	0.777777778
260	0.158113883	0.777777778	0.666666667
261	0.158113883	0.888888889	0.777777778
262	0.158113883	0.777777778	0.666666667
263	0.158113883	0.777777778	0.666666667
264	0.158113883	0.666666667	0.555555556
265	0.158113883	0.888888889	0.777777778
266	0.158113883	0.777777778	0.666666667
267	0.158113883	0.777777778	0.666666667
268	0.158113883	0.666666667	0.555555556
269	0.158113883	0.777777778	0.666666667
270	0.158113883	0.666666667	0.555555556
271	0.158113883	0.666666667	0.555555556
272	0.005002593	0.555555556	0.444444444
273	0.158113883	0.888888889	0.777777778
274	0.158113883	0.777777778	0.666666667
275	0.158113883	0.777777778	0.666666667
276	0.158113883	0.666666667	0.555555556
277	0.158113883	0.777777778	0.666666667
278	0.158113883	0.666666667	0.555555556
279	0.158113883	0.666666667	0.555555556
280	0.005002593	0.555555556	0.444444444
281	0.158113883	0.777777778	0.666666667
282	0.158113883	0.666666667	0.555555556
283	0.158113883	0.666666667	0.555555556
284	0.005002593	0.555555556	0.444444444
285	0.009995844	0.666666667	0.555555556
286	0.002510074	0.555555556	0.444444444
287	0.000251282	0.666666667	0.444444444
288	0.000158278	0.666666667	0.333333333
289	0.158113883	0.888888889	0.777777778
290	0.158113883	0.777777778	0.666666667
291	0.158113883	0.777777778	0.666666667
292	0.158113883	0.666666667	0.555555556
293	0.158113883	0.777777778	0.666666667
294	0.158113883	0.666666667	0.555555556
295	0.158113883	0.666666667	0.555555556
296	0.005002593	0.555555556	0.444444444
297	0.158113883	0.777777778	0.666666667
298	0.158113883	0.666666667	0.555555556
299	0.158113883	0.666666667	0.555555556
300	0.005002593	0.555555556	0.444444444
301	0.009995844	0.666666667	0.555555556
302	0.002510074	0.555555556	0.444444444
303	0.000251282	0.666666667	0.444444444
304	0.000158278	0.666666667	0.333333333
