LrgSeq	LrgK	LrgCons	LrgICR
1	0.248847926	1	1
2	0.248847926	0.888888889	0.888888889
3	0.248847926	0.888888889	0.888888889
4	0.248847926	0.777777778	0.777777778
5	0.248847926	0.888888889	0.888888889
6	0.248847926	0.777777778	0.777777778
7	0.248847926	0.777777778	0.777777778
8	0.248847926	0.666666667	0.666666667
9	0.248847926	0.888888889	0.888888889
10	0.248847926	0.777777778	0.777777778
11	0.248847926	0.777777778	0.777777778
12	0.248847926	0.666666667	0.666666667
13	0.248847926	0.777777778	0.777777778
14	0.248847926	0.666666667	0.666666667
15	0.248847926	0.666666667	0.666666667
16	0.248847926	0.555555556	0.555555556
17	0.248847926	0.888888889	0.888888889
18	0.248847926	0.777777778	0.777777778
19	0.248847926	0.777777778	0.777777778
20	0.248847926	0.666666667	0.666666667
21	0.248847926	0.777777778	0.777777778
22	0.248847926	0.666666667	0.666666667
23	0.248847926	0.666666667	0.666666667
24	0.248847926	0.555555556	0.555555556
25	0.248847926	0.777777778	0.777777778
26	0.248847926	0.666666667	0.666666667
27	0.248847926	0.666666667	0.666666667
28	0.248847926	0.555555556	0.555555556
29	0.248847926	0.666666667	0.666666667
30	0.248847926	0.555555556	0.555555556
31	0.007903459	0.555555556	0.555555556
32	0.000158278	0.555555556	0.444444444
33	0.248847926	0.888888889	0.888888889
34	0.248847926	0.777777778	0.777777778
35	0.248847926	0.777777778	0.777777778
36	0.248847926	0.666666667	0.666666667
37	0.248847926	0.777777778	0.777777778
38	0.248847926	0.666666667	0.666666667
39	0.248847926	0.666666667	0.666666667
40	0.248847926	0.555555556	0.555555556
41	0.248847926	0.777777778	0.777777778
42	0.248847926	0.666666667	0.666666667
43	0.248847926	0.666666667	0.666666667
44	0.248847926	0.555555556	0.555555556
45	0.248847926	0.666666667	0.666666667
46	0.248847926	0.555555556	0.555555556
47	0.007903459	0.555555556	0.555555556
48	0.000158278	0.555555556	0.444444444
49	0.248847926	0.777777778	0.777777778
50	0.248847926	0.666666667	0.666666667
51	0.248847926	0.666666667	0.666666667
52	0.248847926	0.555555556	0.555555556
53	0.248847926	0.666666667	0.666666667
54	0.248847926	0.555555556	0.555555556
55	0.007903459	0.555555556	0.555555556
56	0.000158278	0.555555556	0.444444444
57	0.019947636	0.666666667	0.666666667
58	0.019947636	0.555555556	0.555555556
59	0.004639748	0.555555556	0.555555556
60	0.000158278	0.555555556	0.444444444
61	0.000632011	0.666666667	0.555555556
62	0.000316280	0.555555556	0.444444444
63	0.000251015	0.666666667	0.444444444
64	0.000158278	0.666666667	0.333333333
65	0.248847926	0.888888889	0.888888889
66	0.248847926	0.777777778	0.777777778
67	0.248847926	0.777777778	0.777777778
68	0.248847926	0.666666667	0.666666667
69	0.248847926	0.777777778	0.777777778
70	0.248847926	0.666666667	0.666666667
71	0.248847926	0.666666667	0.666666667
72	0.248847926	0.555555556	0.555555556
