SmlSeq	SmlK	SmlCons	SmlICR
1	0.246753247	1	1
2	0.246753247	0.888888889	0.888888889
3	0.246753247	0.888888889	0.888888889
4	0.246753247	0.777777778	0.777777778
5	0.246753247	0.888888889	0.888888889
6	0.246753247	0.777777778	0.777777778
7	0.246753247	0.777777778	0.777777778
8	0.246753247	0.666666667	0.666666667
9	0.246753247	0.888888889	0.888888889
10	0.246753247	0.777777778	0.777777778
11	0.246753247	0.777777778	0.777777778
12	0.246753247	0.666666667	0.666666667
13	0.246753247	0.777777778	0.777777778
14	0.246753247	0.666666667	0.666666667
15	0.246753247	0.666666667	0.666666667
16	0.246753247	0.555555556	0.555555556
17	0.246753247	0.888888889	0.888888889
18	0.246753247	0.777777778	0.777777778
19	0.246753247	0.777777778	0.777777778
20	0.246753247	0.666666667	0.666666667
21	0.246753247	0.777777778	0.777777778
22	0.246753247	0.666666667	0.666666667
23	0.246753247	0.666666667	0.666666667
24	0.246753247	0.555555556	0.555555556
25	0.246753247	0.777777778	0.777777778
26	0.246753247	0.666666667	0.666666667
27	0.246753247	0.666666667	0.666666667
28	0.246753247	0.555555556	0.555555556
29	0.246753247	0.666666667	0.666666667
30	0.246753247	0.555555556	0.555555556
31	0.007872963	0.555555556	0.555555556
32	0.000158128	0.555555556	0.444444444
33	0.246753247	0.888888889	0.888888889
34	0.246753247	0.777777778	0.777777778
35	0.246753247	0.777777778	0.777777778
36	0.246753247	0.666666667	0.666666667
37	0.246753247	0.777777778	0.777777778
38	0.246753247	0.666666667	0.666666667
39	0.246753247	0.666666667	0.666666667
40	0.246753247	0.555555556	0.555555556
41	0.246753247	0.777777778	0.777777778
42	0.246753247	0.666666667	0.666666667
43	0.246753247	0.666666667	0.666666667
44	0.246753247	0.555555556	0.555555556
45	0.246753247	0.666666667	0.666666667
46	0.246753247	0.555555556	0.555555556
47	0.007872963	0.555555556	0.555555556
48	0.000158128	0.555555556	0.444444444
49	0.246753247	0.777777778	0.777777778
50	0.246753247	0.666666667	0.666666667
51	0.246753247	0.666666667	0.666666667
52	0.246753247	0.555555556	0.555555556
53	0.246753247	0.666666667	0.666666667
54	0.246753247	0.555555556	0.555555556
55	0.007872963	0.555555556	0.555555556
56	0.000158128	0.555555556	0.444444444
57	0.019765434	0.666666667	0.666666667
58	0.019765434	0.555555556	0.555555556
59	0.004612561	0.555555556	0.555555556
60	0.000158128	0.555555556	0.444444444
61	0.000632542	0.666666667	0.555555556
62	0.000316263	0.555555556	0.444444444
63	0.000251196	0.666666667	0.444444444
64	0.000158128	0.666666667	0.333333333
65	0.246753247	0.888888889	0.888888889
66	0.246753247	0.777777778	0.777777778
67	0.246753247	0.777777778	0.777777778
68	0.246753247	0.666666667	0.666666667
69	0.246753247	0.777777778	0.777777778
70	0.246753247	0.666666667	0.666666667
71	0.246753247	0.666666667	0.666666667
72	0.246753247	0.555555556	0.555555556
73	0.246753247	0.777777778	0.777777778
74	0.246753247	0.666666667	0.666666667
75	0.246753247	0.666666667	0.666666667
76	0.246753247	0.555555556	0.555555556
77	0.246753247	0.666666667	0.666666667
78	0.246753247	0.555555556	0.555555556
79	0.007872963	0.555555556	0.555555556
80	0.000158128	0.555555556	0.444444444
81	0.246753247	0.777777778	0.777777778
82	0.246753247	0.666666667	0.666666667
83	0.246753247	0.666666667	0.666666667
84	0.246753247	0.555555556	0.555555556
85	0.246753247	0.666666667	0.666666667
86	0.246753247	0.555555556	0.555555556
87	0.007872963	0.555555556	0.555555556
88	0.000158128	0.555555556	0.444444444
89	0.019765434	0.666666667	0.666666667
90	0.019765434	0.555555556	0.555555556
91	0.004612561	0.555555556	0.555555556
92	0.000158128	0.555555556	0.444444444
93	0.000632542	0.666666667	0.555555556
94	0.000316263	0.555555556	0.444444444
95	0.000251196	0.666666667	0.444444444
96	0.000158128	0.666666667	0.333333333
97	0.048933665	0.777777778	0.777777778
98	0.048933665	0.666666667	0.666666667
99	0.048933665	0.666666667	0.666666667
100	0.048933665	0.555555556	0.555555556
101	0.048933665	0.666666667	0.666666667
102	0.048933665	0.555555556	0.555555556
103	0.008441307	0.555555556	0.555555556
104	0.000158128	0.555555556	0.444444444
105	0.015592716	0.666666667	0.666666667
106	0.015592716	0.555555556	0.555555556
107	0.005555136	0.555555556	0.555555556
108	0.000158128	0.555555556	0.444444444
109	0.000632542	0.666666667	0.555555556
110	0.000316263	0.555555556	0.444444444
111	0.000251196	0.666666667	0.444444444
112	0.000158128	0.666666667	0.333333333
113	0.003859499	0.777777778	0.666666667
114	0.003859499	0.666666667	0.555555556
115	0.003859499	0.666666667	0.555555556
116	0.000781213	0.555555556	0.444444444
117	0.001562464	0.666666667	0.555555556
118	0.000728131	0.555555556	0.444444444
119	0.000251196	0.666666667	0.444444444
120	0.000158128	0.666666667	0.333333333
121	0.001583251	0.777777778	0.555555556
122	0.001583251	0.666666667	0.444444444
123	0.00063064	0.666666667	0.444444444
124	0.000158128	0.666666667	0.333333333
125	0.000632542	0.777777778	0.444444444
126	0.000316263	0.666666667	0.333333333
127	0.000251196	0.777777778	0.333333333
128	0.000158128	0.777777778	0.222222222
129	0.126767535	0.888888889	0.888888889
130	0.126767535	0.777777778	0.777777778
131	0.126767535	0.777777778	0.777777778
132	0.126767535	0.666666667	0.666666667
133	0.126767535	0.777777778	0.777777778
134	0.126767535	0.666666667	0.666666667
135	0.126767535	0.666666667	0.666666667
136	0.126767535	0.555555556	0.555555556
137	0.126767535	0.777777778	0.777777778
138	0.126767535	0.666666667	0.666666667
139	0.126767535	0.666666667	0.666666667
140	0.126767535	0.555555556	0.555555556
141	0.126767535	0.666666667	0.666666667
142	0.126767535	0.555555556	0.555555556
143	0.015922449	0.555555556	0.555555556
144	0.000158128	0.555555556	0.444444444
145	0.126767535	0.777777778	0.777777778
146	0.126767535	0.666666667	0.666666667
147	0.126767535	0.666666667	0.666666667
148	0.126767535	0.555555556	0.555555556
149	0.126767535	0.666666667	0.666666667
150	0.126767535	0.555555556	0.555555556
151	0.015922449	0.555555556	0.555555556
152	0.000158128	0.555555556	0.444444444
153	0.029411825	0.666666667	0.666666667
154	0.029411825	0.555555556	0.555555556
155	0.008941181	0.555555556	0.555555556
156	0.000158128	0.555555556	0.444444444
157	0.000632542	0.666666667	0.555555556
158	0.000316263	0.555555556	0.444444444
159	0.000251196	0.666666667	0.444444444
160	0.000158128	0.666666667	0.333333333
161	0.053825685	0.777777778	0.777777778
162	0.053825685	0.666666667	0.666666667
163	0.053825685	0.666666667	0.666666667
164	0.053825685	0.555555556	0.555555556
165	0.053825685	0.666666667	0.666666667
166	0.053825685	0.555555556	0.555555556
167	0.014068428	0.555555556	0.555555556
168	0.000158128	0.555555556	0.444444444
169	0.022291004	0.666666667	0.666666667
170	0.022291004	0.555555556	0.555555556
