id,batch,cb,sell_RT_median,sell_RT_mean,tasktime_block1,tasktime_block2
s1029,1,A,3.2975,3.4703488372093036,425.0420000000001,470.972
s1039,1,D,0.6924999999999999,2.31521568627451,417.547,545.289
s1147,2,C,3.5725,7.090985714285711,263.225,382.046
s1196,2,B,2.86,7.0833239436619735,312.408,370.53999999999996
