bkIdx,trialIdx,keypressIdx,timestamp,blocktime
1,1,1,199,0.812
1,1,2,370,0.983
1,1,3,512,1.125
1,1,4,681,1.294
1,1,5,843,1.456
1,1,6,1001,1.6139999999999999
1,1,7,1168,1.781
1,1,8,1320,1.933
1,1,9,1473,2.0860000000000003
1,1,10,1642,2.255
1,1,11,1793,2.4059999999999997
1,1,12,1966,2.5789999999999997
1,1,13,2117,2.73
1,1,14,2275,2.888
1,1,15,2440,3.053
1,1,16,2593,3.206
1,1,17,2768,3.381
1,1,18,2929,3.542
1,1,19,3099,3.712
1,1,20,3263,3.876
1,1,21,3424,4.037
1,1,22,3592,4.205
1,1,23,3752,4.365
1,1,24,3920,4.5329999999999995
1,1,25,4078,4.691000000000001
1,1,26,4244,4.856999999999999
1,1,27,4411,5.023999999999999
1,1,28,4577,5.1899999999999995
1,1,29,4740,5.353
1,1,30,4918,5.531000000000001
1,1,31,5093,5.7059999999999995
1,1,32,5263,5.8759999999999994
1,1,33,5432,6.045
1,1,34,5597,6.210000000000001
1,1,35,5772,6.385
1,1,36,5938,6.551
1,1,37,6104,6.7170000000000005
1,1,38,6267,6.880000000000001
1,1,39,6447,7.0600000000000005
1,1,40,6619,7.231999999999999
1,2,1,171,9.683
1,2,2,331,9.843
1,2,3,493,10.005
1,2,4,643,10.155000000000001
1,2,5,802,10.314
1,2,6,973,10.485000000000001
1,2,7,1121,10.633000000000001
1,2,8,1290,10.802
1,2,9,1457,10.969000000000001
1,2,10,1614,11.126000000000001
1,2,11,1777,11.289
1,2,12,1946,11.458
1,2,13,2110,11.622
1,2,14,2270,11.782
1,2,15,2439,11.951
1,2,16,2607,12.119
1,2,17,2778,12.290000000000001
1,2,18,2955,12.467
1,2,19,3125,12.637
1,2,20,3291,12.803
1,2,21,3461,12.973
1,2,22,3635,13.147
1,2,23,3800,13.312000000000001
1,2,24,3974,13.486
1,2,25,4132,13.644
1,2,26,4300,13.812000000000001
1,3,1,170,16.753
1,3,2,339,16.921999999999997
1,3,3,490,17.072999999999997
1,3,4,658,17.241
1,3,5,799,17.381999999999998
1,3,6,979,17.561999999999998
1,3,7,1148,17.730999999999998
1,3,8,1307,17.889999999999997
1,4,1,161,20.578000000000003
1,4,2,341,20.758000000000003
1,4,3,502,20.919
1,4,4,672,21.089000000000002
1,4,5,839,21.256
1,4,6,996,21.413
1,4,7,1169,21.586000000000002
1,4,8,1335,21.752000000000002
1,4,9,1513,21.93
1,4,10,1651,22.068
1,4,11,1828,22.245
1,4,12,1989,22.406000000000002
1,4,13,2146,22.563000000000002
1,4,14,2310,22.727
1,4,15,2489,22.906000000000002
1,4,16,2659,23.076
1,4,17,2824,23.241
1,4,18,2994,23.411
1,4,19,3165,23.582
1,4,20,3335,23.752000000000002
1,4,21,3507,23.924000000000003
1,4,22,3684,24.101000000000003
1,4,23,3859,24.276000000000003
1,4,24,4027,24.444000000000003
1,4,25,4189,24.606
1,4,26,4349,24.766000000000002
1,4,27,4528,24.945
1,4,28,4686,25.103
1,4,29,4866,25.283
1,4,30,5046,25.463
1,4,31,5221,25.638
1,4,32,5399,25.816000000000003
1,4,33,5572,25.989
1,4,34,5737,26.154000000000003
1,4,35,5920,26.337000000000003
1,4,36,6100,26.517000000000003
1,4,37,6270,26.687
1,4,38,6458,26.875
1,4,39,6632,27.049
1,4,40,6822,27.239
1,4,41,6977,27.394000000000002
1,4,42,7155,27.572000000000003
1,4,43,7328,27.745
1,5,1,176,30.223
1,5,2,366,30.413
1,5,3,537,30.584
1,5,4,713,30.76
1,5,5,883,30.93
1,5,6,1054,31.101
1,5,7,1207,31.254
1,5,8,1369,31.416
1,5,9,1554,31.601
1,5,10,1719,31.766000000000002
1,5,11,1885,31.932000000000002
1,5,12,2060,32.107
1,5,13,2241,32.288000000000004
1,5,14,2404,32.451
1,5,15,2571,32.618
1,5,16,2755,32.802
1,5,17,2914,32.961
1,5,18,3084,33.131
1,5,19,3257,33.304
1,5,20,3435,33.482
1,5,21,3609,33.656
1,5,22,3762,33.809
1,5,23,3936,33.983000000000004
1,5,24,4120,34.167
1,5,25,4288,34.335
1,5,26,4456,34.503
1,5,27,4629,34.676
1,5,28,4806,34.853
1,5,29,4976,35.023
1,5,30,5148,35.195
1,5,31,5330,35.377
1,5,32,5504,35.551
1,5,33,5690,35.737
1,5,34,5869,35.916
1,5,35,6039,36.086
1,5,36,6217,36.264
1,5,37,6402,36.449
1,5,38,6578,36.625
1,5,39,6744,36.791
1,5,40,6917,36.964
1,5,41,7096,37.143
1,5,42,7271,37.318
1,5,43,7458,37.505
1,5,44,7630,37.677
1,5,45,7811,37.858000000000004
1,6,1,248,40.608
1,6,2,412,40.772
1,6,3,593,40.953
1,6,4,752,41.112
1,6,5,931,41.291
1,6,6,1108,41.467999999999996
1,6,7,1258,41.618
1,6,8,1431,41.791
1,6,9,1596,41.956
1,6,10,1767,42.127
1,6,11,1951,42.311
1,6,12,2125,42.485
1,6,13,2292,42.652
1,6,14,2474,42.834
1,6,15,2644,43.004
