bkIdx,trialIdx,keypressIdx,timestamp,blocktime
1,1,1,111,1.108
1,1,2,238,1.2349999999999999
1,1,3,389,1.3860000000000001
1,1,4,510,1.5070000000000001
1,1,5,623,1.62
1,1,6,766,1.763
1,1,7,863,1.8599999999999999
1,1,8,991,1.988
1,1,9,1103,2.1
1,1,10,1231,2.228
1,1,11,1364,2.361
1,1,12,1470,2.467
1,1,13,1599,2.596
1,1,14,1727,2.724
1,1,15,1857,2.854
1,1,16,1983,2.98
1,1,17,2095,3.092
1,1,18,2224,3.221
1,1,19,2351,3.348
1,1,20,2479,3.476
1,1,21,2590,3.5869999999999997
1,1,22,2719,3.7159999999999997
1,1,23,2831,3.828
1,1,24,2959,3.956
1,1,25,3071,4.0680000000000005
1,1,26,3215,4.212
1,1,27,3345,4.3420000000000005
1,1,28,3471,4.468
1,1,29,3599,4.596
1,1,30,3726,4.723
1,1,31,3854,4.851
1,1,32,3983,4.98
1,1,33,4111,5.108
1,1,34,4255,5.252
1,1,35,4398,5.395
1,1,36,4526,5.523
1,1,37,4655,5.652
1,1,38,4783,5.78
1,1,39,4911,5.9079999999999995
1,1,40,5039,6.036
1,1,41,5168,6.165
1,1,42,5279,6.276
1,1,43,5407,6.404
1,1,44,5502,6.499
1,1,45,5631,6.628
1,1,46,5743,6.74
1,1,47,6047,7.044
1,1,48,6208,7.205
1,1,49,6335,7.332
1,1,50,6495,7.492
1,2,1,129,9.636
1,2,2,241,9.748
1,2,3,369,9.876
1,2,4,497,10.004
1,2,5,625,10.132
1,2,6,753,10.26
1,2,7,898,10.405
1,2,8,1009,10.516
1,2,9,1153,10.66
1,2,10,1265,10.772
1,2,11,1393,10.9
1,2,12,1537,11.044
1,2,13,1649,11.155999999999999
1,2,14,1762,11.269
1,2,15,1905,11.411999999999999
1,2,16,2033,11.54
1,2,17,2177,11.684
1,2,18,2307,11.814
1,2,19,2400,11.907
1,2,20,2545,12.052
1,2,21,2752,12.259
1,2,22,2880,12.387
1,2,23,3024,12.530999999999999
1,2,24,3152,12.658999999999999
1,2,25,3264,12.770999999999999
1,2,26,3392,12.899
1,2,27,3537,13.044
1,2,28,3681,13.187999999999999
1,2,29,3825,13.332
1,2,30,3954,13.461
1,2,31,4097,13.604
1,2,32,4241,13.748
1,2,33,4369,13.876
1,3,1,113,16.472
1,3,2,241,16.6
1,3,3,369,16.728
1,3,4,480,16.839000000000002
1,3,5,592,16.951
1,3,6,737,17.096
1,3,7,849,17.208000000000002
1,3,8,962,17.321
1,3,9,1105,17.464000000000002
1,3,10,1217,17.576
1,4,1,128,20.296
1,4,2,255,20.423
1,4,3,416,20.584
1,4,4,560,20.727999999999998
1,4,5,704,20.872
1,4,6,832,21.0
1,4,7,976,21.144
1,4,8,1120,21.288
1,4,9,1264,21.432
1,4,10,1408,21.576
1,4,11,1552,21.72
1,4,12,1696,21.864
1,4,13,1840,22.008
1,4,14,1968,22.136
1,4,15,2096,22.264
1,4,16,2240,22.408
1,4,17,2351,22.519
1,4,18,2480,22.648
1,4,19,2624,22.791999999999998
1,4,20,2784,22.951999999999998
1,4,21,2912,23.08
1,4,22,3024,23.192
1,4,23,3168,23.336
1,4,24,3295,23.463
1,4,25,3424,23.592
1,4,26,3520,23.688
1,5,1,160,25.864
1,5,2,288,25.992
1,5,3,416,26.12
1,5,4,572,26.276
1,5,5,687,26.391000000000002
1,5,6,831,26.535
1,5,7,959,26.663
1,5,8,1104,26.808
1,5,9,1269,26.973
1,5,10,1408,27.112000000000002
1,5,11,1536,27.240000000000002
1,5,12,1697,27.401
1,5,13,1840,27.544
1,5,14,2001,27.705000000000002
1,5,15,2144,27.848
1,5,16,2304,28.008
1,5,17,2448,28.152
