trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
28.0,HP,7.5,301.248,0.814,8.373,2.0,126.0,302.062,293.689,284.58
29.0,HP,6.0,309.728,0.75,6.862,2.0,128.0,310.478,303.616,303.564
30.0,HP,4.5,316.632,0.814,5.43,2.0,130.0,317.446,312.016,311.98
31.0,HP,9.0,328.209,0.82,9.997,2.0,132.0,329.029,319.032,318.946
32.0,HP,7.5,338.361,0.828,8.477,2.0,134.0,339.189,330.712,330.53
33.0,HP,3.0,343.825,0.773,3.886,2.0,136.0,344.598,340.712,340.691
34.0,HP,3.0,349.288,0.798,3.894,2.0,138.0,350.086,346.192,346.1
35.0,HP,9.0,360.65,0.677,9.702,2.0,140.0,361.327,351.625,351.587
36.0,HP,9.0,371.882,0.812,9.837,2.0,142.0,372.694,362.857,362.827
37.0,HP,3.0,377.425,0.869,4.021,2.0,144.0,378.294,374.273,374.195
38.0,HP,10.5,390.522,0.813,11.47,2.0,146.0,391.335,379.865,379.796
39.0,HP,9.0,402.057,0.75,9.854,2.0,148.0,402.807,392.953,392.836
40.0,HP,4.5,408.866,0.852,5.397,2.0,150.0,409.718,404.321,404.309
41.0,HP,10.5,421.97,0.805,11.413,2.0,152.0,422.775,411.362,411.219
42.0,HP,1.5,426.234,0.902,2.854,2.0,154.0,427.136,424.282,424.276
43.0,HP,9.0,437.714,0.845,9.901,2.0,156.0,438.559,428.658,428.638
44.0,HP,6.0,446.194,0.686,6.718,2.0,158.0,446.88,440.162,440.06
45.0,HP,1.5,450.042,1.333,2.941,2.0,160.0,451.375,448.434,448.38
46.0,HP,1.5,454.666,0.982,2.646,2.0,162.0,455.648,453.002,452.877
47.0,HP,12.0,469.282,0.83,12.838,2.0,164.0,470.112,457.274,457.15
48.0,HP,1.5,473.218,1.005,2.565,2.0,166.0,474.223,471.658,471.614
49.0,HP,3.0,,,2.909,0.0,166.0,478.695,475.786,475.724
50.0,HP,1.5,482.89,0.822,2.365,2.0,168.0,483.712,481.347,480.197
51.0,HP,7.5,492.851,0.829,8.358,2.0,170.0,493.68,485.322,485.214
52.0,HP,4.5,499.914,1.071,5.751,2.0,172.0,500.985,495.234,495.182
53.0,HP,7.5,510.299,0.82,8.436,2.0,174.0,511.119,502.683,502.487
54.0,HP,10.5,,,7.614,0.0,174.0,520.328,512.714,512.621
55.0,HP,4.5,,,2.516,0.0,174.0,524.823,522.307,521.83
56.0,HP,1.5,530.003,0.964,2.565,2.0,176.0,530.967,528.402,526.324
57.0,HP,10.5,547.554,0.813,11.42,2.0,178.0,548.367,536.947,532.469
58.0,HP,6.0,,,3.869,0.0,178.0,553.832,549.963,549.869
