bkIdx,trialIdx,keypressIdx,timestamp,blocktime
1,1,1,196,0.8140000000000001
1,1,2,343,0.9610000000000001
1,1,3,609,1.2269999999999999
1,1,4,750,1.3679999999999999
1,1,5,900,1.518
1,1,6,1150,1.7679999999999998
1,1,7,1327,1.9449999999999998
1,1,8,1465,2.083
1,1,9,1635,2.253
1,1,10,1790,2.408
1,1,11,1959,2.577
1,1,12,2112,2.73
1,1,13,2258,2.876
1,1,14,2589,3.207
1,1,15,2727,3.3449999999999998
1,1,16,2895,3.513
1,1,17,3067,3.685
1,1,18,3229,3.847
1,1,19,3381,3.9989999999999997
1,1,20,3535,4.1530000000000005
1,1,21,3708,4.3260000000000005
1,1,22,3898,4.516
1,1,23,4061,4.679
1,1,24,4220,4.838
1,1,25,4381,4.9990000000000006
1,1,26,4543,5.1610000000000005
1,1,27,4704,5.322
1,1,28,4845,5.463
1,1,29,5109,5.727
1,1,30,5241,5.859
1,1,31,5391,6.009
1,1,32,5562,6.180000000000001
1,1,33,5713,6.331
1,1,34,5883,6.501
1,1,35,6046,6.664000000000001
1,1,36,6202,6.82
1,1,37,6367,6.985
1,1,38,6512,7.13
1,1,39,6662,7.28
1,1,40,6829,7.447
1,1,41,6988,7.606000000000001
1,1,42,7145,7.763
1,1,43,7303,7.921
1,1,44,7460,8.078
1,1,45,7626,8.244
1,1,46,7780,8.398
1,1,47,7941,8.559
1,1,48,8097,8.715
1,1,49,8265,8.883000000000001
1,1,50,8390,9.008000000000001
1,1,51,8566,9.184000000000001
1,1,52,8702,9.32
1,1,53,8857,9.475
1,1,54,9024,9.642
1,1,55,9137,9.755
1,1,56,9282,9.9
1,1,57,9417,10.035
1,2,1,149,12.622
1,2,2,301,12.774000000000001
1,2,3,470,12.943000000000001
1,2,4,629,13.102
1,2,5,773,13.246
1,2,6,937,13.41
1,2,7,1191,13.664000000000001
1,2,8,1357,13.83
1,2,9,1494,13.967
1,2,10,1643,14.116000000000001
1,2,11,1895,14.368
1,2,12,2063,14.536000000000001
1,2,13,2225,14.698
1,2,14,2373,14.846
1,2,15,2498,14.971
1,2,16,2661,15.134
1,2,17,2800,15.273
1,2,18,2957,15.43
1,2,19,3092,15.565000000000001
1,2,20,3242,15.715
1,2,21,3388,15.861
1,2,22,3544,16.017
1,2,23,3688,16.161
1,2,24,3996,16.469
1,2,25,4161,16.634
1,2,26,4321,16.794
1,3,1,163,19.87
1,3,2,333,20.04
1,3,3,496,20.203
1,3,4,660,20.367
1,3,5,796,20.503
1,3,6,920,20.627000000000002
1,3,7,1056,20.763
1,3,8,1200,20.907
1,3,9,1336,21.043
1,4,1,170,24.576
1,4,2,323,24.729
1,4,3,490,24.895999999999997
1,4,4,646,25.052
1,4,5,795,25.201
1,4,6,962,25.368
1,4,7,1220,25.625999999999998
1,4,8,1490,25.895999999999997
1,4,9,1650,26.055999999999997
