bkIdx,trialIdx,keypressIdx,timestamp,blocktime
1,1,1,168,1.148
1,1,2,329,1.309
1,1,3,485,1.4649999999999999
1,1,4,636,1.616
1,1,5,787,1.767
1,1,6,934,1.9140000000000001
1,1,7,1085,2.065
1,1,8,1240,2.2199999999999998
1,1,9,1388,2.368
1,1,10,1544,2.524
1,1,11,1682,2.662
1,1,12,1811,2.791
1,2,1,142,5.002000000000001
1,2,2,293,5.1530000000000005
1,2,3,452,5.312
1,2,4,597,5.457000000000001
1,2,5,747,5.607
1,2,6,902,5.7620000000000005
1,2,7,1048,5.908
1,2,8,1201,6.061
1,2,9,1353,6.213
1,2,10,1496,6.356
1,2,11,1656,6.516
1,2,12,1791,6.651
1,3,1,158,8.875
1,3,2,310,9.027000000000001
1,3,3,469,9.186
1,3,4,618,9.335
1,3,5,772,9.489
1,3,6,923,9.64
1,3,7,1073,9.790000000000001
1,3,8,1241,9.958
1,4,1,154,12.812
1,4,2,326,12.984
1,4,3,481,13.139
1,4,4,631,13.289
1,4,5,789,13.447
1,4,6,950,13.607999999999999
1,4,7,1106,13.764
1,4,8,1265,13.923
1,4,9,1419,14.077
1,4,10,1593,14.251
1,4,11,1725,14.383
1,4,12,1895,14.552999999999999
1,4,13,2054,14.712
1,4,14,2215,14.873
1,4,15,2380,15.038
1,4,16,2544,15.202
1,4,17,2704,15.362
1,4,18,2870,15.527999999999999
1,4,19,3031,15.689
1,5,1,155,18.03
1,5,2,320,18.195
1,5,3,494,18.369
1,5,4,653,18.528
1,5,5,811,18.686
1,5,6,988,18.863
1,5,7,1148,19.023
1,5,8,1311,19.186
1,5,9,1475,19.35
1,5,10,1637,19.512
1,5,11,1797,19.672
1,5,12,1959,19.834
1,5,13,2112,19.987000000000002
1,5,14,2281,20.156
1,5,15,2439,20.314
1,5,16,2606,20.481
1,5,17,2766,20.641
1,5,18,2916,20.791
1,5,19,3070,20.945
1,6,1,172,23.417
1,6,2,314,23.559
1,7,1,166,27.046
1,7,2,322,27.201999999999998
1,7,3,480,27.36
1,7,4,639,27.519
1,7,5,809,27.689
1,7,6,961,27.840999999999998
1,7,7,1121,28.000999999999998
1,7,8,1280,28.16
1,7,9,1439,28.319
1,7,10,1584,28.464
1,7,11,1737,28.616999999999997
1,7,12,1889,28.769
1,7,13,2021,28.901
1,8,1,147,31.270999999999997
1,8,2,318,31.442
1,8,3,485,31.608999999999998
1,8,4,641,31.765
1,8,5,811,31.935
1,8,6,980,32.104
1,8,7,1136,32.26
1,8,8,1296,32.42
1,8,9,1459,32.583
1,8,10,1609,32.733
1,8,11,1777,32.900999999999996
1,8,12,1937,33.061
1,8,13,2083,33.207
1,8,14,2243,33.367
1,8,15,2407,33.531
1,8,16,2540,33.664
1,9,1,154,36.012
1,9,2,329,36.187
1,10,1,135,38.919999999999995
1,10,2,296,39.080999999999996
1,10,3,448,39.233
1,10,4,617,39.401999999999994
1,10,5,782,39.56699999999999
1,10,6,945,39.73
1,10,7,1101,39.885999999999996
1,10,8,1271,40.056
1,10,9,1430,40.214999999999996
1,10,10,1595,40.379999999999995
1,10,11,1747,40.532
1,10,12,1912,40.696999999999996
1,10,13,2079,40.864
1,10,14,2249,41.034
1,10,15,2406,41.190999999999995
1,10,16,2546,41.330999999999996
1,11,1,151,43.711000000000006
1,11,2,320,43.88
1,11,3,482,44.042
1,11,4,645,44.205000000000005
1,11,5,800,44.36
1,11,6,965,44.525000000000006
1,11,7,1118,44.678000000000004
1,11,8,1287,44.847
1,12,1,156,47.262
1,12,2,312,47.418
1,13,1,139,50.123000000000005
1,13,2,299,50.283
1,13,3,469,50.453
1,13,4,630,50.614000000000004
1,13,5,790,50.774
1,13,6,953,50.937000000000005
1,13,7,1115,51.099000000000004
