trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
1.0,LP,23.999,,,1.198,0.0,0.0,2.859,1.661,0.001
2.0,LP,4.253,,,2.596,0.0,0.0,7.599,5.003,4.369
3.0,LP,1.203,10.963,0.688,2.08,2.0,2.0,11.651,9.571,9.115
4.0,LP,23.999,,,7.591,0.0,2.0,20.899,13.308,13.153
5.0,LP,7.65,30.322,0.729,8.533,2.0,4.0,31.051,22.518,22.4
6.0,LP,4.253,36.867,0.853,5.167,2.0,6.0,37.72,32.553,32.553
7.0,LP,0.569,40.269,0.873,1.458,2.0,8.0,41.142,39.684,39.222
8.0,LP,0.569,43.528,0.881,1.603,2.0,10.0,44.409,42.806,42.644
9.0,LP,23.999,,,13.053,0.0,10.0,59.109,46.056,45.911
10.0,LP,23.999,,,9.896,0.0,10.0,70.885,60.989,60.611
11.0,LP,13.596,,,11.345,0.0,10.0,84.168,72.823,72.399
12.0,LP,2.312,88.572,0.744,3.256,2.0,12.0,89.316,86.06,85.683
13.0,LP,7.65,98.567,0.714,8.371,2.0,14.0,99.281,90.91,90.817
14.0,LP,1.203,102.363,0.729,1.934,2.0,16.0,103.092,101.158,100.789
15.0,LP,4.253,109.633,0.716,4.976,2.0,18.0,110.349,105.373,104.604
16.0,LP,13.596,,,9.34,0.0,18.0,121.819,112.479,111.865
17.0,LP,1.203,124.621,0.947,2.212,2.0,20.0,125.568,123.356,123.322
18.0,LP,7.65,134.927,0.682,8.468,2.0,22.0,135.609,127.141,127.071
19.0,LP,7.65,144.957,0.702,8.499,2.0,24.0,145.659,137.16,137.111
20.0,LP,13.596,,,12.651,0.0,24.0,159.951,147.3,147.169
21.0,LP,4.253,166.817,0.751,5.247,2.0,26.0,167.568,162.321,161.453
22.0,LP,23.999,,,15.671,0.0,26.0,185.428,169.757,169.084
23.0,LP,0.206,191.083,1.108,1.317,2.0,28.0,192.191,190.874,186.929
24.0,LP,23.999,,,2.688,0.0,28.0,197.168,194.48,193.693
25.0,LP,1.203,200.538,0.876,2.204,2.0,30.0,201.414,199.21,198.684
26.0,LP,1.203,204.58,0.904,2.18,2.0,32.0,205.484,203.304,202.916
27.0,LP,2.312,210.056,0.923,3.258,2.0,34.0,210.979,207.721,206.999
28.0,LP,0.206,213.274,1.658,1.929,2.0,36.0,214.932,213.003,212.481
29.0,LP,2.312,219.7,0.725,3.097,2.0,38.0,220.425,217.328,216.434
30.0,LP,13.596,,,12.842,0.0,38.0,235.169,222.327,221.928
31.0,LP,23.999,,,15.214,0.0,38.0,252.007,236.793,236.671
32.0,LP,2.312,256.455,0.974,3.477,2.0,40.0,257.429,253.952,253.509
33.0,LP,4.253,263.336,2.978,7.32,2.0,42.0,266.314,258.994,258.932
34.0,LP,0.206,268.593,0.745,1.005,2.0,44.0,269.338,268.333,267.817
35.0,LP,4.253,275.195,0.71,5.051,2.0,46.0,275.905,270.854,270.841
36.0,LP,7.65,285.682,0.713,8.548,2.0,48.0,286.395,277.847,277.408
37.0,LP,0.206,288.314,0.863,1.215,2.0,50.0,289.177,287.962,287.91
38.0,LP,13.596,,,10.165,0.0,50.0,301.318,291.153,290.69
39.0,LP,13.596,,,9.022,0.0,50.0,311.931,302.909,302.822
40.0,LP,0.206,313.757,0.912,1.129,2.0,52.0,314.669,313.54,313.435
41.0,LP,7.65,,,6.082,0.0,52.0,322.683,316.601,316.172
42.0,LP,2.312,327.499,0.704,3.163,2.0,54.0,328.203,325.04,324.185
43.0,LP,0.569,330.761,0.903,1.546,2.0,56.0,331.664,330.118,329.705
44.0,LP,0.206,333.807,1.184,1.468,2.0,58.0,334.991,333.523,333.166
45.0,LP,1.203,338.142,0.501,1.949,2.0,60.0,338.643,336.694,336.507
46.0,LP,13.596,,,5.227,0.0,60.0,346.016,340.789,340.151
47.0,LP,7.65,355.982,0.727,8.421,2.0,62.0,356.709,348.288,347.517
48.0,LP,23.999,,,9.3,0.0,62.0,367.946,358.646,358.211
49.0,LP,0.569,370.935,0.712,1.405,2.0,64.0,371.647,370.242,369.447
50.0,LP,1.203,375.13,0.711,1.989,2.0,66.0,375.841,373.852,373.148
51.0,LP,0.569,378.564,0.708,1.35,2.0,68.0,379.272,377.922,377.354
52.0,LP,7.65,,,4.884,0.0,68.0,386.078,381.194,380.775
53.0,LP,0.569,388.47,0.72,1.332,2.0,70.0,389.19,387.858,387.581
54.0,LP,2.312,393.559,0.704,3.144,2.0,72.0,394.263,391.119,390.699
55.0,LP,23.999,,,7.967,0.0,72.0,403.982,396.015,395.774
56.0,LP,4.253,412.961,0.707,5.082,2.0,74.0,413.668,408.586,405.484
57.0,LP,2.312,417.667,0.7,3.063,2.0,76.0,418.367,415.304,415.184
58.0,LP,1.203,421.386,0.911,2.195,2.0,78.0,422.297,420.102,419.871
59.0,LP,0.206,424.48,0.956,1.176,2.0,80.0,425.436,424.26,423.799
60.0,LP,0.206,427.599,1.119,1.351,2.0,82.0,428.718,427.367,426.938
61.0,LP,0.569,431.29,0.719,1.351,2.0,84.0,432.009,430.658,430.219
62.0,LP,13.596,,,10.228,0.0,84.0,444.162,433.934,433.511
63.0,LP,0.569,446.643,0.726,1.37,2.0,86.0,447.369,445.999,445.664
64.0,LP,4.253,453.672,0.725,5.12,2.0,88.0,454.397,449.277,448.871
65.0,LP,4.253,460.902,0.713,4.975,2.0,90.0,461.615,456.64,455.91
66.0,LP,0.569,464.133,0.731,1.419,2.0,92.0,464.864,463.445,463.117
67.0,LP,0.206,467.019,0.952,1.172,2.0,94.0,467.971,466.799,466.366
68.0,LP,4.253,474.338,0.894,5.226,2.0,96.0,475.232,470.006,469.473
69.0,LP,23.999,,,15.392,0.0,96.0,492.597,477.205,476.734
70.0,LP,23.999,,,10.328,0.0,96.0,505.108,494.78,494.11
71.0,LP,0.206,507.35,0.745,0.975,2.0,98.0,508.095,507.12,506.611
72.0,LP,13.596,,,13.656,0.0,98.0,523.813,510.157,509.597
73.0,LP,0.206,526.021,0.98,1.203,2.0,100.0,527.001,525.798,525.316
74.0,LP,7.65,,,6.838,0.0,100.0,535.43,528.592,528.518
75.0,LP,7.65,545.027,0.736,8.533,2.0,102.0,545.763,537.23,536.932
76.0,LP,0.206,548.061,0.745,0.968,2.0,104.0,548.806,547.838,547.266
77.0,LP,1.203,552.163,0.711,2.108,2.0,106.0,552.874,550.766,550.317
78.0,LP,1.203,556.325,0.752,2.188,2.0,108.0,557.077,554.889,554.377
79.0,LP,4.253,563.946,0.739,5.03,2.0,110.0,564.685,559.655,558.58
80.0,LP,1.203,567.768,1.632,3.01,2.0,112.0,569.4,566.39,566.197
81.0,LP,0.206,571.228,0.984,1.275,2.0,114.0,572.212,570.937,570.915
82.0,LP,0.206,574.044,0.792,1.014,2.0,116.0,574.836,573.822,573.715
83.0,LP,2.312,578.78,0.513,2.878,2.0,118.0,579.293,576.415,576.347
84.0,LP,2.312,,,0.5,0.0,118.0,581.332,580.832,580.807
85.0,LP,0.569,584.07,0.714,1.351,2.0,120.0,584.784,583.433,582.835
86.0,LP,1.203,587.738,0.721,2.049,2.0,122.0,588.459,586.41,586.287
87.0,LP,0.569,590.766,0.733,1.406,2.0,124.0,591.499,590.093,589.962
88.0,LP,4.253,598.166,0.727,5.191,2.0,126.0,598.893,593.702,593.002
1.0,HP,9.0,,,9.083,0.0,126.0,10.664,1.581,0.002
2.0,HP,10.5,,,0.509,0.0,126.0,12.752,12.243,12.166
3.0,HP,3.0,,,1.108,0.0,126.0,15.475,14.367,14.255
4.0,HP,4.5,22.5,0.902,5.426,2.0,128.0,23.402,17.976,16.978
5.0,HP,3.0,28.583,1.074,4.26,2.0,130.0,29.657,25.397,24.907
6.0,HP,12.0,43.701,0.722,12.824,2.0,132.0,44.423,31.599,31.167
7.0,HP,10.5,58.413,0.728,11.438,2.0,134.0,59.141,47.703,45.926
8.0,HP,10.5,,,5.618,0.0,134.0,66.898,61.28,60.642
9.0,HP,12.0,81.039,0.731,12.897,2.0,136.0,81.77,68.873,68.4
10.0,HP,6.0,89.876,0.912,7.093,2.0,138.0,90.788,83.695,83.278
11.0,HP,12.0,110.829,0.739,12.85,2.0,140.0,111.568,98.718,92.297
12.0,HP,9.0,123.618,0.742,9.832,2.0,142.0,124.36,114.528,113.082
13.0,HP,1.5,127.797,1.159,2.687,2.0,144.0,128.956,126.269,125.864
14.0,HP,6.0,137.356,0.73,6.901,2.0,146.0,138.086,131.185,130.46
15.0,HP,6.0,146.051,0.702,6.743,2.0,148.0,146.753,140.01,139.591
16.0,HP,10.5,159.613,0.997,11.513,2.0,150.0,160.61,149.097,148.256
17.0,HP,7.5,171.017,0.734,8.45,2.0,152.0,171.751,163.301,162.114
18.0,HP,1.5,175.26,0.733,2.298,2.0,154.0,175.993,173.695,173.255
19.0,HP,4.5,182.313,0.724,5.353,2.0,156.0,183.037,177.684,177.502
20.0,HP,4.5,189.806,0.941,5.546,2.0,158.0,190.747,185.201,184.54
21.0,HP,6.0,198.791,0.742,6.863,2.0,160.0,199.533,192.67,192.254
22.0,HP,7.5,209.014,0.742,8.304,2.0,162.0,209.756,201.452,201.038
23.0,HP,7.5,219.364,1.661,9.177,2.0,164.0,221.025,211.848,211.262
24.0,HP,9.0,233.593,0.72,9.809,2.0,166.0,234.313,224.504,222.528
25.0,HP,12.0,,,12.177,0.0,166.0,248.382,236.205,235.816
26.0,HP,12.0,,,9.701,0.0,166.0,260.57,250.869,249.902
27.0,HP,3.0,267.238,0.718,3.878,2.0,168.0,267.956,264.078,262.075
28.0,HP,7.5,277.758,0.737,8.442,2.0,170.0,278.495,270.053,269.46
29.0,HP,6.0,287.395,0.723,6.801,2.0,172.0,288.118,281.317,280.003
30.0,HP,4.5,294.732,1.566,6.068,2.0,174.0,296.298,290.23,289.628
31.0,HP,9.0,308.042,0.728,9.806,2.0,176.0,308.77,298.964,297.808
32.0,HP,7.5,319.49,0.73,8.429,2.0,178.0,320.22,311.791,310.28
33.0,HP,3.0,325.334,0.934,4.034,2.0,180.0,326.268,322.234,321.727
34.0,HP,3.0,331.397,0.737,3.886,2.0,182.0,332.134,328.248,327.781
35.0,HP,9.0,343.976,0.732,9.934,2.0,184.0,344.708,334.774,333.641
36.0,HP,9.0,355.845,1.89,11.101,2.0,186.0,357.735,346.634,346.217
37.0,HP,3.0,363.045,0.731,3.882,2.0,188.0,363.776,359.894,359.238
