bkIdx,trialIdx,keypressIdx,timestamp,blocktime
1,1,1,151,3.279
1,1,2,304,3.432
1,1,3,466,3.5940000000000003
1,1,4,640,3.7680000000000002
1,1,5,803,3.931
1,1,6,921,4.049
1,1,7,1081,4.209
1,1,8,1242,4.37
1,1,9,1515,4.643
1,1,10,1722,4.85
1,1,11,1889,5.017
1,1,12,2060,5.188000000000001
1,1,13,2206,5.334
1,1,14,2379,5.507
1,1,15,2554,5.682
1,1,16,2735,5.8629999999999995
1,1,17,2908,6.036
1,1,18,3082,6.21
1,1,19,3263,6.391
1,1,20,3405,6.5329999999999995
1,1,21,3600,6.728
1,1,22,3764,6.8919999999999995
1,1,23,3939,7.067
1,1,24,4131,7.259
1,1,25,4315,7.4430000000000005
1,1,26,4486,7.614
1,1,27,4664,7.792
1,1,28,4844,7.972
1,1,29,5023,8.151
1,1,30,5197,8.325
1,1,31,5371,8.499
1,1,32,5545,8.673
1,1,33,5731,8.859
1,1,34,5902,9.030000000000001
1,1,35,6055,9.183
1,1,36,6218,9.346
1,1,37,6428,9.556000000000001
1,1,38,6563,9.690999999999999
1,1,39,6731,9.859
1,1,40,6897,10.025
1,1,41,7079,10.207
1,1,42,7233,10.361
1,1,43,7366,10.494
1,1,44,7488,10.616
1,1,45,7616,10.744
1,1,46,7750,10.878
1,1,47,7862,10.99
1,1,48,7989,11.117
1,1,49,8107,11.235
1,1,50,8223,11.351
1,1,51,8347,11.475
1,1,52,8477,11.605
1,1,53,8602,11.73
1,1,54,8738,11.866
1,1,55,8877,12.005
1,1,56,9218,12.346
1,2,1,175,14.619000000000002
1,2,2,341,14.785
1,2,3,471,14.915000000000001
1,2,4,649,15.093
1,2,5,804,15.248000000000001
1,2,6,1003,15.447000000000001
1,2,7,1195,15.639000000000001
1,2,8,1369,15.813
1,2,9,1546,15.99
1,2,10,1698,16.142
1,2,11,1857,16.301000000000002
1,2,12,2054,16.498
1,2,13,2237,16.681
1,2,14,2408,16.852
1,2,15,2566,17.01
1,2,16,2737,17.181
1,2,17,2884,17.328
1,2,18,3057,17.501
1,2,19,3239,17.683
1,2,20,3423,17.867
1,2,21,3633,18.077
1,2,22,3804,18.248
1,2,23,3963,18.407
1,2,24,4149,18.593
1,2,25,4345,18.789
1,3,1,165,21.116
1,3,2,327,21.278000000000002
1,3,3,509,21.46
1,3,4,700,21.651
1,3,5,869,21.82
1,3,6,1047,21.998
1,3,7,1207,22.158
1,4,1,254,25.39
1,4,2,447,25.583
1,4,3,622,25.758
1,4,4,822,25.958
1,4,5,1009,26.145
1,4,6,1186,26.322
1,4,7,1366,26.502
1,4,8,1593,26.729
1,4,9,1785,26.921
1,4,10,1960,27.096
1,4,11,2141,27.277
1,4,12,2303,27.439
1,4,13,2466,27.602
1,4,14,2628,27.764
1,4,15,2801,27.936999999999998
1,4,16,2997,28.133
1,4,17,3187,28.323
1,4,18,3367,28.503
1,4,19,3530,28.666
1,4,20,3708,28.844
1,4,21,3875,29.011
1,4,22,4035,29.171
1,4,23,4223,29.358999999999998
1,4,24,4405,29.541
1,4,25,4605,29.741
1,4,26,4801,29.936999999999998
1,4,27,4963,30.099
1,4,28,5140,30.276
1,4,29,5245,30.381
1,4,30,5407,30.543
1,4,31,5530,30.666
1,4,32,5663,30.799
1,4,33,5814,30.95
1,4,34,5931,31.067
1,4,35,6065,31.201
1,4,36,6195,31.331
1,4,37,6335,31.471
1,5,1,156,33.71
1,5,2,303,33.857
1,5,3,456,34.010000000000005
1,5,4,627,34.181000000000004
1,5,5,784,34.338
1,5,6,957,34.511
1,5,7,1067,34.621
1,5,8,1240,34.794000000000004
1,5,9,1398,34.952000000000005
1,5,10,1550,35.104
1,5,11,1731,35.285000000000004
1,5,12,1928,35.482
1,5,13,2065,35.619
1,5,14,2212,35.766000000000005
1,5,15,2355,35.909
1,5,16,2477,36.031
1,5,17,2618,36.172000000000004
1,5,18,2745,36.299
1,5,19,2885,36.439
1,5,20,3003,36.557
1,5,21,3133,36.687000000000005
1,5,22,3267,36.821000000000005
1,5,23,3397,36.951
1,5,24,3516,37.07
1,5,25,3663,37.217
1,5,26,3793,37.347
1,5,27,3910,37.464
1,5,28,4030,37.584
1,5,29,4178,37.732
1,5,30,4291,37.845
1,5,31,4405,37.959
1,5,32,4525,38.079
1,5,33,4659,38.213
1,5,34,4916,38.47
1,5,35,5234,38.788000000000004
1,5,36,5581,39.135000000000005
1,5,37,5887,39.441
1,5,38,6144,39.698
1,5,39,6320,39.874
1,5,40,6532,40.086
1,5,41,6729,40.283
1,5,42,6906,40.46
1,5,43,7059,40.613
1,5,44,7219,40.773
1,5,45,7343,40.897000000000006
1,5,46,7493,41.047000000000004
1,5,47,7654,41.208
1,6,1,238,43.666
1,6,2,443,43.870999999999995
1,6,3,629,44.056999999999995
1,6,4,816,44.244
1,6,5,1032,44.459999999999994
1,6,6,1227,44.654999999999994
1,6,7,1421,44.849
1,6,8,1712,45.14
1,6,9,1976,45.403999999999996
1,6,10,2156,45.583999999999996
1,6,11,2372,45.8
1,6,12,2591,46.019
1,6,13,2786,46.214
1,6,14,3011,46.439
1,6,15,3209,46.637
1,6,16,3410,46.837999999999994
1,6,17,3595,47.022999999999996
1,6,18,3795,47.223
1,6,19,4156,47.583999999999996
1,6,20,4275,47.702999999999996
1,7,1,177,50.108
1,7,2,350,50.281
1,7,3,554,50.485
1,7,4,756,50.687
1,8,1,211,53.442
1,8,2,392,53.623000000000005
1,8,3,592,53.823
1,9,1,185,56.329
1,9,2,387,56.531
1,9,3,565,56.708999999999996
1,9,4,751,56.894999999999996
1,9,5,946,57.089999999999996
1,9,6,1129,57.272999999999996
1,9,7,1342,57.486
1,9,8,1538,57.681999999999995
1,9,9,1705,57.849
1,9,10,1854,57.998
1,9,11,2059,58.202999999999996
1,9,12,2254,58.397999999999996
1,9,13,2450,58.594
1,9,14,2636,58.78
1,9,15,2808,58.952
1,10,1,221,61.315
1,10,2,405,61.499
1,10,3,581,61.675000000000004
1,10,4,743,61.837
1,10,5,939,62.033
1,10,6,1131,62.225
1,10,7,1312,62.406
1,10,8,1511,62.605000000000004
1,10,9,1677,62.771
1,10,10,1889,62.983000000000004
1,10,11,2053,63.147
1,10,12,2246,63.34
1,10,13,2426,63.52
1,10,14,2610,63.704
1,10,15,2790,63.884
1,10,16,2978,64.072
1,10,17,3173,64.267
1,10,18,3376,64.47
1,10,19,3583,64.677
1,10,20,3774,64.868
1,10,21,3953,65.047
1,10,22,4138,65.232
1,10,23,4353,65.447
1,10,24,4565,65.659
1,10,25,4760,65.854
1,10,26,4930,66.024
1,10,27,5106,66.2
1,10,28,5279,66.373
1,11,1,186,68.653
1,11,2,384,68.851
1,11,3,574,69.041
