bkIdx,trialIdx,keypressIdx,timestamp,blocktime
1,1,1,224,1.088
1,1,2,383,1.2469999999999999
1,1,3,567,1.431
1,1,4,688,1.552
1,1,5,855,1.7189999999999999
1,1,6,1062,1.9260000000000002
1,1,7,1264,2.128
1,1,8,1584,2.448
1,1,9,1839,2.703
1,1,10,2144,3.008
1,1,11,2400,3.264
1,1,12,2592,3.456
1,1,13,2791,3.655
1,1,14,2983,3.847
1,1,15,3167,4.031
1,1,16,3375,4.239
1,1,17,3560,4.424
1,2,1,216,6.815
1,2,2,400,6.9990000000000006
1,2,3,576,7.175
1,2,4,784,7.383
1,2,5,968,7.567
1,2,6,1176,7.775
1,2,7,1359,7.958
1,2,8,1568,8.167
1,2,9,1776,8.375
1,2,10,1968,8.567
1,2,11,2153,8.752
1,2,12,2361,8.96
1,2,13,2536,9.135
1,2,14,2760,9.359
1,2,15,2929,9.528
1,2,16,3135,9.734
1,2,17,3328,9.927
1,2,18,3520,10.119
1,2,19,3721,10.32
1,2,20,3914,10.513
1,2,21,4120,10.719000000000001
1,2,22,4328,10.927
1,3,1,216,13.815999999999999
1,3,2,423,14.023
1,3,3,655,14.254999999999999
1,3,4,864,14.464
1,3,5,1069,14.669
1,3,6,1264,14.863999999999999
1,4,1,272,17.944
1,4,2,496,18.168
1,4,3,727,18.399
1,4,4,880,18.552
1,4,5,1081,18.753
1,4,6,1288,18.96
1,4,7,1487,19.159
1,4,8,1688,19.36
1,4,9,1871,19.543
1,4,10,2077,19.749000000000002
1,4,11,2271,19.943
1,4,12,2471,20.143
1,4,13,2647,20.319
1,4,14,2808,20.48
1,4,15,3014,20.686
1,4,16,3208,20.880000000000003
1,4,17,3408,21.080000000000002
1,4,18,3600,21.272000000000002
1,4,19,3839,21.511
1,4,20,4062,21.734
1,4,21,4247,21.919
1,4,22,4471,22.143
1,4,23,4631,22.303
1,5,1,190,24.647000000000002
1,5,2,400,24.857
1,5,3,622,25.079
1,5,4,791,25.248
1,5,5,998,25.455000000000002
1,5,6,1174,25.631
1,5,7,1374,25.831
1,5,8,1582,26.039
1,5,9,1758,26.215
1,5,10,1982,26.439
1,5,11,2151,26.608
1,5,12,2358,26.815
1,5,13,2566,27.023
1,5,14,2757,27.214000000000002
1,5,15,2967,27.424
1,5,16,3158,27.615000000000002
1,5,17,3350,27.807000000000002
1,5,18,3558,28.015
1,5,19,3782,28.239
1,5,20,3982,28.439
1,5,21,4182,28.639000000000003
1,5,22,4391,28.848
1,5,23,4582,29.039
1,5,24,4789,29.246000000000002
1,5,25,4998,29.455000000000002
1,5,26,5190,29.647000000000002
1,5,27,5374,29.831
1,5,28,5567,30.024
1,5,29,5774,30.231
1,5,30,5982,30.439
1,5,31,6174,30.631
1,5,32,6382,30.839
1,5,33,6574,31.031
1,5,34,6766,31.223
1,5,35,6998,31.455000000000002
1,5,36,7158,31.615000000000002
1,6,1,248,34.095
1,6,2,456,34.303000000000004
1,6,3,648,34.495000000000005
1,6,4,816,34.663000000000004
1,6,5,1024,34.871
1,6,6,1249,35.096000000000004
1,6,7,1424,35.271
1,6,8,1648,35.495000000000005
1,6,9,1864,35.711
1,6,10,2056,35.903
1,6,11,2256,36.103
1,6,12,2456,36.303000000000004
1,6,13,2665,36.512
1,6,14,2864,36.711
1,6,15,3065,36.912
1,6,16,3249,37.096000000000004
1,6,17,3449,37.296
1,6,18,3640,37.487
1,6,19,3832,37.679
1,6,20,4032,37.879000000000005
1,6,21,4232,38.079
1,6,22,4432,38.279
1,7,1,207,41.351
1,7,2,391,41.535
1,7,3,623,41.766999999999996
1,8,1,223,44.671
1,8,2,415,44.863
1,8,3,624,45.072
1,9,1,193,48.168
1,9,2,392,48.367000000000004
1,9,3,592,48.567
1,9,4,801,48.776
1,9,5,1008,48.983000000000004
1,9,6,1217,49.192
1,9,7,1402,49.377
1,9,8,1593,49.568
1,9,9,1777,49.752
1,9,10,1985,49.96
1,9,11,2192,50.167
1,9,12,2392,50.367000000000004
1,9,13,2593,50.568
1,9,14,2784,50.759
1,9,15,2969,50.944
1,9,16,3185,51.160000000000004
1,9,17,3370,51.345
1,9,18,3585,51.56
1,9,19,3785,51.760000000000005
1,9,20,3976,51.951
1,9,21,4185,52.160000000000004
1,9,22,4394,52.369
1,9,23,4585,52.56
1,9,24,4800,52.775
1,9,25,5001,52.976
1,9,26,5201,53.176
1,9,27,5408,53.383
1,9,28,5609,53.584
1,9,29,5801,53.776
1,9,30,6009,53.984
1,9,31,6202,54.177
1,9,32,6529,54.504000000000005
1,10,1,192,57.08
1,10,2,400,57.288
1,10,3,608,57.495999999999995
1,10,4,783,57.671
1,10,5,1007,57.894999999999996
1,10,6,1191,58.079
1,10,7,1383,58.271
1,10,8,1576,58.464
1,10,9,1759,58.647
1,10,10,1968,58.855999999999995
1,10,11,2160,59.048
1,10,12,2352,59.239999999999995
1,10,13,2528,59.416
1,10,14,2735,59.623
1,10,15,2936,59.824
1,10,16,3120,60.007999999999996
1,10,17,3328,60.216
1,10,18,3511,60.399
1,10,19,3719,60.607
1,10,20,3919,60.806999999999995
1,10,21,4119,61.007
1,10,22,4335,61.223
1,10,23,4519,61.407
1,10,24,4729,61.617
1,10,25,4919,61.806999999999995
1,10,26,5128,62.016
1,10,27,5335,62.223
1,10,28,5527,62.415
1,10,29,5760,62.647999999999996
1,10,30,5929,62.817
1,10,31,6160,63.048
1,11,1,191,65.672
1,11,2,399,65.88
1,11,3,591,66.07199999999999
1,11,4,823,66.30399999999999
1,11,5,990,66.47099999999999
1,11,6,1215,66.696
1,11,7,1398,66.87899999999999
1,11,8,1599,67.08
1,11,9,1798,67.279
1,11,10,2006,67.487
1,11,11,2207,67.68799999999999
1,11,12,2407,67.88799999999999
