id,batch,cb,sell_RT_median,sell_RT_mean,tasktime_block1,tasktime_block2
s0001,1,A,0.8345,1.3244000000000002,215.05899999999997,271.14
s0013,1,B,0.846,1.0813513513513513,530.81,440.77
s0037,1,C,0.8915,2.4427884615384614,410.973,472.063
s0061,2,D,0.8370000000000001,1.7038556701030927,422.808,477.465
s0072,2,C,0.9425,1.5758888888888887,425.515,476.96199999999993
s0094,2,C,0.8525,0.8386020408163266,413.204,405.329
s0140,2,A,1.795,2.3789583333333333,359.34,390.964
s0195,2,B,0.6935,0.7159166666666666,431.249,500.51599999999996
