,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,divergent
alpha,0.001,0.001,0.0,0.003,0.0,0.0,1535.0,2455.0,1.0,47
tau,0.938,0.219,0.628,1.364,0.009,0.007,784.0,455.0,1.01,47
gamma,0.845,0.085,0.701,0.979,0.002,0.001,2485.0,2288.0,1.0,47
eta,5.186,0.848,3.722,6.497,0.032,0.023,736.0,476.0,1.01,47
totalLL,-81.543,1.367,-84.091,-79.624,0.04,0.029,1404.0,960.0,1.0,47
